primary_lifestyle	K01	K02	K03	K04	K05	K06	K07	K08	K09	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K20	K21	K22	K23	K24	K25	K26	K27	K28	K29	K30	K31	K32	K33	K34	K35	K36	K37	K38	K39	K40	K41	K42	K43	K44	K45	K46	K47	K48	K49	K50	K51	K52	K53	K54	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36
algal_parasite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5	0	0	0	0	0	0	6	19	0	8	82	87	29	0	0	7	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
animal_parasite	171	53	44	69	72	21	87	67	75	27	36	90	137	46	27	41	47	57	103	69	50	103	101	187	71	100	29	283	321	217	195	111	120	420	300	404	47	30	13	153	253	15	19	38	14	7	8	10	0	9	20	0	16	9	3	5	0	21	41	5	4	4	4	2	12	0	16	2	12	33	18	33	7	9	15	2	12	0	2	2	0	16	9	19	7	5	3	5	17	0
arbuscular_mycorrhizal	0	2	0	0	0	0	0	0	0	2	1	0	0	0	0	1	4	1	2	0	4	1	0	0	3	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	3	0	1	0	14	9	13	5	3	2	4	1	10	0	0	0	0	0	0	0	6	0	0	9	0	10	0	5	0	3	0	19	10	13	0	0	0	0	7	0
arthropod-associated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dung_saprotroph	3	4	2	2	0	4	14	8	14	6	34	16	71	36	19	55	10	141	34	24	179	19	30	15	87	48	207	86	106	75	59	175	34	41	136	49	120	236	128	91	42	134	420	51	140	32	35	27	42	60	132	34	28	35	3	7	2	1	0	2	3	4	15	20	0	22	51	36	27	4	28	18	5	5	1	19	34	0	29	36	141	175	135	0	23	64	25	18	6	11
ectomycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	2	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	2	0	5	3	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
foliar_endophyte	0	2	0	3	0	4	1	2	0	14	0	11	1	7	0	10	85	2256	18	27	23	1	5	6	11	13	3	45	17	28	66	78	34	129	203	54	13	11	6	2	2	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	2	1	7	1	5	0	1	0	0	0	5	0	0	0	1	0	0	0	0	6	5	0	7	3	0
lichen_parasite	0	0	0	2	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
lichenized	0	3	0	0	0	0	0	0	0	0	3	0	0	0	11	12	0	0	0	0	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
litter_saprotroph	22	27	5	165	29	35	14	13	0	22	116	84	79	87	112	286	198	231	66	33	58	124	63	29	52	67	196	47	54	43	90	64	68	91	107	57	179	76	93	14	64	71	54	36	37	108	487	174	76	140	108	133	267	224	30	55	16	0	0	3	30	58	20	81	87	118	301	105	96	164	69	96	45	14	17	79	7	1	106	43	7	130	79	0	99	63	62	67	55	85
mycoparasite	596	64	56	218	233	284	66	91	16	7	36	26	46	46	68	208	35	13	20	25	21	3	6	8	5	6	8	7	7	13	23	10	6	8	8	6	18	13	49	13	12	11	3	14	0	9	3	9	19	11	6	1	8	2	0	8	0	1	7	4	5	14	0	8	7	5	7	4	5	6	12	1	1	0	1	0	3	0	2	1	1	1	9	165	11	4	0	1	6	5
nectar/tap_saprotroph	0	2	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	7	0	4	2	0	2	0	0	1	0	0	0	6	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
plant_pathogen	238	218	204	784	990	656	266	254	108	433	1770	1943	1457	1757	2076	1995	1570	972	628	468	691	507	873	444	721	778	638	1156	1245	1033	1215	1272	1313	1356	1147	986	1439	1153	1355	474	232	529	349	344	522	1388	3098	2795	1154	1964	1295	564	797	484	582	502	243	66	91	168	120	213	104	562	704	1120	1688	880	1255	1285	787	1442	234	346	227	664	341	160	105	38	51	1631	1131	627	1559	1427	1112	1498	1163	2824
pollen_saprotroph	1	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	1	5	3
protistan_parasite	0	0	0	0	0	0	3	0	0	0	0	0	9	0	14	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	3	4	8	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
root_endophyte	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	7	5	0	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	67	6	11	12	0	0	0	0	0	0	0	0	0	0	1	4	15	7	2	0	0	0	2	0	4	3	0	0	0	2	0	0	0	6	0	0	3	4	0	0	6	2	0	5	0	0	0	0	0	9	0
soil_saprotroph	295	145	949	1072	1524	785	213	754	372	184	764	454	841	288	395	652	1091	316	923	1278	1757	869	1627	2020	785	1117	1130	188	193	465	909	875	895	707	1644	461	313	801	490	1236	2116	964	23	1705	98	757	604	670	904	903	400	211	2287	589	775	1954	91	1305	958	2166	1594	3101	1971	149	178	118	85	171	152	88	87	78	1008	754	2597	1049	1212	1457	4314	2367	2571	311	232	693	407	317	202	398	154	330
sooty_mold	1176	1070	480	89	546	116	1276	2541	1086	0	0	0	13	46	9	9	7	26	1393	46	276	123	144	272	40	54	169	11	17	24	0	2	0	0	9	0	11	8	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
unspecified_pathotroph	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0
unspecified_saprotroph	3485	3144	4584	2474	1916	3025	4280	1385	5209	6193	2473	3234	1760	2229	2139	1776	2101	1826	884	1433	700	670	634	802	1320	409	582	1967	2722	2282	1959	2720	1323	1334	1275	1234	794	356	314	650	1162	1055	264	1264	900	1903	1766	1088	1860	1441	2028	2373	1692	3154	1799	1103	3361	864	533	397	1123	878	992	1548	997	704	782	1862	923	1508	1601	1521	2158	2270	1894	251	943	1280	2297	2354	2113	579	569	1612	1662	2202	2210	1092	651	876
wood_saprotroph	244	1055	160	475	378	545	87	330	19	81	170	106	147	259	273	337	176	298	133	309	285	1701	867	881	1354	1122	993	639	468	544	487	268	571	344	400	371	803	973	1367	1623	272	1400	1340	570	1033	214	165	521	238	201	410	1553	675	834	78	37	33	9	15	92	41	74	16	64	44	78	27	62	82	20	20	22	224	609	56	229	64	33	20	25	16	189	233	0	60	187	133	22	19	198
unassigned	1333	1775	1079	2211	1876	2054	1257	2118	663	595	2161	1600	3003	2760	2411	2182	2228	1422	3360	3846	3512	3431	3209	2896	3110	3850	3596	3133	2414	2833	2540	1989	3189	3036	2239	3899	3824	3906	3734	3219	3403	3372	5074	3532	4816	3145	1398	2266	3271	2825	3162	2695	1793	2230	4273	3869	3798	5277	5907	4722	4640	3211	4432	5119	5526	5394	4606	4434	5008	4450	4936	4352	3876	3548	2756	5253	4942	4627	688	2688	2662	4508	5150	4433	3730	3289	3817	4455	5469	3232
