Sample	ECM	Pathotroph	Saprotroph	plant_pat_cap	animal_pat_cap	dung_saprotroph	litter_saprotroph	soil_saprotroph	wood_saprotroph
K01	0	238	4050	524	3953	3	22	295	244
K02	0	218	4377	361	3458	4	27	145	1055
K03	0	204	5701	1116	5652	2	5	949	160
K04	0	784	4188	1785	3991	2	165	1072	475
K05	0	990	3847	2518	4317	0	29	1524	378
K06	0	656	4394	1359	3901	4	35	785	545
K07	0	266	4608	462	4711	14	14	213	87
K08	0	254	2491	868	2240	8	13	754	330
K09	0	108	5616	436	5616	14	0	372	19
K10	0	433	6486	613	6663	6	22	184	81
K11	0	1770	3557	2472	4281	34	116	764	170
K12	0	1943	3894	2358	4097	16	84	454	106
K13	0	1457	2898	1691	3004	71	79	841	147
K14	0	1757	2902	2073	3116	36	87	288	259
K15	0	2076	2938	2546	2542	19	112	395	273
K16	0	1995	3106	2471	2757	55	286	652	337
K17	0	1570	3576	2248	2486	10	198	1091	176
K18	0	972	2812	1294	1896	141	231	316	298
K19	0	628	2040	1610	2148	34	66	923	133
K20	0	468	3077	1767	3028	24	33	1278	309
K21	0	691	2979	2455	2802	179	58	1757	285
K22	0	507	3390	1431	1684	19	124	869	1701
K23	0	873	3221	2541	2516	30	63	1627	867
K24	0	444	3751	2614	3172	15	29	2020	881
K25	0	721	3600	1516	2423	87	52	785	1354
K26	0	778	2763	1909	1900	48	67	1117	1122
K27	0	638	3110	1679	1869	207	196	1130	993
K28	0	1156	2927	1363	2474	86	47	188	639
K29	0	1245	3543	1417	3531	106	54	193	468
K30	0	1033	3410	1270	3104	75	43	465	544
K31	0	1215	3504	2179	3642	59	90	909	487
K32	0	1272	4102	2129	4051	175	64	875	268
K33	1	1313	2891	2244	2966	34	68	895	571
K34	3	1356	2527	2162	2726	41	91	707	344
K35	0	1147	3567	2775	3707	136	107	1644	400
K36	0	986	2178	1490	2549	49	57	461	371
K37	0	1440	2209	1712	1834	120	179	313	803
K38	0	1154	2442	1965	1543	236	76	801	973
K39	2	1355	2392	1657	1075	128	93	490	1367
K40	0	486	3614	1959	2123	91	14	1236	1623
K41	0	232	3656	2385	3402	42	64	2116	272
K42	0	529	3624	1425	2192	134	71	964	1400
K43	0	349	2101	400	524	420	54	23	1340
K44	5	345	3626	2035	3250	51	36	1705	570
K45	0	522	2208	574	1219	140	37	98	1033
K46	1	1388	3014	2008	2960	32	108	757	214
K47	0	3098	3057	3626	4069	35	487	604	165
K48	0	2795	2480	3152	1926	27	174	670	521
K49	0	1154	3120	1992	3263	42	76	904	238
K50	0	1964	2755	2763	3471	60	140	903	201
K51	0	1295	3078	1702	2869	132	108	400	410
K52	0	564	4304	767	2789	34	133	211	1553
K53	0	797	4949	3146	4236	28	267	2287	675
K54	0	484	4836	1188	3851	35	224	589	834
M01	3	582	2685	1323	1965	3	30	775	78
M02	0	502	3156	2425	1323	7	55	1954	37
M03	0	243	3503	298	3450	2	16	91	33
M04	0	66	2179	1355	900	1	0	1305	9
M05	1	91	1506	830	627	0	0	958	15
M06	0	168	2660	2309	551	2	3	2166	92
M07	0	120	2791	1727	1148	3	30	1594	41
M08	2	213	4115	3310	963	4	58	3101	74
M09	0	104	3014	2080	1006	15	20	1971	16
M10	5	562	1864	609	1829	20	81	149	64
M11	3	704	1308	824	1092	0	87	178	44
M12	2	1120	1041	1136	1135	22	118	118	78
M13	0	1688	1246	1880	1431	51	301	85	27
M14	0	880	2237	992	2451	36	105	171	62
M15	0	1255	1281	1323	1309	27	96	152	82
M16	1	1285	1784	1448	1961	4	164	88	20
M17	0	787	1805	836	1954	28	69	87	20
M18	0	1442	1735	1525	1829	18	96	78	22
M19	0	234	3440	1215	2292	5	45	1008	224
M20	0	346	3652	974	2331	5	14	754	609
M21	0	227	4565	2815	2000	1	17	2597	56
M22	0	664	1627	1636	426	19	79	1049	229
M23	0	343	2260	1505	1131	34	7	1212	64
M24	0	161	2771	1573	1352	0	1	1457	33
M25	1	105	6766	4427	2344	29	106	4314	20
M26	0	38	4825	2405	2372	36	43	2367	25
M27	0	51	4848	2622	2135	141	7	2571	16
M28	0	1631	1389	1752	1466	175	130	311	189
M29	0	1131	1248	1158	1197	135	79	232	233
M30	0	627	2307	904	1940	0	0	693	0
M31	0	1559	2251	1624	2294	23	99	407	60
M32	0	1427	2834	1453	2907	64	63	317	187
M33	0	1112	2632	1131	2393	25	62	202	133
M34	0	1498	1598	1580	2209	18	67	398	22
M35	0	1163	890	1209	1220	6	55	154	19
M36	0	2824	1503	2891	2823	11	85	330	198
