proktaxa_across	fungitaxa_across	fungilife_across
K01	0.610784446751586	0.590226308217052	0.495734495353671
K02	0.590654608933392	0.554173893765694	0.456770153269678
K03	0.60968534688462	0.602153017570626	0.41087420615821
K04	0.630116945719913	0.611756376980588	0.213720963579204
K05	0.646541652172461	0.574576174403124	0.204747247119497
K06	0.654448688872404	0.597892823779068	0.289400323822585
K07	0.627302844712079	0.581562244569708	0.534041110945594
K08	0.644845827043745	0.568989002438813	0.403835339523891
K09	0.602695682643608	0.600845728269814	0.564928342220335
K10	0.59211764634021	0.515150121153943	0.526338794149457
K11	0.578980686839628	0.451271679738407	0.141530929139102
K12	0.578316928442327	0.491570462694194	0.226448208119807
K13	0.591147817711435	0.581346762350299	0.094621415095717
K14	0.571440511431561	0.502589864307708	0.118505614636805
K15	0.575822066833197	0.55437078201504	0.14301767175151
K16	0.595177740876467	0.498349868758019	0.157988350482733
K17	0.629601548231726	0.518202189797961	0.144698041068816
K18	0.568840068828123	0.515320664895624	0.341344914976353
K19	0.594697578245927	0.544499196564565	0.313952468968674
K20	0.630093907935144	0.560963548292045	0.10462231044889
K21	0.629859662636537	0.56085012387667	0.223170827659798
K22	0.665809016699986	0.570444665038052	0.326130509353384
K23	0.620819764419138	0.539955786573412	0.233967917564174
K24	0.67414966598944	0.538661780924349	0.214680675363614
K25	0.636456040922769	0.536845029091968	0.230168775427402
K26	0.625572412338493	0.534372742403361	0.308840552949812
K27	0.65365727702588	0.583410694707016	0.274096462109783
K28	0.604521515751789	0.446685245000542	0.164358083968724
K29	0.578573555490627	0.509057248991488	0.20085398373674
K30	0.599937841875226	0.457873610194043	0.165710783183844
K31	0.621948048553662	0.49467569773617	0.133394880061863
K32	0.60297328320479	0.447977147781885	0.17732358197546
K33	0.61897842529074	0.458839820694716	0.162141691383934
K34	0.653945889105861	0.426564784343224	0.177058857973778
K35	0.632617656450763	0.496123602538598	0.275588283724701
K36	0.631683406068097	0.535977620805861	0.211977195977915
K37	0.614007232732286	0.576210251010411	0.415169161144361
K38	0.577888092495108	0.6391212425439	0.391953966767377
K39	0.615604277137695	0.599102534793335	0.487954544258724
K40	0.631679607820755	0.603956466984243	0.29369076644223
K41	0.611878382714643	0.613443092392024	0.216459833944575
K42	0.624214653938498	0.593414525908212	0.223957325434957
K43	0.632907860708458	0.616017393611524	0.606170750642417
K44	0.601741630784539	0.672456738478975	0.119634582311427
K45	0.628522462167308	0.616317552399275	0.403221255319972
K46	0.633592817318076	0.547938568874636	0.0461667053017598
K47	0.608979215303844	0.530475527941563	0.2593422793606
K48	0.57406403236859	0.609978673505457	0.278148244423815
K49	0.550136436583953	0.571828978376311	0.0939447238956039
K50	0.553320839441159	0.50421048907905	0.159048039604575
K51	0.541448146493928	0.588153739723986	0.0669493212021726
K52	0.559030214371074	0.5118136200168	0.338575539476332
K53	0.550467021826642	0.569474510859598	0.321496867831151
K54	0.547537666808842	0.452735680667672	0.333744521346081
M01	0.51806848097519	0.658782886885483	0.223967832244008
M02	0.505774035270211	0.658709574821384	0.206797172791021
M03	0.520868301308234	0.67093225805739	0.502518555970775
M04	0.533695568764385	0.700045528093051	0.295321915501736
M05	0.537482092325169	0.688564716945419	0.378471787931051
M06	0.532294827290772	0.682661554834938	0.373013069024058
M07	0.52043738062383	0.668574142608027	0.243482389563578
M08	0.513005971343008	0.691324843329019	0.344197103223984
M09	0.533388223862556	0.687297603190324	0.285759457989177
M10	0.580902816440547	0.60425974376816	0.262913262977545
M11	0.513507994814452	0.587799251748166	0.319633884674097
M12	0.530833200712462	0.481649666177042	0.311124869809698
M13	0.523549558377872	0.418091375429452	0.305201098174941
M14	0.541992913111336	0.593574861538104	0.164454034761601
M15	0.508919479925562	0.484499380364257	0.238463888618735
M16	0.514693705260868	0.442108458066718	0.16143283150012
M17	0.519284900023387	0.496483612170713	0.228044135275275
M18	0.51821921109352	0.461905230908448	0.155302967942836
M19	0.516781628657592	0.624683113228351	0.207273822303914
M20	0.53863267016884	0.642477035895133	0.22683841243903
M21	0.496392506856229	0.649965413201234	0.278443480216874
M22	0.505571687411942	0.684310856426972	0.34582322710791
M23	0.517878391549623	0.68228449649765	0.210004054612901
M24	0.528786743320298	0.686909903838387	0.231279934040405
M25	0.565412736422858	0.667397594118771	0.415599663805012
M26	0.552375922564338	0.66634549838774	0.313246505263574
M27	0.537991805094798	0.674412591756772	0.322348793389655
M28	0.502750520141973	0.632760812623482	0.290844646450257
M29	0.484700081042642	0.538907477997659	0.307768677526284
M30	0.531802572156578	0.704298988174092	0.254522391311668
M31	0.494516484337289	0.518770832957491	0.0774286470720341
M32	0.492119951509581	0.500551110286405	0.078593990326322
M33	0.50566962544734	0.525154327817008	0.126092975683799
M34	0.518634264783541	0.56174660492202	0.186319860060617
M35	0.510579666245969	0.603097111449251	0.328117951664497
M36	0.510544261883639	0.471235056670921	0.318043660009231
