proktaxa_within	fungitaxa_within	fungilife_within
K01	0.433786766336014	0.209606481921549	0.132214151574224
K02	0.478388586497568	0.233850162733595	0.128965709809095
K03	0.414307034892913	0.128031863929064	0.182371982239889
K04	0.423776934874671	0.426479200349042	0.225090424276065
K05	0.421621049271766	0.368436882284576	0.248742987636374
K06	0.439895951340787	0.339583100406174	0.159993952662303
K07	0.38215578649859	0.140352300434815	0.173570152349187
K08	0.468234181657009	0.228736622928859	0.298413036061119
K09	0.353757924477409	0.170274538012114	0.288347006157575
K10	0.346872837413775	0.219363602874844	0.507640228753899
K11	0.390363176322972	0.267213135079661	0.0276503095310203
K12	0.357661434822133	0.248511086015992	0.142817373942399
K13	0.342988813889035	0.430306042300182	0.133849200184643
K14	0.320819087787216	0.305740146618873	0.0749347853539567
K15	0.370555680167326	0.302400682633568	0.06304699439429
K16	0.37135628021601	0.237658280201028	0.0963603563310509
K17	0.445450742858528	0.308949443146408	0.0762022932408666
K18	0.337514247328225	0.348972698523752	0.316399287950962
K19	0.483651557588403	0.321487629764117	0.185392710346591
K20	0.567950183969478	0.368797830544812	0.140343112448871
K21	0.500365897370652	0.45229021234473	0.106855825034212
K22	0.480015526821319	0.315441444881647	0.112505999338774
K23	0.475273930883802	0.226260905379426	0.0730337206150747
K24	0.581769439496735	0.313013026661823	0.141296356972906
K25	0.470239450463076	0.24899787288478	0.131712884541862
K26	0.471459705907832	0.267588853809532	0.0894262402821176
K27	0.508170316038636	0.396282475591003	0.0667900746605854
K28	0.4378440632743	0.295516364315118	0.0872781478284916
K29	0.436523300262351	0.396072825514896	0.128083693322832
K30	0.414486856557837	0.30352036791714	0.0774782387903713
K31	0.476653277531658	0.34138629862723	0.050825317186438
K32	0.419109585210585	0.28656109830899	0.158148395087193
K33	0.436197143775039	0.243224981653921	0.0884434160182527
K34	0.489495750090602	0.289613466132069	0.0944827640097614
K35	0.469373606584352	0.396525038391525	0.164639181859736
K36	0.455413301350267	0.365437720060858	0.15950928271488
K37	0.461741301677152	0.373500618174843	0.132023180196075
K38	0.445271430079238	0.462204012252004	0.105935235602358
K39	0.465200769157063	0.315730731488353	0.129640166271666
K40	0.488980358347612	0.418968853584856	0.136506089727023
K41	0.502867554121411	0.423460678251946	0.238540105591126
K42	0.522809287989728	0.3446482966962	0.0677868393822065
K43	0.498636396797057	0.411507091060913	0.226588638394091
K44	0.494516978127583	0.617819576640533	0.1682049297164
K45	0.510134337309867	0.460026992901936	0.155849004073028
K46	0.452032964040533	0.187092653101856	0.0459499283256846
K47	0.412836264668992	0.234505095157958	0.259584191000244
K48	0.300286815996319	0.354035106055874	0.202848941752198
K49	0.258563659548428	0.29736403575891	0.0744460123399103
K50	0.256482650413772	0.282009572015722	0.10350397580356
K51	0.277014403540332	0.372999023084234	0.0822379852958359
K52	0.622169927301384	0.38710592449272	0.224134024177164
K53	0.610468851414836	0.471048978740987	0.249648061268796
K54	0.613696910587698	0.3299034610852	0.229782859911544
M01	0.426025856489659	0.593643039537334	0.16000109386437
M02	0.356814677629221	0.572461502855518	0.0923377647212203
M03	0.381137135442424	0.586368289694528	0.315526411246397
M04	0.432519542048974	0.511799204911312	0.102498524073326
M05	0.428758469123288	0.44036474000225	0.18599020488155
M06	0.430033496996439	0.417820044546999	0.0962740542993182
M07	0.366912532032227	0.39437871951717	0
M08	0.366931078465821	0.56547627790926	0.211184483969512
M09	0.384816371741523	0.456654797234379	0
M10	0.370609507120224	0.362193632721689	0.0688079926051471
M11	0.333478801256829	0.435881011325312	0.0968258768183833
M12	0.277413097806936	0.257770290442133	0.0913680002379587
M13	0.338890817203105	0.195503808140347	0.107186759323061
M14	0.327763716841148	0.44384123599295	0.0781292692056162
M15	0.320840392915063	0.232961376032651	0.0509621338764513
M16	0.438567353241919	0.180265270667908	0.0587325847184888
M17	0.465599673972926	0.303982150578136	0.0466680259437469
M18	0.431849774336015	0.246763250052989	0.0739646231201764
M19	0.373853360880312	0.263146416195469	0.0784981790940951
M20	0.423402220531285	0.380878316354328	0.14966353795846
M21	0.362144018854685	0.42673106112326	0.120006421713725
M22	0.353926910895298	0.550317937876902	0.319272561565056
M23	0.380746677718141	0.540088809005934	0.213691682462349
M24	0.396047780548762	0.57285577840867	0.152872600554684
M25	0.500163940984297	0.420038214413372	0.403160615208888
M26	0.421582760046814	0.487056237923174	0.136411361928444
M27	0.406259518305094	0.491009811842613	0.147918544305045
M28	0.323251925932173	0.542178113037557	0.0915111647107211
M29	0.313565509945043	0.328788425955625	0.141430011417877
M30	0.367027454344493	0.70369308958502	0.151626181367947
M31	0.352458845858845	0.350080716248049	0.0795814067269926
M32	0.384506275665647	0.325261718746768	0.145619743352677
M33	0.355577933037746	0.386424144727076	0.120784369453504
M34	0.341878349738179	0.331409250573735	0.0105749578154664
M35	0.376644379645934	0.346494782464824	0.156682220406206
M36	0.348193025319631	0.307099832175053	0.198400476332073
