class.index	n.dist	Mantel.cor	Pr(Mantel)	Pr(corrected)	landuse
0_200	360	0.81049747888015	1e-05	1e-05	Natural
200_30000	324	0.0183500400668697	0.28101	0.28101	Natural
30000_70000	324	-0.0638244067858955	0.04461	0.08922	Natural
70000_1444000	324	-0.223129517809475	1e-05	4e-05	Natural
1444000_1500000	648	-0.454449504468691	1e-05	5e-05	Natural
0_200	360	0.716214445682991	1e-05	1e-05	Farm
200_30000	324	0.257048188925353	1e-05	2e-05	Farm
30000_70000	324	-0.136651122443688	0.00174	0.00174	Farm
70000_1444000	324	-0.277979693514157	1e-05	4e-05	Farm
1444000_1500000	648	-0.464481801499427	1e-05	5e-05	Farm
