class.index	n.dist	Mantel.cor	Pr(Mantel)	Pr(corrected)	landuse
0_200	360	0.327704212507066	1e-05	1e-05	Natural
200_30000	324	0.0406416584956636	0.14279	0.14279	Natural
30000_70000	324	-0.0495202144512181	0.19956	0.28558	Natural
70000_1444000	324	-0.193691600555414	0.00102	0.00306	Natural
1444000_1500000	648	-0.109658846113945	0.01546	0.04638	Natural
0_200	360	0.224391746957397	1e-05	1e-05	Farm
200_30000	324	0.0994975703603638	0.01308	0.01308	Farm
30000_70000	324	0.0833585019110503	0.12188	0.12188	Farm
70000_1444000	324	-0.166086269132934	0.00995	0.02985	Farm
1444000_1500000	648	-0.197670693098606	0.00021	0.00084	Farm
