class.index	n.dist	Mantel.cor	Pr(Mantel)	Pr(corrected)	landuse
0_200	360	0.709323612144612	1e-05	1e-05	Natural
200_30000	324	0.261603196816232	1e-05	2e-05	Natural
30000_70000	324	-0.243098427466356	1e-05	3e-05	Natural
70000_1444000	324	-0.141434856143404	0.00221	0.00221	Natural
1444000_1500000	648	-0.48613866817683	1e-05	5e-05	Natural
0_200	360	0.691824891082057	1e-05	1e-05	Farm
200_30000	324	0.319247230305446	1e-05	2e-05	Farm
30000_70000	324	-0.23992209614727	3e-05	3e-05	Farm
70000_1444000	324	-0.0388933673632159	0.12335	0.12335	Farm
1444000_1500000	648	-0.600554169088977	1e-05	5e-05	Farm
