class.index	n.dist	Mantel.cor	Pr(Mantel)	Pr(corrected)	landuse
0_200	360	0.497119172898368	1e-05	1e-05	Natural
200_30000	324	0.361835290361741	1e-05	2e-05	Natural
30000_70000	324	0.0870947420566551	0.02296	0.02296	Natural
70000_1444000	324	-0.103852347851096	0.01756	0.03512	Natural
1444000_1500000	648	-0.680698988577566	1e-05	5e-05	Natural
0_200	360	0.488955574209206	1e-05	1e-05	Farm
200_30000	324	0.378815523111271	1e-05	2e-05	Farm
30000_70000	324	0.290190507798498	1e-05	3e-05	Farm
70000_1444000	324	-0.308674567904072	2e-05	4e-05	Farm
1444000_1500000	648	-0.68601508597207	1e-05	5e-05	Farm
