K01	K02	K03	K04	K05	K06	K07	K08	K09	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K20	K21	K22	K23	K24	K25	K26	K27	K28	K29	K30	K31	K32	K33	K34	K35	K36	K37	K38	K39	K40	K41	K42	K43	K44	K45	K46	K47	K48	K49	K50	K51	K52	K53	K54	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36	Kingdom	Phylum	Class	Order	Family	Genus	Species
Fung_ASV1	0	13	0	0	17	0	0	0	0	0	17	0	0	0	0	0	0	34	599	308	340	530	884	329	111	475	378	218	176	307	645	504	1440	314	373	131	1040	143	94	21	13	43	40719	890	5259	16	0	0	0	18	0	21	8	14	90	21	31	12	21	30	50	0	7	9189	8180	10300	13152	4492	14664	13981	12536	11219	5	0	0	0	7	0	0	0	0	287	4129	229	122	140	109	204	195	492	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	NA	NA
Fung_ASV2	4691	9960	19970	13441	2817	3604	29209	1912	4141	0	0	0	0	0	0	0	61	414	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	NA
Fung_ASV3	0	10	0	0	30	0	16	0	0	25	109	142	786	79	256	251	314	176	13	10	0	0	0	0	51	25	0	92	82	105	346	134	590	990	429	615	2431	185	218	253	66	259	15	0	0	1079	2937	299	249	892	575	590	606	545	45	12	44	0	25	38	32	0	0	439	254	984	1009	1045	925	1675	611	1436	34	39	83	123	88	29	102	0	0	2030	1363	469	1330	2200	757	3166	1287	6231	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	g__Didymella	NA
Fung_ASV4	61	871	178	254	133	162	958	45	116	392	242	704	767	818	742	69	293	632	736	641	1123	613	798	519	1604	399	584	414	284	923	322	225	390	124	151	159	689	110	62	960	1701	1249	146	3399	578	2096	2140	256	246	420	252	365	304	640	686	494	0	67	0	0	110	0	75	0	0	173	1142	784	651	169	0	154	0	0	0	0	0	0	0	0	0	162	0	1124	0	0	47	0	0	0	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	s__restrictum
Fung_ASV5	0	41	9	0	28	8	0	7	0	288	659	507	995	1304	449	1576	1808	692	327	40	29	0	23	21	26	9	0	2297	1276	3081	847	821	1589	1896	781	1699	4793	506	1033	571	142	351	0	37	9	37	26	12	63	45	88	2482	887	1454	89	17	27	96	112	76	36	56	0	0	0	5	9	0	11	27	23	0	48	19	14	17	75	21	13	41	3	0	26	0	504	186	543	394	634	54	k__Fungi	p__Ascomycota	NA	NA	NA	NA	NA
Fung_ASV6	173	588	752	3104	1438	259	1084	240	65	294	689	540	696	1238	862	1330	895	483	530	348	641	271	493	288	426	440	630	588	574	695	612	352	573	496	419	407	1216	222	135	215	86	110	547	1095	264	199	452	84	52	163	59	43	104	190	164	275	136	0	0	0	0	0	0	139	135	349	407	257	363	329	518	299	381	120	97	12	0	0	0	7	0	470	575	75	739	823	578	574	218	425	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Fusarium	s__acutatum
Fung_ASV7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	304	1535	1755	507	122	1224	0	0	0	0	0	0	0	0	0	1600	1016	96	332	0	0	14248	5127	6783	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	NA
Fung_ASV8	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	7	0	0	33	19	82	2130	302	134	726	477	988	0	74	131	81	49	0	0	0	0	6211	2367	1964	1849	71	2395	790	122	653	1211	1237	0	205	137	527	3766	986	2403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Lophiostomataceae	g__Lophiostoma	NA
Fung_ASV9	0	0	0	0	0	0	0	0	0	0	0	132	0	112	0	290	166	0	0	0	0	0	0	0	0	0	0	189	116	182	0	0	0	115	0	0	2659	600	1115	570	240	630	421	382	209	696	933	259	207	208	0	0	311	597	0	162	0	0	0	0	0	73	0	0	263	517	444	0	0	469	0	430	551	442	67	0	0	47	36	0	0	2008	3545	360	1100	2049	1247	2210	1830	1963	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	g__Condenascus	s__tortuosus
Fung_ASV10	1704	4488	2055	431	989	160	8615	4499	843	0	0	0	0	129	36	0	0	40	3255	56	399	185	202	283	37	113	60	29	42	56	0	0	0	0	0	0	175	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Capnodiaceae	g__Antennariella	s__placitae
Fung_ASV11	0	20	0	138	100	36	0	16	0	360	1112	863	890	829	642	1559	961	473	69	67	99	0	67	137	74	167	77	296	325	681	545	244	756	376	372	136	2769	531	348	437	119	138	452	84	78	312	7637	163	197	410	164	48	78	266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Hypocreales	f__Nectriaceae	g__Gibberella	s__intricans
Fung_ASV12	0	0	0	0	0	0	0	0	0	7081	1184	2150	652	1244	436	366	241	194	0	32	64	0	116	68	0	0	0	43	0	72	108	89	92	177	186	255	0	53	68	71	125	175	0	136	28	297	34	32	103	186	131	206	139	3224	65	0	0	0	17	0	0	0	0	54	121	58	64	160	213	129	310	346	971	397	219	48	0	22	688	61	0	116	0	0	731	214	593	68	14	56	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	NA
Fung_ASV13	0	7	0	0	7	0	0	0	0	47	431	773	110	868	2332	2090	3597	2029	0	0	0	0	0	0	0	8	0	897	472	550	555	124	844	1454	536	447	329	62	13	42	0	45	39	0	0	0	0	0	5	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	653	0	186	0	65	761	315	740	0	0	0	0	0	0	0	0	0	0	21	0	479	564	1207	210	243	741	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	g__Cumuliphoma	s__omnivirens
Fung_ASV14	291	3271	414	1309	0	291	157	168	17	26	33	0	0	0	62	43	79	175	17	144	135	2201	1698	1553	2217	2021	942	81	0	61	0	12	33	19	0	0	591	0	235	809	61	255	118	413	120	0	0	0	0	14	0	0	13	0	0	0	0	0	0	0	0	22	0	0	0	11	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	27	47	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymosphaeriaceae	g__Montagnula	NA
Fung_ASV15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1725	328	4905	4419	494	6557	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	NA
Fung_ASV16	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	43	118	83	0	0	0	0	0	0	0	0	0	19	0	0	13	0	0	0	27	0	534	51	0	0	0	0	0	0	0	138	8002	60	44	160	49	0	28	19	27	16	0	0	0	0	0	0	0	54	510	388	1118	64	357	825	250	889	0	0	0	29	0	22	0	0	0	0	74	0	705	1038	431	404	538	149	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	g__Epicoccum	NA
Fung_ASV17	0	0	0	0	64	0	0	0	0	0	64	0	74	110	51	92	67	65	0	0	0	0	0	108	105	38	120	542	228	0	651	0	599	253	0	456	74	0	0	132	169	24	0	36	5	34	201	0	26	0	0	32	38	108	0	0	0	614	0	0	0	694	0	0	44	0	0	0	0	0	30	0	1251	0	227	0	28	0	2021	3712	4032	89	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Penicillium	NA
Fung_ASV18	94	235	83	1890	1926	158	143	471	64	34	99	96	177	292	185	386	774	96	204	1778	498	645	667	1758	609	1115	510	51	53	134	325	225	281	199	237	299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	9	0	0	0	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__rishikesha
Fung_ASV19	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	788	0	0	0	0	0	0	0	26	0	0	0	0	15845	90	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	NA
Fung_ASV20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	26	63	261	375	566	418	53	596	88	112	152	286	273	229	29	31	38	215	19	45	0	0	0	0	0	0	3054	4589	563	738	1101	308	64	64	1234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	s__stylospora
Fung_ASV21	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	39	24	4	12	0	15	52	6	14	4	0	3	10	0	0	0	0	145	0	0	406	33	39	0	0	6	17	0	6	5816	2151	3363	473	911	603	171	25	84	0	0	0	0	0	0	0	0	0	0	0	0	11	18	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymosphaeriaceae	g__Pseudopithomyces	s__karoo
Fung_ASV22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2232	7216	0	0	0	0	498	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	448	2425	1608	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Archaeorhizomycetes	o__Archaeorhizomycetales	f__Archaeorhizomycetaceae	g__Archaeorhizomyces	NA
Fung_ASV23	0	0	0	0	0	0	0	0	0	0	235	39	0	0	0	130	99	56	0	0	35	42	0	0	59	0	0	111	112	156	181	220	90	573	191	265	1528	89	125	395	215	319	31	24	36	541	907	112	80	189	40	995	292	690	188	44	0	0	0	0	7	0	0	77	0	0	84	0	0	0	1524	214	0	0	27	0	0	0	0	0	0	0	31	0	541	1232	337	0	45	0	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	NA
Fung_ASV24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	21	24	0	0	63	0	0	0	0	37	301	0	17	106	787	36	0	0	40	0	36	0	0	0	87	25	0	26	12	0	0	0	386	249	1773	223	2141	463	360	1563	10	16	0	0	0	0	0	0	0	0	161	0	1523	672	1090	497	417	184	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	g__Epicoccum	s__thailandicum
Fung_ASV25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	151	47	156	181	61	0	0	0	0	0	0	0	0	0	383	639	391	46	53	150	42	65	84	0	0	0	0	0	0	0	376	0	1693	1716	500	1398	1186	1624	79	242	207	495	511	0	42	171	30	77	0	448	k__Fungi	NA	NA	NA	NA	NA	NA
Fung_ASV26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	526	477	1208	902	815	0	672	451	660	734	454	602	829	600	1058	607	329	337	0	0	0	0	0	0	0	0	0	161	124	0	446	444	745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Fungi	p__Ascomycota	c__Sordariomycetes	o__Sordariales	f__Chaetomiaceae	g__Condenascus	s__tortuosus
Fung_ASV27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	18	0	0	0	0	0	0	0	0	0	0	169	9	0	0	0	1547	40	8244	47	42	116	0	0	0	36	0	61	20	0	222	0	50	8	16	0	99	0	0	95	0	18	63	0	147	207	603	243	112	124	179	152	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Aspergillaceae	g__Aspergillus	s__transmontanensis
Fung_ASV28	0	0	0	0	0	0	0	0	0	173	890	509	55	50	81	44	0	0	0	0	33	61	143	44	36	332	287	25	19	34	63	0	61	35	47	84	1147	200	211	1575	4222	1101	157	35	0	5	0	8	0	15	6	46	83	338	0	0	6	0	0	0	0	0	0	19	49	16	25	0	10	49	55	47	0	0	0	0	0	0	0	0	0	20	23	103	0	12	0	16	0	0	k__Fungi	p__Mortierellomycota	c__Mortierellomycetes	o__Mortierellales	f__Mortierellaceae	g__Mortierella	NA
Fung_ASV29	0	0	0	0	0	0	0	0	0	18	64	51	174	109	64	47	36	42	0	0	0	85	0	0	8	17	0	44	111	105	102	2338	62	130	69	125	50	9	0	0	0	2	0	23	0	783	1303	114	106	224	583	1206	68	1992	552	177	49	46	0	40	78	131	113	84	57	41	19	262	37	42	32	54	16	0	17	0	0	0	0	10	0	0	111	0	5	50	45	0	0	209	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Eurotiales	f__Trichocomaceae	g__Talaromyces	s__pinophilus
