K01	K02	K03	K04	K05	K06	K07	K08	K09	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K20	K21	K22	K23	K24	K25	K26	K27	K28	K29	K30	K31	K32	K33	K34	K35	K36	K37	K38	K39	K40	K41	K42	K43	K44	K45	K46	K47	K48	K49	K50	K51	K52	K53	K54	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36	Kingdom	Phylum	Class	Order	Family	Genus	Species
Prok_ASV1	357	331	729	1532	1313	1394	1499	700	1650	952	395	764	362	180	306	532	227	534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	NA
Prok_ASV2	93	49	72	60	34	32	27	51	63	119	269	219	133	153	196	259	340	192	171	105	160	176	205	169	148	183	163	200	263	255	320	193	313	244	180	186	201	212	178	84	150	135	97	154	154	346	132	242	212	184	183	132	134	158	41	19	18	37	35	31	35	39	41	26	24	39	63	15	38	68	39	60	45	58	43	50	45	42	46	20	13	36	34	47	53	56	58	31	50	46	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingomonas	NA
Prok_ASV3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	182	173	208	223	169	240	269	200	146	146	158	145	348	105	157	389	274	121	75	161	230	152	258	60	481	301	392	100	332	220	74	199	265	171	334	Archaea	Euryarchaeota	Thermoplasmata	NA	NA	NA	NA
Prok_ASV4	11	38	0	0	0	0	0	0	0	46	36	27	76	96	74	40	63	68	0	0	0	0	0	0	28	94	103	0	0	0	0	0	0	0	57	55	29	20	0	0	117	90	0	0	0	77	147	86	82	83	82	53	65	82	43	50	56	0	12	0	45	28	39	56	263	118	41	155	156	51	69	41	35	19	45	42	34	31	120	53	107	201	453	255	116	235	131	325	353	271	Bacteria	Chloroflexi	NA	NA	NA	NA	NA
Prok_ASV5	136	157	139	93	112	94	114	89	121	177	153	151	173	138	169	134	110	143	111	97	102	38	95	45	56	83	55	140	113	178	173	169	127	124	132	106	61	73	73	112	77	132	0	107	107	0	0	0	26	16	14	53	48	68	43	53	48	72	63	65	61	77	57	0	13	0	0	15	46	0	46	37	93	108	100	78	67	63	116	34	60	34	60	48	43	58	61	71	56	52	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	NA	NA	NA
Prok_ASV6	128	94	130	80	77	105	56	136	85	0	0	0	0	0	0	0	0	0	103	93	0	82	71	163	0	233	74	0	0	0	0	0	0	109	77	47	136	0	181	0	0	0	36	122	256	42	0	24	24	30	20	0	0	0	78	137	126	68	89	77	87	112	106	78	73	85	105	123	49	69	141	153	64	54	110	91	95	92	0	192	115	156	91	173	137	45	71	135	72	126	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	Candidatus_Nitrocosmicus	NA
Prok_ASV7	0	164	71	0	0	0	0	0	33	37	64	78	104	116	57	78	0	71	0	84	134	81	108	0	141	0	190	0	102	0	0	0	0	0	0	0	0	45	39	0	115	150	67	39	0	0	0	24	15	18	25	44	27	59	159	165	123	108	78	118	165	152	220	86	83	115	101	122	193	70	55	56	85	80	70	65	90	38	101	24	38	45	88	88	152	156	123	21	31	16	Bacteria	Chloroflexi	TK10	NA	NA	NA	NA
Prok_ASV8	36	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	80	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	114	0	0	146	0	191	0	387	206	0	0	0	76	29	48	79	76	311	183	275	75	105	75	0	0	0	35	48	38	0	59	31	66	16	162	272	178	142	23	39	56	88	72	50	69	46	15	72	101	54	53	108	31	120	174	92	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	NA
Prok_ASV9	0	0	0	0	0	0	0	0	0	109	116	71	84	112	84	70	100	67	0	0	0	0	0	0	174	69	33	121	85	150	127	127	100	0	0	14	56	86	0	58	228	202	0	0	0	399	264	155	244	248	397	103	38	177	0	0	0	0	0	0	0	0	0	0	0	19	30	0	38	150	39	37	0	0	0	0	0	0	0	0	0	32	46	0	58	125	22	30	33	30	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrososphaerales	Nitrososphaeraceae	NA	NA
Prok_ASV10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	44	29	0	66	33	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	154	146	119	217	171	228	0	0	8	0	0	0	0	0	0	0	0	0	498	312	278	299	324	336	23	17	26	0	0	0	4	0	3	5	0	0	75	145	67	46	91	78	20	22	31	Bacteria	Chloroflexi	AD3	NA	NA	NA	NA
Prok_ASV11	164	176	129	117	0	78	93	71	112	159	169	122	166	65	144	0	113	140	207	0	0	0	0	0	0	0	0	109	114	145	0	123	204	205	109	118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	63	108	89	94	87	128	55	47	79	0	18	0	0	20	36	0	25	29	59	90	74	82	65	70	82	52	74	7	26	0	34	17	42	65	85	40	Bacteria	Chloroflexi	TK10	NA	NA	NA	NA
Prok_ASV12	0	81	0	57	0	56	51	68	0	0	0	59	61	0	41	0	0	54	55	0	0	0	147	0	0	99	57	60	50	0	75	86	0	0	78	68	75	60	96	86	84	98	112	86	160	86	54	23	34	25	36	43	25	46	84	63	31	84	93	104	83	74	47	39	22	38	53	25	35	75	32	49	62	77	127	94	108	81	186	57	55	19	72	28	86	61	45	41	36	30	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Pseudonocardia	NA
Prok_ASV13	0	0	0	0	0	19	0	0	17	53	97	58	22	20	55	0	67	61	0	0	0	0	34	0	0	51	0	46	36	26	48	38	0	91	0	28	0	8	0	0	0	0	27	0	0	36	54	15	16	33	17	32	15	37	0	0	177	114	0	108	133	0	0	0	171	0	0	0	0	0	343	0	106	110	0	0	113	0	0	328	213	262	0	0	0	0	188	0	0	350	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Pseudarthrobacter	NA
Prok_ASV14	0	0	0	43	0	0	0	0	48	71	99	75	108	99	0	57	77	90	95	72	0	43	57	0	0	96	113	90	78	86	0	92	0	37	77	113	111	117	98	102	156	122	108	170	167	0	0	0	0	0	3	61	51	66	87	77	54	77	76	66	70	72	76	0	13	0	10	0	0	43	51	58	48	81	69	62	42	33	62	41	45	14	44	15	26	36	30	55	49	42	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Conexibacter	NA
Prok_ASV15	0	0	0	43	26	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	25	0	27	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	126	0	0	100	0	0	204	121	95	0	137	273	295	110	190	0	284	0	0	121	142	0	237	103	0	0	0	107	376	231	116	0	251	147	0	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Micrococcaceae	Pseudarthrobacter	NA
Prok_ASV16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	23	46	25	55	0	0	57	29	85	94	88	0	24	0	0	46	47	41	142	111	95	95	49	31	174	169	146	83	116	111	127	127	109	30	31	42	6	0	7	35	40	42	36	64	30	25	37	34	49	46	37	27	27	39	38	33	22	40	17	32	66	138	90	78	94	74	66	97	73	Bacteria	Chloroflexi	NA	NA	NA	NA	NA
Prok_ASV17	114	212	193	108	30	56	76	54	170	88	109	94	174	134	128	147	77	129	197	85	148	56	46	88	138	115	80	95	141	91	133	117	139	72	64	46	91	84	39	76	61	109	32	69	42	0	0	0	0	0	2	114	103	116	18	18	23	28	19	21	40	30	40	0	0	3	0	0	5	9	0	5	13	8	9	9	3	3	16	0	18	0	0	0	0	0	0	6	11	8	Bacteria	Verrucomicrobia	Verrucomicrobiae	Chthoniobacterales	Chthoniobacteraceae	Candidatus_Udaeobacter	NA
Prok_ASV18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	34	0	0	0	93	80	0	36	0	0	27	38	0	64	0	87	80	67	0	80	0	0	0	7	12	8	9	38	35	38	51	75	62	76	36	72	120	86	132	21	54	46	31	59	88	26	9	32	155	135	141	112	91	85	232	78	103	86	131	95	128	125	84	64	114	75	Bacteria	Chloroflexi	TK10	NA	NA	NA	NA
Prok_ASV19	0	0	105	137	158	176	106	155	77	147	126	115	0	109	0	0	0	0	139	0	175	0	0	116	0	86	0	0	46	101	132	135	144	324	207	236	128	97	67	0	95	97	195	112	196	0	0	0	0	0	0	48	44	65	0	99	69	66	0	0	58	64	0	0	0	0	0	0	0	0	0	0	35	43	57	0	59	46	0	32	31	0	0	0	0	0	0	0	0	0	Bacteria	Acidobacteria	Blastocatellia_(Subgroup_4)	Pyrinomonadales	Pyrinomonadaceae	RB41	NA
Prok_ASV20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	47	0	26	43	34	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	111	126	55	89	66	64	11	14	22	0	0	0	0	0	0	0	0	0	103	147	178	346	111	184	168	81	80	0	0	0	0	0	0	0	0	0	101	234	134	158	176	178	70	61	75	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Geodermatophilus	NA
Prok_ASV21	0	0	0	16	0	0	29	52	29	21	124	56	86	22	108	87	0	84	12	26	20	25	64	0	38	28	34	52	42	40	43	0	52	0	61	0	0	25	46	0	0	0	39	20	82	0	0	0	3	6	4	34	20	28	74	43	47	36	42	39	21	32	35	7	13	20	40	15	30	51	17	21	96	118	189	116	110	153	138	52	39	37	67	29	114	93	78	71	26	67	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Geodermatophilaceae	Blastococcus	NA
Prok_ASV22	92	49	64	118	130	0	87	207	47	72	81	113	0	0	0	144	0	91	61	116	167	0	0	123	0	0	0	195	149	146	156	169	150	290	190	131	113	107	167	100	55	177	77	0	0	0	0	0	0	0	0	17	25	34	40	0	0	60	45	61	59	30	55	0	0	0	0	0	0	0	0	0	32	40	45	51	51	0	0	13	0	8	0	0	0	0	0	0	0	0	Bacteria	Acidobacteria	Subgroup_6	NA	NA	NA	NA
