input filtered denoisedF nonchim
K01_16S 48241 19414 17692 17692
K02_16S 54210 21951 20072 20072
K03_16S 46663 19850 17993 17993
K04_16S 62056 24414 22386 22386
K05_16S 49595 20432 18667 18667
K06_16S 43901 17829 15984 15984
K07_16S 59334 22642 20693 20693
K08_16S 39695 14923 13266 13266
K09_16S 57478 22725 20639 20639
K10_16S 55455 23370 21291 21291
K11_16S 39732 17614 16079 16079
K12_16S 57177 24187 22355 22355
K13_16S 45986 18697 17055 17055
K14_16S 46543 20047 18436 18436
K15_16S 57110 24047 22554 22554
K16_16S 50627 20870 19257 19257
K17_16S 43659 18310 16705 16705
K18_16S 67122 27163 25334 25334
K19_16S 47877 19560 17630 17630
K20_16S 45600 18365 16594 16594
K21_16S 32084 13526 12001 12001
K22_16S 46211 18791 16930 16930
K23_16S 50839 20688 18924 18924
K24_16S 35538 14655 13016 13016
K25_16S 55000 23004 21279 21279
K26_16S 44305 17393 15612 15612
K27_16S 46767 17799 16129 16129
K28_16S 58987 21822 19967 19967
K29_16S 61251 24109 22285 22285
K30_16S 52737 21388 19501 19501
K31_16S 28337 11479 10198 10198
K32_16S 48655 19088 17129 17129
K33_16S 37395 15074 13580 13580
K34_16S 46838 18160 16247 16247
K35_16S 52803 21608 19579 19579
K36_16S 47711 19899 17875 17875
K37_16S 66644 26098 23942 23942
K38_16S 77113 31754 29349 29266
K39_16S 59192 24462 22236 22236
K40_16S 53490 20721 18711 18711
K41_16S 49656 20738 18602 18602
K42_16S 34092 13923 12207 12158
K43_16S 46649 20252 17935 17892
K44_16S 47241 19196 16944 16944
K45_16S 41904 17259 15331 15225
K46_16S 43976 18215 17030 17015
K47_16S 41724 17688 16498 16473
K48_16S 56647 32006 30450 30243
K49_16S 65132 36671 34910 34521
K50_16S 83399 46113 44023 43577
K51_16S 109505 59963 57235 56398
K52_16S 70290 37675 35213 35116
K53_16S 103618 56126 53366 52997
K54_16S 48411 26301 24242 24201
M01_16S 40332 30520 27459 27459
M02_16S 36728 28223 25822 25822
M03_16S 43801 33711 30885 30885
M04_16S 39057 29784 27036 27036
M05_16S 38151 28550 25509 25509
M06_16S 36523 26561 24001 23941
M07_16S 44365 32473 29464 29368
M08_16S 40089 29733 27115 27025
M09_16S 38685 29337 26606 26530
M10_16S 31856 23955 22235 21758
M11_16S 65560 47679 44892 43417
M12_16S 44764 32952 30711 30042
M13_16S 39741 28910 26875 26506
M14_16S 45678 35472 33087 32769
M15_16S 38103 28704 26561 26175
M16_16S 39422 27909 25410 25335
M17_16S 52630 40290 37251 36970
M18_16S 29721 22386 20390 20318
M19_16S 54088 40064 37096 36938
M20_16S 36647 28412 25773 25669
M21_16S 32788 24846 22630 22630
M22_16S 41329 31813 29167 29129
M23_16S 46071 34488 31653 31578
M24_16S 43685 33350 30532 30480
M25_16S 26813 19663 17597 17518
M26_16S 41168 32268 29580 29580
M27_16S 39486 29889 27332 27332
M28_16S 55483 41964 39278 38979
M29_16S 38444 29508 27478 27184
M30_16S 34508 25973 23966 23928
M31_16S 43062 31314 29425 29190
M32_16S 36792 27989 26131 25767
M33_16S 51798 39506 37050 36730
M34_16S 45586 34251 31651 31606
M35_16S 46026 34473 31728 31626
M36_16S 42635 33177 30651 30519
