input filtered denoisedF nonchim
K01 16885 12429 12124 12073
K02 50793 38613 38068 37064
K03 57757 43853 43313 41190
K04 77696 63257 62937 62470
K05 18079 15511 15234 15229
K06 18272 14220 13813 13765
K07 80974 65138 64719 61848
K08 19077 15692 15245 15150
K09 10330 7835 7644 7564
K10 22443 19382 19037 18307
K11 17713 14668 14339 14232
K12 20934 18391 18030 17876
K13 20978 18282 18124 18107
K14 23933 20520 20336 20265
K15 24468 20516 20274 20217
K16 26759 23094 22795 22659
K17 23758 21078 20794 20714
K18 23991 21206 20935 20884
K19 21948 19432 19009 18989
K20 15500 13350 12932 12852
K21 22965 19948 19517 19437
K22 24592 21374 21148 21148
K23 24650 22544 22285 22285
K24 19856 17766 17273 17250
K25 23358 20687 20362 20229
K26 21764 19112 18652 18638
K27 28384 24612 24396 24295
K28 19829 16790 16357 16192
K29 20107 15465 15136 15059
K30 25539 21980 21571 21192
K31 22900 19584 19169 19066
K32 21352 18658 18262 18179
K33 26719 22451 22007 21749
K34 26091 23239 22897 22817
K35 18939 17185 16909 16841
K36 22715 20060 19710 19666
K37 106118 93409 92606 91957
K38 25953 22802 22250 22213
K39 17548 15732 15203 15203
K40 27289 24264 23898 23895
K41 20149 18093 17777 17777
K42 20598 18399 17933 17933
K43 110015 98012 96997 94789
K44 88675 76981 76238 74721
K45 25581 22851 22201 21908
K46 62487 54033 53594 52683
K47 86813 74678 74315 73002
K48 15649 13178 13013 13013
K49 9988 8302 8107 8107
K50 16369 13478 13076 13070
K51 13576 11371 10947 10903
K52 26912 21339 21065 20947
K53 20299 15987 15741 15741
K54 39775 30747 30238 30141
M01 37681 27083 26380 25057
M02 36956 29401 28855 28312
M03 37708 26977 26525 25717
M04 43073 34178 33696 31955
M05 34216 25134 24730 23180
M06 40710 31643 31085 29756
M07 37518 28858 28428 27054
M08 36201 28556 28184 28017
M09 38188 30972 30502 29722
M10 41823 31574 31213 30864
M11 46482 36887 36571 35918
M12 40282 32529 31993 31402
M13 42796 35295 34685 33323
M14 41201 32166 31847 31595
M15 50294 41405 40792 39546
M16 48545 38122 37546 36148
M17 39285 30076 29633 29359
M18 43164 34089 33670 32769
M19 38350 30799 30283 29469
M20 38552 28680 28139 27097
M21 32290 24149 23775 23593
M22 33150 26385 25813 25694
M23 34201 25019 24477 24203
M24 31632 25322 25015 24544
M25 36956 30906 30501 28619
M26 38754 26800 26544 25782
M27 35492 27018 26754 25737
M28 34474 25566 25417 25225
M29 38706 30064 29552 29188
M30 28704 21670 21572 21458
M31 41062 31934 31565 31462
M32 42079 32300 31710 31491
M33 38481 28755 28316 28198
M34 45192 33173 32662 32509
M35 36928 29364 28909 28608
M36 32231 25450 25090 24729
