primary_lifestyle	K01	K02	K03	K04	K05	K06	K07	K08	K09	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K20	K21	K22	K23	K24	K25	K26	K27	K28	K29	K30	K31	K32	K33	K34	K35	K36	K37	K38	K39	K40	K41	K42	K43	K44	K45	K46	K47	K48	K49	K50	K51	K52	K53	K54	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36
1	algal_parasite	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105764145954521	0	0.0661025912215759	0	0	0	0	0	0	0.0793231094658911	0.251189846641988	0	0.105764145954521	1.08408249603384	1.15018508725542	0.38339502908514	0	0	0.0925436277102062	0	0	0	0	0.0528820729772607	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	animal_parasite	2.2607086197779	0.700687466948704	0.581702802749868	0.912215758857747	0.951877313590693	0.277630883130619	1.15018508725542	0.885774722369117	0.991538868323638	0.35695399259651	0.475938656795346	1.18984664198837	1.81121099947118	0.608143839238498	0.35695399259651	0.542041248016922	0.621364357482813	0.753569539925965	1.36171337916446	0.912215758857747	0.661025912215759	1.36171337916446	1.33527234267583	2.47223691168694	0.938656795346377	1.32205182443152	0.38339502908514	3.7414066631412	4.24378635642517	2.86885245901639	2.57800105764146	1.46747752511898	1.58646218931782	5.55261766261238	3.96615547329455	5.34108937070333	0.621364357482813	0.396615547329455	0.171866737176097	2.02273929138022	3.34479111581174	0.198307773664728	0.251189846641988	0.502379693283977	0.185087255420412	0.0925436277102062	0.105764145954521	0.132205182443152	0	0.118984664198837	0.264410364886304	0	0.211528291909043	0.118984664198837	0.0396615547329455	0.0661025912215759	0	0.277630883130619	0.542041248016922	0.0661025912215759	0.0528820729772607	0.0528820729772607	0.0528820729772607	0.0264410364886304	0.158646218931782	0	0.211528291909043	0.0264410364886304	0.158646218931782	0.436277102062401	0.237969328397673	0.436277102062401	0.0925436277102062	0.118984664198837	0.198307773664728	0.0264410364886304	0.158646218931782	0	0.0264410364886304	0.0264410364886304	0	0.211528291909043	0.118984664198837	0.251189846641988	0.0925436277102062	0.0661025912215759	0.0396615547329455	0.0661025912215759	0.224748810153358	0
3	arbuscular_mycorrhizal	0	0.0264410364886304	0	0	0	0	0	0	0	0.0264410364886304	0.0132205182443152	0	0	0	0	0.0132205182443152	0.0528820729772607	0.0132205182443152	0.0264410364886304	0	0.0528820729772607	0.0132205182443152	0	0	0.0396615547329455	0	0.145425700687467	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0264410364886304	0.0793231094658911	0	0	0	0	0	0	0	0.0396615547329455	0	0.0132205182443152	0	0.185087255420412	0.118984664198837	0.171866737176097	0.0661025912215759	0.0396615547329455	0.0264410364886304	0.0528820729772607	0.0132205182443152	0.132205182443152	0	0	0	0	0	0	0	0.0793231094658911	0	0	0.118984664198837	0	0.132205182443152	0	0.0661025912215759	0	0.0396615547329455	0	0.251189846641988	0.132205182443152	0.171866737176097	0	0	0	0	0.0925436277102062	0
4	arthropod-associated	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0264410364886304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	dung_saprotroph	0.0396615547329455	0.0528820729772607	0.0264410364886304	0.0264410364886304	0	0.0528820729772607	0.185087255420412	0.105764145954521	0.185087255420412	0.079323109465891	0.449497620306716	0.211528291909043	0.938656795346378	0.475938656795346	0.251189846641988	0.727128503437335	0.132205182443152	1.86409307244844	0.449497620306716	0.317292437863564	2.36647276573242	0.251189846641988	0.396615547329455	0.198307773664728	1.15018508725542	0.634584875727129	2.73664727657324	1.13696456901111	1.40137493389741	0.991538868323638	0.780010576414595	2.31359069275516	0.449497620306716	0.542041248016922	1.79799048122686	0.647805393971444	1.58646218931782	3.12004230565838	1.69222633527234	1.20306716023268	0.555261766261238	1.77154944473823	5.55261766261238	0.674246430460074	1.85087255420412	0.423056583818086	0.462718138551031	0.35695399259651	0.555261766261237	0.793231094658911	1.7451084082496	0.449497620306716	0.370174510840825	0.462718138551031	0.0396615547329455	0.0925436277102062	0.0264410364886304	0.0132205182443152	0	0.0264410364886304	0.0396615547329455	0.0528820729772607	0.198307773664728	0.264410364886304	0	0.290851401374934	0.674246430460074	0.475938656795346	0.35695399259651	0.0528820729772607	0.370174510840825	0.237969328397673	0.0661025912215759	0.0661025912215759	0.0132205182443152	0.251189846641988	0.449497620306716	0	0.38339502908514	0.475938656795346	1.86409307244844	2.31359069275516	1.78476996298255	0	0.304071919619249	0.846113167636171	0.330512956107879	0.237969328397673	0.0793231094658911	0.145425700687467
6	ectomycorrhizal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0132205182443152	0.0396615547329455	0	0	0	0	0.0264410364886304	0	0	0	0	0.0661025912215759	0	0.0132205182443152	0	0	0	0	0	0	0	0	0.0396615547329455	0	0	0	0.0132205182443152	0	0	0.0264410364886304	0	0.0661025912215759	0.0396615547329455	0.0264410364886304	0	0	0	0.0132205182443152	0	0	0	0	0	0	0	0	0.0132205182443152	0	0	0	0	0	0	0	0	0	0	0
7	foliar_endophyte	0	0.0264410364886304	0	0.0396615547329455	0	0.0528820729772607	0.0132205182443152	0.0264410364886304	0	0.185087255420412	0	0.145425700687467	0.0132205182443152	0.0925436277102062	0	0.132205182443152	1.12374405076679	29.825489159175	0.237969328397673	0.35695399259651	0.304071919619249	0.0132205182443152	0.0661025912215759	0.0793231094658911	0.145425700687467	0.171866737176097	0.0396615547329455	0.594923320994183	0.224748810153358	0.370174510840825	0.872554204124802	1.03120042305658	0.449497620306716	1.70544685351666	2.68376520359598	0.71390798519302	0.171866737176097	0.145425700687467	0.0793231094658911	0.0264410364886304	0.0264410364886304	0	0	0	0.0528820729772607	0	0	0.0528820729772607	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0264410364886304	0	0	0.0132205182443152	0.0264410364886304	0.0132205182443152	0.0925436277102062	0.0132205182443152	0.0661025912215759	0	0.0132205182443152	0	0	0	0.0661025912215759	0	0	0	0.0132205182443152	0	0	0	0	0.0793231094658911	0.0661025912215759	0	0.0925436277102062	0.0396615547329455	0
8	lichen_parasite	0	0	0	0.0264410364886304	0	0.462718138551031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9	lichenized	0	0.0396615547329455	0	0	0	0	0	0	0	0	0.0396615547329455	0	0	0	0.145425700687467	0.158646218931782	0	0	0	0	0	0.0661025912215759	0	0	0.0396615547329455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0264410364886304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10	litter_saprotroph	0.290851401374934	0.35695399259651	0.0661025912215759	2.181385510312	0.38339502908514	0.462718138551031	0.185087255420412	0.171866737176097	0	0.290851401374934	1.53358011634056	1.11052353252247	1.0444209413009	1.15018508725542	1.4806980433633	3.78106821787414	2.6176626123744	3.05393971443681	0.872554204124802	0.436277102062401	0.76679005817028	1.63934426229508	0.832892649391856	0.38339502908514	0.687466948704389	0.885774722369117	2.59122157588578	0.621364357482813	0.71390798519302	0.568482284505553	1.18984664198837	0.846113167636171	0.898995240613432	1.20306716023268	1.41459545214172	0.753569539925965	2.36647276573242	1.00475938656795	1.22950819672131	0.185087255420412	0.846113167636171	0.938656795346378	0.71390798519302	0.475938656795346	0.489159175039662	1.42781597038604	6.43839238498149	2.30037017451084	1.00475938656795	1.85087255420412	1.42781597038604	1.75832892649392	3.52987837123215	2.9613960867266	0.396615547329455	0.727128503437335	0.211528291909043	0	0	0.0396615547329455	0.396615547329455	0.76679005817028	0.264410364886304	1.07086197778953	1.15018508725542	1.56002115282919	3.97937599153887	1.38815441565309	1.26916975145426	2.16816499206769	0.912215758857747	1.26916975145426	0.594923320994183	0.185087255420412	0.224748810153358	1.0444209413009	0.0925436277102062	0.0132205182443152	1.40137493389741	0.568482284505553	0.0925436277102062	1.71866737176097	1.0444209413009	0	1.3088313061872	0.832892649391856	0.819672131147541	0.885774722369117	0.727128503437335	1.12374405076679
