K01	K02	K03	K04	K05	K06	K07	K08	K09	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K20	K21	K22	K23	K24	K25	K26	K27	K28	K29	K30	K31	K32	K33	K34	K35	K36	K37	K38	K39	K40	K41	K42	K43	K44	K45	K46	K47	K48	K49	K50	K51	K52	K53	K54	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36	Kingdom	Phylum	Class	Order	Family	Genus	Species	jrk_template	COMMENT.on.genus	primary_lifestyle	Secondary_lifestyle	Comment_on_lifestyle_template	Endophytic_interaction_capability_template	Plant_pathogenic_capacity_template	Decay_substrate_template	Decay_type_template	Aquatic_habitat_template	Animal_biotrophic_capacity_template	Specific_hosts	Growth_form_template	Fruitbody_type_template	Hymenium_type_template	Ectomycorrhiza_exploration_type_template	Ectomycorrhiza_lineage_template	primary_photobiont	secondary_photobiont
Fung_ASV1	0	3	0	0	8	0	0	0	0	0	10	0	0	0	0	0	0	8	215	181	143	176	302	155	47	183	126	84	83	111	248	205	502	104	182	49	83	54	50	8	9	18	3184	82	1844	2	0	0	0	12	0	9	4	3	26	5	5	3	6	5	14	0	1	2254	1749	2471	2899	1054	2843	2938	3197	2679	2	0	0	0	2	0	0	0	0	79	1072	89	33	32	20	52	57	147	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fung_ASV2	2928	2053	3635	1636	1365	1979	3538	981	4141	0	0	0	0	0	0	0	20	152	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	NA	jrk06287	NA	unspecified_saprotroph	foliar_endophyte	toxin-producing,animal_parasite_some_species,mycoparasite_some_species	foliar_endophyte	NA	soil	mold	partly_aquatic	opportunistic_human_parasite	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Fung_ASV3	0	2	0	0	14	0	2	0	0	11	55	59	333	32	101	76	120	66	5	6	0	0	0	0	21	8	0	44	49	36	128	54	199	328	192	248	198	77	94	73	33	105	1	0	0	158	308	176	235	515	407	225	293	151	15	5	12	0	7	11	12	0	0	113	53	243	228	271	197	324	150	294	10	16	27	40	30	14	20	0	0	584	370	170	319	496	185	726	361	1882	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	NA	jrk02608	NA	plant_pathogen	litter_saprotroph	hypervariable	NA	leaf/fruit/seed_pathogen	leaf/fruit/seed,roots,soil,animal_material	NA	partly_aquatic	animal_parasite	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Fung_ASV4	38	195	34	24	68	87	93	20	116	155	124	302	310	298	285	29	116	241	296	390	420	205	294	238	614	164	169	192	136	303	139	84	129	48	81	57	59	47	29	275	709	500	15	320	210	315	195	130	231	253	182	125	156	150	205	139	0	13	0	0	41	0	24	0	0	37	263	171	125	37	0	43	0	0	0	0	0	0	0	0	0	50	0	391	0	0	15	0	0	0	Fungi	Ascomycota	Eurotiomycetes	Eurotiales	Aspergillaceae	Penicillium	restrictum	jrk06287	NA	unspecified_saprotroph	foliar_endophyte	toxin-producing,animal_parasite_some_species,mycoparasite_some_species	foliar_endophyte	NA	soil	mold	partly_aquatic	opportunistic_human_parasite	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Fung_ASV5	0	9	1	0	11	5	0	1	0	114	351	210	427	462	162	526	670	255	131	23	9	0	11	9	11	1	0	1125	643	1112	352	354	544	638	383	674	378	164	539	208	66	151	0	1	3	7	2	10	57	27	62	916	419	352	22	2	7	27	23	25	9	19	0	0	0	1	2	0	2	8	7	0	14	4	3	12	25	7	3	11	1	0	2	0	131	42	146	85	162	9	Fungi	Ascomycota	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fung_ASV6	106	133	140	383	724	145	139	126	65	126	398	234	287	441	334	440	343	171	218	198	260	97	164	114	158	183	214	279	282	248	269	159	206	151	187	156	101	79	77	72	42	50	45	95	104	31	44	47	49	98	42	11	44	43	51	77	43	0	0	0	0	0	0	34	28	92	97	60	78	73	147	64	86	35	30	5	0	0	0	2	0	119	130	30	168	204	173	133	63	121	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Fusarium	acutatum	jrk03281	NA	plant_pathogen	litter_saprotroph	hypervariable,_saprotroph,_pathogen,damping-off_pathogen	foliar_endophyte	leaf/fruit/seed_pathogen	leaf/fruit/seed,roots,soil,animal_material	soft_rot	partly_aquatic	opportunistic_human_parasite	NA	filamentous_mycelium	NA	NA	NA	NA	NA	NA
Fung_ASV7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	524	479	137	28	329	0	0	0	0	0	0	0	0	0	380	291	33	96	0	0	3753	1484	1970	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Archaeorhizomycetes	Archaeorhizomycetales	Archaeorhizomycetaceae	Archaeorhizomyces	NA	jrk00567	NA	soil_saprotroph	root-associated	NA	root-associated	root-associated	roots,soil	NA	non-aquatic	NA	NA	filamentous_mycelium	none	none	NA	NA	NA	NA
Fung_ASV8	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	4	0	0	13	14	25	752	99	62	261	195	302	0	46	48	33	22	0	0	0	0	525	786	968	610	31	1048	60	9	203	176	133	0	191	77	355	1387	478	620	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Lophiostomataceae	Lophiostoma	NA	jrk04793	NA	wood_saprotroph	litter_saprotroph	NA	no_endophytic_capacity	NA	wood,leaf/fruit/seed	NA	partly_aquatic	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
Fung_ASV9	0	0	0	0	0	0	0	0	0	0	0	65	0	40	0	93	47	0	0	0	0	0	0	0	0	0	0	92	62	63	0	0	0	27	0	0	201	197	579	181	116	262	37	38	76	91	90	150	194	125	0	0	143	162	0	51	0	0	0	0	0	25	0	0	59	138	103	0	0	111	0	104	140	116	24	0	0	14	12	0	0	592	879	135	239	515	324	516	486	592	Fungi	Ascomycota	Sordariomycetes	Sordariales	Chaetomiaceae	Condenascus	tortuosus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Fung_ASV10	1077	927	363	59	456	92	1099	2228	843	0	0	0	0	46	9	0	0	21	1302	37	150	65	74	112	10	40	15	11	17	24	0	0	0	0	0	0	11	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Capnodiaceae	Antennariella	placitae	jrk09663	NA	sooty_mold	litter_saprotroph	NA	NA	NA	leaf/fruit/seed,sugar-rich_substrates	NA	non-aquatic	NA	NA	filamentous_mycelium	perithecium_(hymenium_hidden,_narrow_opening)	closed	NA	NA	NA	NA
