KO	Symbol	Name	Cycle	Function	Pathway	K01	K02	K03	K04	K05	K06	K07	K08	K09	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K20	K21	K22	K23	K24	K25	K26	K27	K28	K29	K30	K31	K32	K33	K34	K35	K36	K37	K38	K39	K40	K41	K42	K43	K44	K45	K46	K47	K48	K49	K50	K51	K52	K53	K54	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36
1	K00174	korA, oorA, oforA	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	Carbon	Autotrophic C fixation	rTCA	7279.32	7632.82	7335.84	7892.99	8428.5	7664.5	7752	7424.83	7938.82	8525.49	8289.83	8133.83	8680.16	8691.17	8432.49	8387.48	8367.49	8417.83	7847.49	7724.34	8263.5	7995.16	7757.57	6836	8358.67	7807.67	8578.17	8258.67	8130.67	8499.98	8248.67	8283.43	8673.67	8322.52	8496.51	8426.83	7641.82	7689.33	7636.84	8240.01	7959.93	8175.82	7962.4	8132.28	8036.32	8708.84	8738.32	8705.33	8671.96	8476.31	8363.62	8521.95	8654.98	8198.73	7515.23	7927.63	7551.42	7708.32	7761.38	7557.74	7827.86	7514.6	8017.68	9105	8688.15	8496.04	7729.41	7868	8672.15	7957.1	7402.19	7516.49	7764.04	7595.25	7640.66	7621.81	7277.58	7451.4	7599.29	7070.17	7625.56	7744.73	8343.8	7575.77	7888.38	8368.32	8110.45	7777.82	7995.58	7580.49
2	K00175	korB, oorB, oforB	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	Carbon	Autotrophic C fixation	rTCA	7227.32	7598.82	7296.84	7836.99	8300.5	7643.5	7730	7400.83	7851.82	8400.49	8204.83	8079.83	8484.16	8541.17	8290.49	8285.48	8254.99	8313.83	7780.49	7724.34	8212.5	7856.16	7638.57	6805	8109.67	7755.67	8348.17	8168.67	8087.67	8357.98	8180.67	8165.43	8535.67	8260.52	8349.51	8324.83	7603.82	7632.33	7600.84	8080.01	7831.93	8088.82	7902.4	8057.28	7850.32	8461.84	8451.32	8505.33	8450.96	8241.31	8158.76	8310.95	8397.98	8045.73	7405.23	7793.63	7413.42	7630.32	7607.38	7495.74	7671.86	7413.6	7829.68	8962	8457.15	8279.61	7428.84	7683	8328.15	7586.1	7171.19	7244.49	7690.04	7518.25	7572.66	7484.81	7172.58	7305.4	7501.29	6920.17	7482.56	7361.73	7917.8	7270.77	7412.38	7923.82	7677.45	7593.82	7750.58	7336.49
3	K00176	korD, oorD	2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	Carbon	Autotrophic C fixation	rTCA	58	34	39	56	128	65	43	24	91	202	195	89	246.5	298	207	146	158.5	151.5	121	23	142	207	214	60	334.5	138	273	127	84	301	123	172	204	102	186	102	55	76	56	174	145	146	121	81	203	315	416	376.5	430	417	405.5	334	337.5	202	340.5	513	502	520.5	635.5	399.5	621	659	650	385	558	569	657.5	848	582	714	1015	838	344	218	314	566	433	644.28	159	1047.5	681	1169	595	976	890	554.5	855	707	624	884.84
4	K00177	korC, oorC	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]	Carbon	Autotrophic C fixation	rTCA	261	382	365	750	803	522	529	377	620	515	488	330	573.5	541	426	354	461.5	378.5	529	126	451	508	381	179	678.5	333	840	310	281	412	275	438	475	334	351	484	166	155	113	236	308	270	168	225	313	1317	1300	1455	1547	1495	1342	638	759	459	469.5	715	704	664	767	543.5	872	851	939	3043	2016	2161	1450	2109	1846	950	1295	1102	460	353	435	694	569	761.28	332	1207.5	984	1544	1124	1403	1153	950.5	1212	947	823	1087.84
5	K00192	cdhA	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4]	Carbon	Autotrophic C fixation	Wood-Ljungdahl	0	0	0	8	0	0	0	0	0	0	0	0	27	3.68	0	0	0	5	0	0	0	11	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	12	0	7	0	15.33	6	0	0.67	0.33	2	2.67	1.67	1.33	1.67	1.33	1.67	1	0	1	1.67	3	0	0.67	6.67	3	0.67	0	0	0.67	0	2.33	0	4.5	2.67	2.67	1.33	3	1	0.33	0.67	2.33	1.33	1.83
6	K00193	cdhC	 acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169]	Carbon	Methanogenesis	Methanogenesis	0	0	0	8	0	0	0	0	0	0	0	0	27	1.67	0	0	0	5	0	0	0	11	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	2	12	0	7	0	15	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.5
7	K00194	cdhD, acsD	 acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]	Carbon	Methanogenesis	Methanogenesis	0	0	0	8	11	0	0	0	0	5	0	0	27	11.68	0	0	0	7	14	0	4	18	4	15	0	0	40	0	0	0	0	0	18	0	0	0	0	0	0	8	5	10	0	0	4	0	1	32.5	8	16	3.5	19.33	9	2	3.67	0.33	4	2.67	1.67	1.33	1.67	1.33	3.67	1	5	5	5.17	7	7	0.67	9.67	3	2.67	0	0	2.67	0	2.33	0	4.5	2.67	2.67	1.33	9	1	0.33	6.67	2.33	7.33	1.83
8	K00197	cdhE, acsC	 acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]	Carbon	Methanogenesis	Methanogenesis	0	0	0	8	11	0	0	0	0	5	0	0	38	11.01	0	0	0	7	14	0	4	18	4	15	0	0	44	0	0	0	0	0	18	0	0	0	0	0	0	8	8	12	0	0	4	0	7	45.5	16.5	25.5	12.5	21.33	10	2	8.42	0.33	4	9.67	1.67	1.33	1.67	4.33	6.67	1	6	5	5.17	8	7	0.67	17.17	3	6.67	0	0	2.67	13.25	12.58	0	8.75	2.67	6.17	1.33	9	3	2.83	6.67	3.33	7.33	1.83
9	K00198	cooS, acsA	anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]	Carbon	Autotrophic C fixation	Wood-Ljungdahl	0	0	0	0	22	0	0	0	0	10	0	0	0	2.67	0	0	0	2	24	0	4	3	4	30	0	0	15	0	0	0	0	0	33	0	0	0	0	0	5	16	0	12	0	0	4	0	7	24.5	11.5	16.5	12.64	6.33	3	2	7.42	0.33	6	2.67	1.67	1.33	1.67	1.33	5.67	1	10	9.57	5.6	13	14	0.67	10.17	3	8.67	0	0	4.67	14.25	13.34	0	4.75	2.67	6.17	1.33	17	3	2.83	12.67	2.33	13.33	3.33
10	K00200	fwdA, fmdA	 formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]	Carbon	Methanogenesis	Methanogenesis	193.99	197.82	169	109.99	50.83	86.84	164	119.5	111.99	133.33	159	130	206.66	102.34	140.99	78.32	94.66	114.67	120	94.17	50.67	92.66	89.5	66.66	211.33	171.17	208	114	142.01	180.65	173	137.33	107.01	63.35	86.67	121.33	146.32	107.5	100.17	215.01	225.42	162.33	244.16	131.67	219.68	221.34	216.99	224.68	221.69	211.5	291.5	159.44	168.02	131.82	173.01	150.16	209.1	219.44	184.3	211.02	198.52	267.14	212.94	60.87	106.77	95.26	196.24	175.05	91.22	114.21	249.83	211.15	168.81	140.62	158.35	180.58	150.1	188.14	119.68	237.75	187.56	210.14	114.52	230.37	201.54	148.51	190.35	212.7	137.22	204.27
