Autotrophic_C_fixation	Cellulose_breakdown	Chitin_breakdown	Denitrification	Lignin_breakdown	Methane_oxidation	Methanogenesis	N_fixation	Nitrification	Xylan_breakdown
K01	45783.15	505.34	1266.33	10123.35	214.6	162	15055.03	96	2674	3232.68
K02	46519.27	560.66	1290.49	10447.12	277.5	65	15736.58	165	3666	3309.32
K03	44850.75	384.17	1429.68	10860.18	190.5	61	15550.87	183	4756	3394
K04	46545.46	374	1203	12126.14	233.5	34	16740.11	102	7560	2683
K05	47078.16	310.5	897.5	12314.33	132	42	15655.81	207	7284	2210.5
K06	45190.51	271.17	1055.17	13066.18	239.5	31	15917.21	171	7260	2590.5
K07	45928.49	535	1188.5	10903.67	164.5	100	17041.33	48	6740	3032.5
K08	44657.66	302	1104	11439.49	350	85	14546	183	3768	3115
K09	46011.59	495	1008	11744.96	212	48	17014.92	184	7800	2853
K10	47949.97	546.67	761.67	10885.31	189	21	16547.48	258	6088	1715
K11	47507.16	438.17	758.66	10587.51	228.17	77	15018.83	384	3200	1185.84
K12	48039.62	503	817.15	10409.49	204.5	86	15588.31	204	4140	1721.65
K13	47677.95	521	626.33	8797.64	336.33	62	15718.79	212.01	3629	1827.66
K14	47067.86	459.5	642.34	8302.32	114	0	14379.27	86.04	3255	1444
K15	48844.94	593	593.99	9401.79	281	0	15643.26	111	3173	1454.65
K16	47811.19	479.33	885.32	10609.09	147.33	26	14763.22	180	3950	2176.66
K17	49081.78	635	713	10292.3	318	62	14423.61	169.5	2024	1770.5
K18	47989.81	540.5	719.49	9361.5	196.83	18	15986.86	76.5	4561	1530.16
K19	45715.46	427.34	1087	10683.32	288.33	83	14965.08	195	4040	2695.83
K20	45604.06	365	972.5	12536.18	357	52	15248.21	171	5688	2573
K21	46342.32	417	1089	10030	183	37	13850.84	297	3400	2857
K22	45811.15	568	1018.32	9900.13	325	109	13175.79	423	1116	1838.32
K23	50468.84	665.33	1294.14	10696.64	491.33	90	15030.39	625.5	1091	2534.07
K24	43876.26	334.84	1403.02	13203.53	559.2	56	13374.37	210	1384	2917.02
K25	46103.39	504	954.85	8945.32	341.17	94	14395.49	349.5	2216	1815.51
K26	47671.32	437	977.5	11798.85	574.5	73	15080.68	333	2316	2442.33
K27	46522.48	525.83	720.17	7835.5	316.5	144	13633.33	409.5	991	2282.33
K28	48121.01	478	1072.34	11975.02	220	84	15594.34	205	5053	2488
K29	47165.48	413.5	972.98	11816.18	238.16	81	14978.38	177	3456	2027.96
K30	48443.7	516	809.17	11519.43	355.83	36	15842.89	210	4764	1565.66
K31	49637.35	522	1064.5	11787.01	380.5	51	15217.34	375	3036	2275
K32	47855.77	479.67	997.67	10116.22	212.6	45	15349.15	243	4002	2627
K33	47724.16	435	530.66	9033.69	189	34	14041.71	183	2480	1914.33
K34	48195.26	474.5	856.5	11755.06	150.5	0	15779.78	120	5520	2846
K35	48293.4	458.5	893	10712.77	220	23	15144.29	132	3993	2124
K36	47843.48	472	903.66	10086.33	176	21	14905.47	75	3608	2223
K37	45974.92	476.33	1180.83	10790.39	506.5	49	14944.66	126	3158	1586.51
K38	46631.04	634.84	1222.85	10325.42	473.17	31	15024.68	123	2852	1547.34
K39	45542.57	539.83	1269.83	10414	389.4	23	14518.03	69	2636	2094.5
K40	47006.06	546.84	982.68	10112.89	398.17	86	16443.9	138	4020	1609.53
K41	47339.59	895.83	1243.34	9136	425.67	87	15701.37	162	1604	1697.31
K42	47277.24	727	989.15	9540.15	488.83	61	16075.46	210	3892	1403.66
K43	45824.38	516.67	873.67	9678.67	495	20	17435.87	60	3768	1391.47
K44	47735.55	758	1108.49	10702.16	440	29	16550.99	87	4552	1166.76
K45	48660.62	772	1002	11042.22	682	37	17686.79	123	4828	1452
K46	47117.89	620.68	753.67	7698.19	211	86	15001.89	330	3424	1072
K47	48411.44	588	909.32	8601.8	261	63	15794.25	409	3209	1072.5
K48	46257.24	571.99	890.83	6930.64	201.47	49	14339.23	403.5	1916	1455.18
K49	47568.78	592.75	929.12	8412.9	174.97	50	14837.68	535.5	2526	1492.02
K50	47335.15	648.67	1059.22	7847.19	181.8	65	15031.58	522	2420	1648.34
K51	46429.63	566.83	919.48	8866.1	202.31	88.72	15371.24	575.01	3309	1758.79
K52	47416.93	623.74	679.44	9525.52	211.43	36.86	15549.87	163.98	4041	892.53
K53	46984.88	572.16	628.71	7737.32	226.81	62.86	14679.74	122.5	2588	1106.54
K54	46627.39	659.08	940.88	9506.8	280.33	24	15544.74	87	3971	1017.15
M01	51007.09	1121.56	1693.07	10674.41	479.51	58.7	17007.52	228.27	1501	3259.66
M02	51994.86	1375.19	1335.85	9701.11	420.83	40	17501.03	111.48	1772	2427.98
M03	49668.67	936.59	1350.43	10167.07	467.07	63.34	17059.6	191.33	1690	2573.65
M04	53128.13	1489.99	1377.96	8946.89	550.25	58.86	17895.04	180.02	352	2548.43
M05	52796.77	1366	1548.39	9075.9	475.84	49	17256.63	220.36	392	2674.32
M06	53545.33	1256.75	1843.92	10118.6	642.19	78.72	17385.96	158.48	396	3186.81
M07	51728.94	1182.21	1504.69	9985.48	504.84	50	16762.18	209.03	836	3018.86
M08	51822.49	1145.24	1334.42	10718.87	621.9	65.74	17329.82	247.32	1042	2142.43
M09	51916.99	1259.99	1418.81	9160.22	490.83	54	17055.68	274.35	856	3348.92
M10	52978.68	573	1731.83	7438.01	700.5	45.2	14915.26	145.32	416	2179.78
M11	50325.37	580.42	1504.24	8248.84	293.87	77.42	15036.65	274.68	1119	1953.87
M12	52016.34	762.33	1173.36	8600.57	687.83	87.2	15755.32	243	1126	2698.81
M13	50023.98	622.5	1122.31	10734.34	713.17	129	16024.04	179.19	1152	2761.05
M14	50429.11	512.75	1198.41	9808.26	622.33	67.2	15470.8	147.33	758	2731.76
M15	50985.8	621.92	1178.34	9249.3	558	63	15688.29	210.66	2516	2319.75
M16	50513.48	684.33	1167.98	11799.93	629.33	107.4	17203.15	167.02	4293	2092.8
M17	49409.69	596.6	1168.24	11832.41	466.77	119	17340.77	273.53	2820	2519.87
M18	50355.37	604.83	1233.14	11574.7	543.4	69.2	16912.74	198.66	2004	2329.36
M19	53542.57	1245.76	1517.73	9555.78	474.97	47.28	17550.05	136.02	830	2534.42
M20	54031.3	1419.51	1660.11	9578.33	525.5	48.86	17985.26	172.68	473	2938.34
M21	53855.01	1258.57	1685.09	10456.7	636.83	49.72	17432.57	168.99	1087	3552.68
M22	52575.56	1081.17	1585.02	10552	578.39	46.02	17502.56	120.69	1442	2426.26
M23	51270.51	1153.43	1341.26	10233.1	657.97	61.86	17811.18	133.75	1735	2036.36
M24	51041.81	1173.84	1128.5	10189.94	626.62	15.72	17219.99	183.19	1212	1678.43
M25	50062.03	1075.66	1471.32	8795.01	530.16	41	16174.44	123	1300	2563.06
