function	K01	K02	K03	K04	K05	K06	K07	K08	K09	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K20	K21	K22	K23	K24	K25	K26	K27	K28	K29	K30	K31	K32	K33	K34	K35	K36	K37	K38	K39	K40	K41	K42	K43	K44	K45	K46	K47	K48	K49	K50	K51	K52	K53	K54	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36
--LIMONENE-6-MONOOXYGENASE-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.29	0.0	0.0	0.0
--LIMONENE-7-MONOOXYGENASE-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.29	0.0	0.0	0.0
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	15256.78	13873.65	13515.55	12908.16	13447.99	13414.01	12841.49	14733.17	12294.62	13802.83	15768.67	15292.47	14266.64	14932.83	15289.15	15837.43	17332.8	14047.68	14242.58	14350.05	14907.98	16042.0	16435.55	17286.589999999997	14222.34	16021.66	15516.66	15435.83	15824.68	14859.28	16429.510000000002	14738.74	15252.5	15577.04	15824.21	15606.32	15975.45	15815.11	16433.42	14778.34	15168.79	14489.63	14682.23	15161.95	14695.33	13364.69	13375.64	13744.919999999998	14089.86	13940.94	13328.07	14399.27	14511.54	14277.43	14983.7	14356.31	14214.71	15160.62	15009.45	15632.73	14545.910000000002	14839.14	14609.87	13971.91	13360.08	14033.21	14729.7	14207.33	13194.87	13512.49	13659.570000000002	14682.67	15259.91	15826.57	15216.44	14810.27	14703.28	14537.170000000002	14172.1	14432.48	14404.929999999998	13708.18	13207.73	14270.75	14314.98	12963.88	14289.190000000002	13389.830000000002	12905.05	14061.06
1.1.1.136-RXN	2910.32	2454.49	2549.51	2124.99	2774.83	2692.17	2602.83	3526.0	2295.48	2619.66	3269.17	2959.83	2674.49	3001.0	2859.16	3560.81	4075.32	2480.84	2580.16	3352.8500000000004	3229.83	3247.0	2520.49	3427.0	2570.66	3190.17	3051.0	3439.33	3516.6800000000003	3168.6400000000003	3170.17	2801.5	3168.01	3628.19	3639.85	3536.33	3664.98	3706.0	4140.0	3035.67	2619.43	2551.99	2613.16	3185.51	2934.52	2282.84	1809.99	2457.17	2431.77	2227.46	2256.48	2961.44	2706.01	2762.25	1856.39	1514.16	1683.73	1599.7599999999998	1854.96	1596.11	1743.5199999999998	1702.76	1797.6	678.6099999999999	1010.35	1070.57	1684.9900000000002	1239.5200000000002	1110.88	1643.67	1550.41	1749.72	1745.06	1876.7200000000005	1768.44	1748.45	1755.17	1656.26	1733.17	1696.77	1530.48	1720.1999999999998	1405.7	1464.88	1642.05	1535.34	1515.72	1433.5299999999995	1438.23	1582.53
1.1.1.145-RXN	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	38.0	32.0	0.0	0.0	14.0	20.0	0.0	31.0	0.0	0.0	16.0	55.0	32.0	0.0	57.0	0.0	39.0	17.0	25.0	18.0	19.0	10.0	20.0	14.0	88.0	100.0	75.0	89.0	71.0	108.0	91.0	73.0	54.0	29.0	25.0	27.0	28.0	30.0	28.0	49.0	44.0	34.0	73.5	61.0	50.0	54.0	40.0	37.0	62.0	40.0	39.0	16.0	11.0	34.0	46.0	41.0	46.0	31.0	33.0	34.0
1.1.1.170-RXN	0.0	4.0	0.0	4.0	0.0	9.0	7.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	8.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.215-RXN	199.0	181.0	185.0	190.0	234.0	267.0	175.0	222.0	156.0	127.0	120.0	142.0	186.0	17.0	211.0	69.33	210.0	80.5	195.17	230.0	50.0	169.83	220.0	544.1	261.5	344.0	279.5	171.17000000000002	224.0	348.0	438.0	137.0	210.0	236.0	203.5	171.0	185.0	126.5	167.7	131.0	208.0	197.0	117.0	62.0	152.0	62.0	158.5	135.26999999999998	68.03	109.2	128.3	60.27	95.8	130.1	239.5	201.0	255.0	113.0	161.0	148.0	138.2	137.0	133.5	46.0	94.33	73.17	212.0	132.0	135.42999999999998	159.0	225.23	223.43	150.0	148.7	166.2	214.33	151.8	209.34	93.0	233.5	130.67000000000002	188.83	62.4	154.0	109.0	84.0	126.2	89.5	100.5	175.5
1.1.1.251-RXN	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	2.5	0.0	0.0	0.0	4.5	0.0	0.0	0.0	0.0	0.0	4.5	0.0	5.0	12.5	0.0	11.0	0.0	0.0	3.0	0.0	5.0	1.5	6.0	0.0	1.5	0.0	0.0	9.5	5.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	4.0	2.5	4.5	0.0	0.0	0.0	0.0	0.0	0.0	0.4	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	2.5
1.1.1.253-RXN	2366.82	1808.32	2063.51	1861.99	2454.66	2319.51	1845.33	2702.17	1714.65	2072.5	2370.0	2201.83	1905.49	2254.33	2002.16	2407.98	2949.49	1747.01	2088.92	2738.1800000000003	2487.0	2533.83	2063.83	2875.75	2066.33	2322.5	2431.33	2470.33	2346.1800000000003	2224.4800000000005	2215.5	2226.5	2285.01	2829.5200000000004	2697.01	2692.16	2527.98	2661.09	2941.33	2329.84	2135.09	1951.66	1851.16	2607.34	2335.6800000000003	1666.51	1359.3199999999997	1716.01	1791.02	1717.0	1596.64	2196.35	1997.91	1983.82	1317.48	1095.51	1166.48	1105.0	1242.01	1076.34	1154.34	1096.0	1202.99	442.83	693.4999999999999	727.8299999999999	1061.17	736.51	811.9999999999999	1136.84	974.49	1160.16	1058.33	1075.3000000000002	993.83	1134.16	1080.66	1119.19	981.51	965.16	963.16	1061.81	974.01	940.14	1025.0	1050.66	973.02	862.0	930.68	931.6800000000002
1.1.1.261-RXN	960.0	1291.0	1513.33	2143.17	1963.0	2033.67	1939.67	1059.33	2204.33	1680.0	933.0	1215.66	1123.83	964.0	943.49	1103.99	638.66	1280.0	1280.16	1633.5	1080.33	448.66	489.83	464.0	741.8299999999999	829.6700000000001	402.67	1327.67	1030.5	1332.83	871.6700000000001	1186.33	815.0	1486.67	1151.0	1067.0	918.16	808.1700000000001	761.6700000000001	1252.34	582.0799999999999	1103.5	1316.0	1307.66	1351.67	997.67	986.83	695.85	883.77	881.49	1136.5	1234.4499999999998	850.27	1196.21	919.25	1151.66	1112.7600000000002	798.99	933.52	886.4099999999999	1104.34	1072.24	1013.33	922.17	1075.07	1007.99	928.51	1183.42	1138.51	1511.83	1694.59	1266.16	871.0799999999999	687.37	936.75	1083.68	1008.25	986.67	717.0	1424.92	1155.08	1408.32	814.6599999999999	1120.35	1070.67	1126.83	906.76	1364.91	1357.83	1331.34
