pathway	K01	K02	K03	K04	K05	K06	K07	K08	K09	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K20	K21	K22	K23	K24	K25	K26	K27	K28	K29	K30	K31	K32	K33	K34	K35	K36	K37	K38	K39	K40	K41	K42	K43	K44	K45	K46	K47	K48	K49	K50	K51	K52	K53	K54	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36
1CMET2-PWY	6008.062887075136	5114.616404269956	5379.8855809070365	4650.953018310509	4553.523662327788	5014.190708951633	4502.358783258386	5471.297466857142	4770.832473949855	4739.879919503738	5549.412880610929	5481.300549176746	4477.854075747008	4500.388292839761	5250.116793930718	5534.14495559994	5618.860914810681	5013.993013604799	5630.128167701031	5593.048409102251	5478.079197300037	5154.965150851297	5878.7136945965185	7121.610225908772	4737.59397685583	5726.572539351714	4971.277677730153	5344.322479662734	5668.261696930786	5328.569577659059	6012.632120381958	5380.491051025548	5376.338046129219	5274.295724846438	5128.454414748354	5131.626488509172	5872.382334209791	5945.423198878609	5915.510455236722	5012.0647082383375	4851.433497009449	4872.343388988503	5643.273921529231	4986.317366094071	5276.686750772811	4645.6533252887775	4690.799424181395	4643.854949211288	4773.294247408016	4881.2233532971695	4855.857532915052	4729.812071544469	4835.299590120443	5138.465457699878	5623.206532336311	5093.649473218059	5478.641257660601	5356.427284154071	5321.370634353815	5618.529270331759	5118.555115718788	5654.167715619547	4941.944013671333	4264.808794303693	4308.007634977553	4863.004333134533	5515.662800303722	5537.125226255567	4471.113268104187	5192.815056705035	5942.625263051099	6036.581531285657	5628.112702415659	5963.629953908063	5611.773417295468	5633.334372211271	5414.3800226650255	5700.1656250997385	5136.374132676447	6038.760757247122	5222.083812230687	5623.1749804548845	4509.033806625832	5892.548020348011	5575.605643107524	4440.663852595353	5417.909493472606	5116.86125910727	4630.5689547642805	5733.4410646798915
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	193.82153424266787	138.62243799859917	193.1883496255026	95.07385856455275	96.10582795439996	80.54094470619837	102.48013989927375	122.41071107064575	116.32121445770869	54.26018847371151	96.36842128535025	91.36430905126028	67.8942842688671	0.0	61.53674076228759	55.68680374014446	80.55539082551928	50.26223894205298	127.80006038605124	103.59344770823091	68.33861005666824	141.61448518404796	202.04560299048438	139.1327724985843	130.8489839458493	189.27363808537686	172.10549914262663	105.39532526306095	123.55161098892746	131.10047543830922	127.57884562300877	103.437806912605	71.02509342810482	38.035192502232654	66.83327307379058	97.69221279812433	93.36581466450619	84.83969793469572	99.9207556205552	71.6751953039348	82.50339682739731	83.36559550335932	49.702655315812805	91.73321679910318	134.29483406006642	93.76846859423769	127.51622044711421	74.69336180895762	55.24913105479222	78.90706789126847	74.95776695256242	49.00606864233781	51.968678639493696	64.22504077536324	187.19271869065568	184.11133150835357	206.5208904943113	217.52571436927448	202.9605869884075	208.3865208247604	164.2314346992901	228.06379549867353	171.87184104639488	243.96544891115607	232.4485008200274	190.7245710135646	157.41590228070152	254.4728989889957	156.0051422153966	86.17580966364022	264.6163919885821	231.08466030183553	201.61174578174663	215.25238802817245	125.45339654412348	210.01803111290826	183.58755243685937	189.92624138920377	178.18935970030498	297.77050416188365	220.62714549517415	268.4201307145356	135.72097612431034	252.85227055801508	156.39121125307372	111.86482729731907	207.01323415112785	196.0158017706167	120.14056627694961	215.425910613037
AEROBACTINSYN-PWY	0.0	5.305039787798409	0.0	5.308411214953271	0.0	11.794285714285715	9.224080267558529	11.798882681564246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.788235294117648	10.475336322869955	0.0	0.0	20.65069397224111	0.0	0.0	0.0	0.0	0.0	2.65884630047802	0.0	0.0	0.0	0.0	0.0	0.0	3.97768479776848	0.0	22.050379848060775	0.0	0.0	0.0	0.0	0.0	22.097488921713442	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.58128225870684	7.966764986913714	12.687423043095867	0.0	0.0	6.375807975807976	0.0	0.0	0.0	1.5983503879165912	0.0	0.0	22.141366157398814	0.0	0.0	0.0	17.433243609896852	7.9624192601291846	1.5988502649779934	0.0	0.0	0.0	7.965203775390369	0.0	15.918637172641748	12.726652818566006	0.0	0.0	9.55650696568128	14.28245431046211	0.0	0.0	14.294602012808783	0.0	12.729322036822943
ALL-CHORISMATE-PWY	2512.073086910332	1824.3372799290391	2090.281750486952	1704.0451518876132	2014.5418195616714	2153.885617744718	1605.0092938001017	2325.12978802474	1510.7378646402333	1348.0435050473618	2017.9114519436807	2040.1885314335966	932.2941846893855	1158.5421118493218	1286.9070188688916	2319.5893896253424	2350.3251938239364	1663.1650806815157	2221.385454320049	2354.055534629361	2366.224471830336	2539.61736129706	2302.6220761276018	3090.966113856765	1721.5191855887188	2641.85703386554	2065.1885748530412	2460.6367261821915	2613.999560060731	2366.8539729006766	2319.870007424539	2164.886769718182	2126.961018053055	2411.940593762479	2393.4039561739655	2192.9258839156705	2514.1411065607394	2518.0071399198305	2809.6862408073002	1878.684444901213	1611.8692623542631	1475.0862153489998	1428.3383614930733	1776.8840880886778	1823.170254382824	1490.0140350146123	1538.812710550495	1717.148507360905	1746.6031187840629	1870.1650445306054	1829.7121363232968	1847.3950173183066	1755.2367126297574	2142.080179331681	1839.8403478955881	1510.145203309642	2098.3520238223537	1965.0455876764356	2043.980557831522	1717.2480620961587	1783.9054062538005	2187.617017787261	1857.9927029273276	985.3907493059837	1563.858914482928	1457.5132966617718	2607.767532961533	2060.4218500917086	1720.5450042607542	1990.9480293345161	2482.616848245219	2531.2294760798027	1788.0737821711052	1687.0808674110956	1852.2235951839489	2027.4108492133028	1864.4156760972694	2343.390384058509	1247.4623571466748	2577.542337360939	1763.5277498534563	2520.6791521494433	1575.6139655424697	2371.061526482109	2397.944481317947	1643.5199943040514	2122.1718918342467	2080.702772328111	1882.4178013645012	2331.5279301980236
ANAEROFRUCAT-PWY	6357.863193966466	6343.783673325753	6057.829281968599	5454.801934720809	4804.815064353045	5431.611915497018	5539.325591233662	6022.1785919372505	5200.308252472813	5825.164517119086	6361.192785601963	6395.394378285077	5990.974935389237	6298.166041626128	6848.665367539621	6448.426011057792	6617.377484665179	6529.463779745285	6174.201191635522	5744.539654053446	6007.793155934236	6397.15860176115	7603.464877759092	6735.80502893877	6261.9006431832095	6762.655257485085	6047.74634082181	6464.183602610104	6617.946220433814	6374.011108064504	7145.004887189071	6443.271277468792	6465.709111384854	6115.509481918216	6285.725866312804	5926.908098016106	6865.410377438336	6971.95495472535	6598.5279890000775	6632.55165106977	7291.775425784359	6767.854305145232	7071.652090438985	6314.759853985368	6788.560889012576	6262.474652646868	6708.78403991155	6052.422558366555	6202.524284580538	6278.382034246529	6212.064749976579	5974.633488787039	6183.776905236752	6322.975762083042	8042.840579953834	7657.933170875137	7926.821498034928	7918.649709761213	7856.46835034043	8327.487873247363	8066.161164375952	8130.067653251433	7722.699177435868	7994.995760902115	7379.823971447691	7908.810800747098	7837.852657134283	7845.539092508323	7523.0013923412835	7722.426072675469	7576.631123416665	7936.606341186829	8455.023905968425	8632.117986565629	8517.139818916494	8266.722293904502	8322.42510762919	8270.666526676674	8420.819634317291	8053.232540842758	7956.343513600558	7580.353848762993	7543.703909016858	7745.309251917841	7721.698587495083	7467.798426860107	7848.264965927939	7493.05203499633	7226.506465952998	7851.664004458892
ANAGLYCOLYSIS-PWY	9916.870178107249	9810.450696700185	9609.592327854318	9296.102870091607	9482.88914319407	9319.885471860753	9545.938085890884	9886.37390486211	9290.702213722057	9661.29357295678	9875.544986488072	9803.480708799403	9889.647973102623	10025.083382802643	9901.219919868963	9946.699048477387	10079.714326684183	9710.092392257578	9832.991216584776	9604.53447536065	10083.48792976921	10020.076059940007	10184.161082796403	10235.158038771056	9935.188051509178	9914.665712338523	10305.087098973654	9748.927532258802	9945.812986099656	9660.612275941705	10078.9750509558	9855.938704573631	10019.362677221161	9734.935294810646	9827.723644286069	9943.443995599453	9836.349926337287	9878.558179953025	9904.152551338948	9779.888981127175	9992.321394224053	9816.082489779314	9509.453813280581	9600.23173342772	9586.027838757878	9755.993528370453	9965.057667791016	9932.24124455367	9793.04760888431	9818.053867217162	9642.965188083646	9775.137527512929	9999.343653589935	9755.84988767731	9835.687268607488	9860.190125226836	9768.86495100632	10069.565513681178	10054.104186850625	10193.436616446472	10010.203115868115	9979.617312563723	10045.347520202817	10531.553270481741	10311.617242850809	10142.585821855777	9786.373218861569	9931.383944258288	9944.757759111531	9371.217658215832	9466.657826213697	9595.970566767663	10158.544907435127	10227.878455795637	10026.394302944076	9874.99715589281	9666.976474541265	9659.428754084913	9865.260125247574	9638.97743011809	9873.606320864521	9637.700663149584	9703.669360255124	9722.797285396933	9686.09678255714	9505.850925747929	9865.010579992635	9640.981086669653	9560.883811277283	9709.214772690995
ARG+POLYAMINE-SYN	3146.724615741951	2797.041395952281	2767.4649913792364	2664.9484201589057	2468.133460160427	2592.545091840111	2294.7385268338203	2915.113693477166	2345.9343185176194	2587.4540284352847	3298.3105017585613	3075.170903045486	2470.9932941845186	2571.7707340489446	3105.59459526689	3046.3730766329554	3445.4323497175515	2857.5734251265726	2914.5986016348497	2942.163637095353	2476.668530624214	3507.702113973188	3435.6076178008925	4309.2496117259025	2972.8591551851277	3369.1425187883883	2912.1359190757134	3318.4201222487222	3463.4251882913923	3315.763537773579	3580.6349209792875	3108.774406506216	3128.048718931681	3050.7768855547165	3051.0419629062244	3066.819241449532	3748.4412740546695	3622.325464546344	3714.269364282921	2956.6129885708483	3342.6603732776634	3310.7887984178783	4704.237969383725	3262.484700152608	3691.0937406608255	3278.9319419073145	3445.501940330232	3244.053482583909	3456.576960367463	3398.8866555112177	3155.9543957620263	2919.024664652894	3030.0370221229714	3074.206295978882	3243.5580432974157	3078.247589652335	3067.610336538136	3322.2886198364895	3474.5740309563425	3185.6074392369233	3122.726701827603	3400.7492849153923	3033.9234942540406	2833.9200343339285	2290.2874002000935	3050.7697409241878	2972.1091909174474	3138.233519669018	2616.659148122571	3082.9298087378356	3369.048925534232	3602.373471727523	2816.9037044044317	3127.7872818026513	2932.839510296228	3268.6366706895465	3101.8052253533683	3050.080112167792	2661.2524431903794	3456.6638918175545	2986.0869191477054	3050.702390634289	2206.0005999362943	2872.1770345728823	3035.4966611243367	1995.9518141317064	2742.78800918844	2638.1066571459482	2566.064002307142	3063.8743861423895
ARGDEG-PWY	0.0	0.0	0.0	21.940142399815816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.49444687377254	6.985245672107736	0.0	0.0	0.0	14.942865830155633	0.0	0.0	0.0	0.0	0.0	18.32325224120808	0.0	0.0	34.469813233666024	0.0	30.51774214938624	0.0	0.0	8.38053221150882	0.0	13.950335778832175	6.564543641183424	16.728032134455876	0.0	6.759454485464986	0.0	0.0	26.46154358128732	13.958094808049143	0.0	0.0	0.0	0.0	13.932621651723114	0.0	0.0	0.0	0.0	11.16783777956619	6.986297608160928	18.62560884301512	0.0	0.0	0.0	0.0	0.0	0.0	0.9307478574053261	4.635146594495096	0.0	0.0	0.0	0.0	0.0	0.0	0.4657691194987441	0.0	0.0	0.0	0.0	2.778231705688072	0.0	0.0	0.0	9.03653639752392	0.0	0.0	0.0	0.0	1.8446678341571332	0.0	0.0	0.0	17.824930284031574	0.0	0.0	11.223412763526676
ARGORNPROST-PWY	1259.7977047898755	1187.947658464522	1061.98537042676	1007.6273536148423	857.6691807170008	862.1428944315413	980.8972883123503	962.4330247481045	952.1333740937204	937.023326576816	1061.0563305330643	958.3974669489544	1040.2515238907658	976.0787026455888	1310.8023035350861	1067.5961134363872	1142.8616010315961	1227.566140935974	1080.19166267668	817.6362623170387	978.2968479206212	1069.8060061924712	1866.7174818202207	1427.3635272493	1008.9095720684602	1426.4762373637445	955.5062135161711	1108.0238469964095	1174.9075730023803	1226.00824632129	1478.5486145220132	1050.8398157017841	896.5673503196836	995.0499721938379	1202.9167211623135	1120.5109559410491	1020.706752123087	1178.5355473435393	1059.0624676763903	858.467154288893	1067.0788866851165	1076.612071003373	1038.038909329395	878.2311164818589	1399.1695721046506	757.8472697681959	1077.7053512514174	675.326579145216	913.8869909103059	811.3712500777041	820.1563140601987	922.5443108243604	907.2424501253954	965.094262767646	1839.2674971963704	1480.1766911649825	1591.5219166834872	1848.0451723017559	1874.5862582665998	2027.9107851299896	1597.1631274773933	1713.6660269516165	1543.148726258666	1628.5263168053102	1572.5433929448898	1539.7008727645396	1724.3518914545152	1466.3039314013827	1385.2144309189682	1470.9862442470956	1408.274084405119	1677.522410578478	2051.735111214634	2161.436076811938	2425.1341645138305	2067.577067569265	2043.6311745927035	2243.0609005586484	1988.253792099836	1792.4114111984363	1660.4677240780186	1816.2795934548924	1748.2923619944877	1709.4719710714126	2014.2116457748866	1660.8791070686282	1952.2586384146796	1575.2479105354203	1478.6465418540506	1726.9290861160491
ARGSYN-PWY	9327.575918445376	9294.850116290432	9180.577534996819	9304.466091840215	9455.72939959703	9261.0519733651	9318.269650825812	9285.759368702322	9275.763615814616	9338.180382444501	9238.418679921733	9334.165183128684	9349.658438199189	9332.135277757661	9376.97423313499	9277.588929340325	9270.023693728976	9266.821800628228	9163.951455034485	9065.678842548896	9261.862619036163	9165.829245105453	9416.412485651937	9086.779923755768	9315.19904407777	9101.92570311891	9288.854251153445	9238.065070231916	9194.90213585026	9180.45531164812	9384.935025045861	9306.623217152672	9408.82499453633	9165.263099042682	9255.687622045794	9361.771520541211	8904.318669798562	8980.755364822477	8770.175325891874	9038.856815090496	9015.042468182775	9056.78767876894	8730.507274488215	8926.94258426983	8923.03174652643	9142.602787427206	9294.500350230228	9149.500830079494	9116.296011712097	9157.946620060247	8959.903860494102	9177.056883145495	9304.938594735379	9043.064024051599	9092.364011723732	9294.734851868445	9114.623858553512	9385.624398912485	9369.03590927117	9368.482446397244	9360.54387621208	9391.511881613897	9374.351771411782	9993.170044469893	9654.636839548579	9587.891461505807	9106.83328392661	9509.09574609801	9456.228621688255	8975.71528656419	9165.62071456948	9181.872969108492	9362.55932274871	9319.43495654166	9260.587600491734	9266.214421389053	9014.279520821678	9008.972257289408	9072.700879296815	9195.081097828444	9279.227003456139	9233.925005180712	9081.002089299845	9254.903725617809	9123.358678596818	9069.482545916988	9251.539182777758	9197.827880644587	9119.192581704865	9213.229537480054
