pathway	K01	K02	K03	K04	K05	K06	K07	K08	K09	K10	K11	K12	K13	K14	K15	K16	K17	K18	K19	K20	K21	K22	K23	K24	K25	K26	K27	K28	K29	K30	K31	K32	K33	K34	K35	K36	K37	K38	K39	K40	K41	K42	K43	K44	K45	K46	K47	K48	K49	K50	K51	K52	K53	K54	M01	M02	M03	M04	M05	M06	M07	M08	M09	M10	M11	M12	M13	M14	M15	M16	M17	M18	M19	M20	M21	M22	M23	M24	M25	M26	M27	M28	M29	M30	M31	M32	M33	M34	M35	M36
1CMET2-PWY	3223.69	2609.804102564103	2810.123846153846	2198.911025641026	2114.2453846153844	2460.3392307692307	2082.117948717949	2916.982905982906	2226.1002564102564	2334.407925407925	3061.349020979021	2972.820535117057	2142.388111888112	2209.172657342657	2710.512537752103	3060.451701631702	3098.620769230769	2576.518057160231	3105.602955465587	3100.0775213675215	3004.006930846931	2796.3358974358976	3211.064230884803	4690.204358974359	2325.0887412587413	3226.643495276653	2574.128205128205	2805.6653379953377	3170.466998527788	2882.8695571095573	3285.3895804195804	2874.9062237762237	2745.7992307692307	2700.288717948718	2634.3908547008546	2548.1101864801863	3448.3874344661185	3475.6235766149557	3423.3366233182023	2567.741234204392	2502.2053598014886	2538.511655011655	3451.8393162393163	2593.4215773115775	2835.656013986014	2299.3487072455673	2287.673900134953	2346.1711645281516	2407.689999182104	2511.428246812675	2518.8790353457	2392.8982523616733	2468.835696029117	2740.8713200834254	3008.883592154971	2578.590024095424	2910.973382703201	2790.495357480136	2717.1569225784606	2993.4974687628583	2615.5348145562843	3095.3070867431456	2497.4780373044982	2078.2143982333455	2055.6938598865763	2496.151514432331	3120.845442890443	3140.1391037909457	2227.9421488372486	2710.3327766002903	3480.592548181903	3574.493420030262	3027.6362601287383	3320.160555485967	3016.5533901436597	3054.247419931187	2899.3676984458943	3162.337333708621	2697.3168252127157	3577.185667333174	2741.6126289069125	3213.2976286870216	2251.064698904688	3509.473714268188	3096.2987305298893	2185.438719788983	2981.8859949558405	2672.4915831929334	2304.2771046298594	3237.0994835366637
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0333333333333337	0.0	5.833333333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.733333333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9333333333333335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7999999999999998	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	0.0	0.0	2.1	0.0	0.0	0.4	0.0	0.0	0.0	0.0	1.7999999999999998	0.0	0.0
AEROBACTINSYN-PWY	0.0	4.0	0.0	4.0	0.0	9.0	7.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	8.0	0.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4285714285714284	5.7142857142857135	9.142857142857142	0.0	0.0	4.571428571428571	0.0	0.0	0.0	1.1428571428571428	0.0	0.0	16.0	0.0	0.0	0.0	12.571428571428571	5.7142857142857135	1.1428571428571428	0.0	0.0	0.0	5.7142857142857135	0.0	11.428571428571427	9.142857142857142	0.0	0.0	6.857142857142857	10.285714285714285	0.0	0.0	10.285714285714285	0.0	9.142857142857142
ALL-CHORISMATE-PWY	0.0	0.0	0.0	6.88235294117647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.029411764705882	2.867647058823529	0.0	0.0	0.0	5.161764705882352	0.0	0.0	0.0	0.0	0.0	5.161764705882352	0.0	5.73529411764706	14.338235294117647	0.0	12.617647058823529	0.0	0.0	3.441176470588235	0.0	5.735294117647058	1.7205882352941175	6.88235294117647	0.0	1.7205882352941175	0.0	0.0	10.897058823529411	5.735294117647058	0.0	0.0	0.0	0.0	5.735294117647058	0.0	0.0	0.0	0.0	4.588235294117647	2.867647058823529	5.161764705882352	0.0	0.0	0.0	0.0	0.0	0.0	0.2277372262773723	1.1470588235294117	0.0	0.0	0.0	0.0	0.0	0.0	0.11386861313868615	0.0	0.0	0.0	0.0	0.6933333333333332	0.0	0.0	0.0	2.2941176470588234	0.0	0.0	0.0	0.0	0.4554744525547446	0.0	0.0	0.0	0.0	0.0	0.0	2.867647058823529
ANAEROFRUCAT-PWY	1139.16102618761	1248.6228703296977	1072.1464640804195	959.5853305204732	670.5111286531177	894.7988282931763	923.3696123380637	1030.9864189789828	761.4994740936993	1166.8352284504551	1253.876320206798	1194.3345627546155	1164.4127562259032	1317.600198700183	1446.1661879128417	1354.0659970040401	1458.768283974385	1405.996902831249	1288.931662452199	906.5552110453029	1271.4383208094732	1331.0543236828619	1614.686713262188	1228.5248905567566	999.397418760015	1387.7324112791882	826.7516993543169	1308.4651402694217	1390.9484286894265	1084.7187319551147	1541.6673074665339	1244.3629337193217	984.236594506887	959.2895735902227	936.2621759686264	1075.9537314588838	1254.6889974005408	1370.913879174924	1200.7068822714918	1635.957437424763	1522.010206211613	1470.0796502058672	2764.074161393737	1277.7575479434247	1440.0486363576144	1013.6690386015848	1598.7151894706674	1073.423348166478	1222.5293998133322	1133.8217901673722	1091.0948998715419	1239.3030071697997	1407.272994913988	1471.7198881201052	1965.1061150343958	1641.4686501546953	1771.7418000112789	1788.7504825616325	1890.4526794433425	2128.1549053212952	2008.5073712090289	2123.250794537142	1693.3898255356564	2466.9878033408204	2135.7022122569015	2315.6480769048326	2283.70818781432	2249.2131365132723	2059.0004703289005	2174.742244744558	1912.749991570623	2272.5952128192034	2480.1216577080268	2692.126462695319	2658.223645086032	2379.872946227294	2226.1957484633754	2232.3806689666585	2537.130007291964	2010.1593114943803	2129.737937300171	2001.5350277616765	2241.4240461409586	2168.7486640943084	2284.8980352492836	2129.9022750642166	2305.7599209855216	1988.817587385479	1858.917483897383	2315.4264400809616
ANAGLYCOLYSIS-PWY	8763.403528388828	8576.7969989398	8384.574987035196	7834.184326481558	7931.718566809882	7732.110577758798	8124.198751960947	8688.581145141181	7768.681224122649	8116.688977228289	8301.243643040776	8322.937927883933	8600.511424972834	8679.018665792986	8547.7201803764	8363.483091429141	8687.94911904709	8311.72297931447	8576.103817221943	8036.359227887749	8807.1078958551	8766.749453932302	9093.097103207763	8627.820416162576	8835.771870671117	8621.906145608818	9412.231853652678	7902.895940525633	8208.014653286358	7905.489588440525	8675.413930469162	8417.356903320358	8687.077095436349	8069.444130844939	8241.182737620422	8434.290581954107	8258.079802872635	8373.90183278879	8434.351363649275	8374.594543017092	9034.415570781452	8589.537282447674	8249.95589327801	8338.891367370652	8252.535551117115	8471.924777233937	8727.869277614584	8705.662503706559	8424.175603129672	8634.178297342982	8270.451917003831	8199.732348372894	8718.103215294064	8291.441239315784	8798.941933372755	8790.402978406268	8623.993857256331	9018.260805168657	9006.029862645566	9188.51220106743	8892.464454789751	8800.850048955292	8940.922783905347	9825.751954161833	9328.478521782732	9187.504325389236	8620.334471094775	8796.670960588352	8898.18042762696	8035.901585898264	8027.537042070004	8246.512821250783	9067.956810041947	9216.16760512121	8965.819155032119	8690.299113751138	8528.978017925398	8509.049590423361	8848.573590124532	8260.34547785989	8735.749074628433	8173.130329291039	8691.503564254968	8479.543154051975	8384.792619304471	8359.842587924748	8718.141583579212	8298.984539789531	8235.360440391123	8308.988315151397
ARG+POLYAMINE-SYN	0.0	0.0	0.0	6.776470588235294	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.905882352941177	2.8235294117647056	0.0	0.3431046931407942	0.0	5.08235294117647	0.17675090252707581	0.0	0.0	2.942382671480144	0.0	8.018823529411765	1.55956678700361	6.075949367088608	14.117647058823529	4.335595667870035	12.423529411764706	0.0	0.0	3.388235294117647	0.0	5.647058823529411	1.6941176470588235	6.776470588235294	0.0	1.6941176470588235	3.6141176470588237	0.0	10.729411764705882	5.647058823529411	0.0	0.0	0.0	0.0	5.647058823529411	2.6398471012953917	0.8629602888086642	1.03971119133574	0.0	5.0375026544914	2.8235294117647056	5.08235294117647	0.0	0.0	0.0	1.7007874015748032	0.0	0.0	0.2330097087378641	1.1294117647058823	0.0	0.0	0.3431046931407942	1.2164620938628157	0.0	1.03971119133574	0.45960954750972627	0.0	0.8629602888086642	0.8629602888086642	0.0	0.6776470588235294	0.0	0.3431046931407942	0.0	2.2588235294117647	0.0	1.984251968503937	1.7363176895306858	0.8629602888086642	0.4660194174757282	1.03971119133574	0.0	0.0	0.0	2.220642997242673	0.0	2.8235294117647056
ARGDEG-PWY	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.166666666666668	2.916666666666667	0.0	0.0	0.0	5.25	0.0	0.0	0.0	0.0	0.0	5.25	0.0	0.0	14.583333333333334	0.0	12.833333333333334	0.0	0.0	3.5	0.0	5.833333333333334	1.75	7.0	0.0	1.75	0.0	0.0	11.083333333333334	5.833333333333334	0.0	0.0	0.0	0.0	5.833333333333334	0.0	0.0	0.0	0.0	4.666666666666667	2.916666666666667	5.25	0.0	0.0	0.0	0.0	0.0	0.0	0.23333333333333336	1.1666666666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.11666666666666668	0.0	0.0	0.0	0.0	0.7000000000000001	0.0	0.0	0.0	2.3333333333333335	0.0	0.0	0.0	0.0	0.46666666666666673	0.0	0.0	0.0	0.0	0.0	0.0	2.916666666666667
ARGORNPROST-PWY	245.33333333333331	221.35714285714286	193.78571428571428	46.785714285714285	73.37142857142857	71.62857142857143	107.35714285714285	51.14285714285714	97.14285714285714	154.71428571428572	138.42857142857142	63.78571428571428	158.21428571428572	140.71428571428572	216.21428571428572	138.0	155.0	185.57142857142858	239.84406926406928	133.57142857142856	204.85714285714283	244.81285714285715	572.2214285714285	385.3848739495798	268.7358263305322	283.1633333333333	160.78238095238095	147.0	205.24190476190475	330.45714285714286	188.3095238095238	125.85714285714286	113.33	41.357142857142854	74.42857142857143	144.0952380952381	62.474545454545456	151.88571428571427	93.69411764705882	86.95290043290044	133.30252100840335	118.71428571428571	83.36134453781513	137.0952380952381	206.76190476190476	203.32467532467533	262.6320346320346	137.92097020626431	194.8003896103896	191.35407690348865	164.23234728234726	97.54610389610389	111.5890323402088	102.6998508898509	238.57096002037179	233.12285714285713	246.7446243952126	338.25056277056274	354.4225974025974	349.3181818181818	327.9442424242424	451.8817316017316	254.8147186147186	625.7482683982684	640.505974025974	445.99666666666667	424.8597835497835	381.22458874458874	421.73476190476185	262.85229437229435	215.1390476190476	304.72844155844155	485.60173160173156	442.59215969215967	418.6217316017316	411.70673287496817	496.6782276546982	497.99038961038957	396.84147186147186	320.9446753246753	457.86311688311685	413.62619047619046	537.1812987012987	442.7955411255411	436.84367965367966	426.7863636363636	458.6355411255411	312.6104329004329	322.2831601731602	311.39125541125543
ARGSYN-PWY	7707.686314440783	7667.704396618456	7196.37753909463	7120.014328539614	7219.008865432807	7043.070442094981	7036.407143156721	7640.377294678165	6932.904505530574	7548.807223275964	7752.317700812054	7693.957264842579	8022.786500878352	8103.882596184925	8292.844703899325	7615.120878569741	8086.608878204608	7681.321500687581	7188.834689053266	7005.843693689789	7500.022010292528	8276.154118037288	8401.101366437893	7424.621013315196	8350.061915666873	7708.655943659898	8424.799107129964	7405.721697166249	7517.620108234753	7379.750333236596	8021.5772711599575	7604.351123080316	8027.697186496448	7247.874075854897	7687.284342086889	7797.952987601289	7364.907333879973	7358.1826110321945	7250.330555448858	7688.149252984612	8215.330724885218	7857.940216596964	7439.459600724657	7432.992228471191	7419.077319634635	7661.2778313566105	8028.857639476972	7789.095230059976	7746.992031875776	7866.905965683384	7429.269144500886	7761.364846382951	8213.331515422777	7564.286492265774	8263.639237670077	8454.118530286121	8148.422121631682	8688.93197305782	8638.577751377203	8685.47879524218	8642.713861163707	8559.504994450466	8649.572403539918	9603.199825004463	9026.783435857229	9012.31054178017	8329.277395009656	8830.887488726934	8650.41337829071	7637.809924480991	7805.387005739071	8064.022135989071	8645.225138274836	8675.932327575858	8535.719053715553	8347.004102302551	8054.836616661747	8104.739608653983	8397.544802372124	8149.809119744358	8516.00616256474	8161.386363967829	8389.524942728498	8303.137183031537	8137.404546786303	8188.809956743776	8620.221213978335	8120.788825442772	8031.132120187049	8151.051559352189
