,Site,contrast,estimate,SE,df,t.ratio,p.value,Variable
1,D,Farm - Natural,-0.779762872781352,0.134537957498795,80,-5.79585781795694,1.29259651033467e-07,Gravimetric.water.content
2,E,Farm - Natural,-0.182510490875971,0.134537957498795,80,-1.3565724816181,0.178733058358639,Gravimetric.water.content
3,F,Farm - Natural,-0.0431932286588175,0.134537957498795,80,-0.321048642790673,0.749010744236787,Gravimetric.water.content
4,G,Farm - Natural,-0.32725456931733,0.134537957498795,80,-2.43243301296781,0.0172298980605988,Gravimetric.water.content
5,H,Farm - Natural,-0.516905160963561,0.134537957498795,80,-3.84207676832161,0.000243215418034037,Gravimetric.water.content
6,D,Farm - Natural,-0.2794664172375,0.0692496261389489,80,-4.03563792065466,0.000123853706295458,Carbon
7,E,Farm - Natural,0.0660346692158081,0.0692496261389488,80,0.953574378630002,0.343171557136494,Carbon
8,F,Farm - Natural,-0.165630431779959,0.0692496261389489,80,-2.39178810074184,0.019113037736761,Carbon
9,G,Farm - Natural,-0.199348290327654,0.0692496261389489,80,-2.8786912138365,0.00512030010355855,Carbon
10,H,Farm - Natural,-0.282212990315651,0.0692496261389488,80,-4.07529983987774,0.000107607437807258,Carbon
11,D,Farm - Natural,-0.114444444444445,0.0378960566696736,80,-3.01995654698367,0.00339246801581668,Nitrogen
12,E,Farm - Natural,0.0466666666666668,0.0378960566696735,80,1.23143859197392,0.221766620477965,Nitrogen
13,F,Farm - Natural,0.00333333333333331,0.0378960566696736,80,0.087959899426708,0.930128358828183,Nitrogen
14,G,Farm - Natural,0.0211111111111112,0.0378960566696736,80,0.557079363035823,0.579028476620004,Nitrogen
15,H,Farm - Natural,-0.0466666666666668,0.0378960566696735,80,-1.23143859197392,0.221766620477966,Nitrogen
16,D,Farm - Natural,0.0694056124217211,0.262614563430978,80,0.264286989704449,0.792238449613333,CN_ratio
17,E,Farm - Natural,-0.161955310539811,0.262614563430978,80,-0.616703462381959,0.539181435094544,CN_ratio
18,F,Farm - Natural,-0.267174141953119,0.262614563430978,80,-1.01736224549991,0.312048075994427,CN_ratio
19,G,Farm - Natural,-0.590454308012784,0.262614563430978,80,-2.24836848459081,0.0273039939747546,CN_ratio
20,H,Farm - Natural,-0.277148705714922,0.262614563430978,80,-1.05534400717942,0.294444769823008,CN_ratio
21,D,Farm - Natural,-0.0983839874328347,0.0196782624676659,80,-4.99962776665335,3.32468959337437e-06,pH
22,E,Farm - Natural,0.0182607557860801,0.0196782624676659,80,0.927965861624472,0.356216633344713,pH
23,F,Farm - Natural,-0.247854356392164,0.0196782624676659,80,-12.5953374592611,1.11880922721056e-20,pH
24,G,Farm - Natural,-0.288079846166253,0.0196782624676659,80,-14.6394960754085,2.43823197580503e-24,pH
25,H,Farm - Natural,-0.125534710757104,0.0196782624676659,80,-6.37935950714017,1.07422481568421e-08,pH
26,D,Farm - Natural,-0.166380081391941,0.0616495312519479,80,-2.69880529524195,0.0084870005116193,log_copy16S_persoil
27,E,Farm - Natural,-0.0257714482405184,0.0616495312519479,80,-0.418031535960854,0.677044024906211,log_copy16S_persoil
28,F,Farm - Natural,-0.12555584591072,0.061649531251948,80,-2.03660665962895,0.0449975396638536,log_copy16S_persoil
29,G,Farm - Natural,-0.222208088119283,0.0616495312519479,80,-3.60437595561219,0.000542244031835297,log_copy16S_persoil
30,H,Farm - Natural,-0.105904612772211,0.0616495312519479,80,-1.71784944056432,0.0896926328159799,log_copy16S_persoil
31,D,Farm - Natural,-0.20328751473625,0.0636974582449666,80,-3.19145410723376,0.00202347149428579,log_copyITS_persoil
32,E,Farm - Natural,-0.0215119533462093,0.0636974582449666,80,-0.337720749601641,0.73645821235158,log_copyITS_persoil
33,F,Farm - Natural,-0.0961414273493167,0.0636974582449666,80,-1.50934479959275,0.135150267546109,log_copyITS_persoil
34,G,Farm - Natural,-0.29492780398876,0.0636974582449666,80,-4.63013457859702,1.39363996609246e-05,log_copyITS_persoil
35,H,Farm - Natural,-0.137025737324659,0.0636974582449666,80,-2.15119631300967,0.0344778024162259,log_copyITS_persoil
36,D,Farm - Natural,0.0732821856614908,0.0281756163553023,80,2.6009079885736,0.0110721912731248,shannon_16S
37,E,Farm - Natural,-0.00807639012961586,0.0281756163553023,80,-0.286644665648849,0.775125469273295,shannon_16S
38,F,Farm - Natural,0.173256972160705,0.0281756163553023,80,6.14918126282978,2.8919786620213e-08,shannon_16S
39,G,Farm - Natural,-0.0782593886333448,0.0281756163553023,80,-2.77755729090261,0.00682062633721679,shannon_16S
40,H,Farm - Natural,-0.0139433673647262,0.0281756163553023,80,-0.49487355268103,0.622045800332536,shannon_16S
41,D,Farm - Natural,0.217027815566256,0.062925114894702,80,3.44898560661235,0.000900494392633415,shannon_ITS
42,E,Farm - Natural,0.0104459819964008,0.062925114894702,80,0.166006562147418,0.86857061310694,shannon_ITS
43,F,Farm - Natural,-0.111780853237453,0.062925114894702,80,-1.77641079280515,0.0794671100569667,shannon_ITS
44,G,Farm - Natural,-0.0897122734681826,0.062925114894702,80,-1.42569900139723,0.157845600738959,shannon_ITS
45,H,Farm - Natural,0.161756933735754,0.062925114894702,80,2.57062595763926,0.0120054980177418,shannon_ITS
