Sample,NMDS1,NMDS2,Site,Landuse
K01,0.166275623873338,0.0433140274452306,D,Natural
K02,0.14035061762673,0.0454497327235907,D,Natural
K03,0.164260413596488,0.0679070325672852,D,Natural
K04,0.186625681297372,0.0384701856684273,D,Natural
K05,0.165078676212898,0.0206868778023147,D,Natural
K06,0.164500263635807,0.0605029309729791,D,Natural
K07,0.154875380439854,0.0772241899649911,D,Natural
K08,0.181553150251933,0.0545822951216737,D,Natural
K09,0.194644412340105,0.0170907624745263,D,Natural
K10,0.0847075983914633,-0.0362548391824867,D,Farm
K11,0.0534904957202568,-0.0158930148070153,D,Farm
K12,0.0543205105854713,-0.0321105233368755,D,Farm
K13,0.0795716874981084,-0.0533707995287183,D,Farm
K14,0.0560810414266201,-0.0344331985066787,D,Farm
K15,0.0655227826278743,-0.0397117109139966,D,Farm
K16,0.0658687387544191,-0.0314595701098091,D,Farm
K17,0.0799247577831035,-0.0272330289523166,D,Farm
K18,0.0661545288338548,-0.0261321429714511,D,Farm
K19,0.0883985355257708,0.0185679553553295,E,Natural
K20,0.106587549217346,0.0154628552761744,E,Natural
K21,0.0945634486198178,0.0246665475731621,E,Natural
K22,0.114818281791305,-0.0359353934204821,E,Natural
K23,0.106777276925746,-0.0106247118887854,E,Natural
K24,0.117952119881135,0.0194800331747742,E,Natural
K25,0.0888873589194457,-0.0150583272326509,E,Natural
K26,0.104692569091092,-0.00373476671165677,E,Natural
K27,0.0935854719730003,-0.00782926784615987,E,Natural
K28,0.0540037302996429,-0.00253939615799023,E,Farm
K29,0.0537726119515909,-0.011517415053599,E,Farm
K30,0.0637070216183112,-0.00285722979768671,E,Farm
K31,0.050488337059986,-0.0202119038630772,E,Farm
K32,0.0610193756265976,-0.0138715706624214,E,Farm
K33,0.061301496915437,-0.0209154168012467,E,Farm
K34,0.0613605695763153,-0.0248673555026476,E,Farm
K35,0.0584590948762922,-0.0272128962671863,E,Farm
K36,0.0687344691088832,-0.0428930467558311,E,Farm
K37,0.0149862675185712,0.0758039960747974,F,Natural
K38,-0.00111633781144202,0.0626819011175913,F,Natural
K39,0.00554101559441651,0.0459549182312026,F,Natural
K40,0.0304077500923373,0.0927015267906446,F,Natural
K41,-0.00132325404508878,0.0724950672447835,F,Natural
K42,0.00500636487723556,0.0624935984100179,F,Natural
K43,-0.00572386403325365,0.131626408333953,F,Natural
K44,0.0290285552190496,0.14455881803661,F,Natural
K45,0.0231183179944118,0.125891112789723,F,Natural
K46,-0.00145798628173646,-0.080767843219449,F,Farm
K47,0.00955008158742802,-0.0917896555962734,F,Farm
K48,0.00286997010844273,-0.0971608959699115,F,Farm
K49,0.00683816920030731,-0.0552281296494384,F,Farm
K50,0.00550511836822113,-0.0453619215519055,F,Farm
K51,0.0100331843598449,-0.0858589991200735,F,Farm
K52,-0.00594820384655352,-0.0215818644572805,F,Farm
K53,-0.00186086727794815,-0.0139248701938644,F,Farm
K54,-0.0132110246479115,-0.0061766095485042,F,Farm
M01,-0.0995237728147045,0.0554115160475497,G,Natural
M02,-0.107098855056197,0.0645264151822458,G,Natural
M03,-0.127829511654512,0.0535139768563204,G,Natural
M04,-0.131479065475183,0.112318775864117,G,Natural
M05,-0.157220439056812,0.122875463584123,G,Natural
M06,-0.156944173899825,0.0990719055906246,G,Natural
M07,-0.138201953678683,0.0774775711555808,G,Natural
M08,-0.124297966592939,0.0780156994550124,G,Natural
M09,-0.150851417358438,0.0874409656422164,G,Natural
M10,-0.091222181240358,-0.100286390968299,G,Farm
M11,-0.0723900113218886,-0.083967887500208,G,Farm
M12,-0.0591529627891042,-0.0828299526812238,G,Farm
M13,-0.04282387852316,-0.0562345894045903,G,Farm
M14,-0.0660820566312329,-0.0725769177598542,G,Farm
M15,-0.0561921587930938,-0.053918395910401,G,Farm
M16,-0.0540523157913461,-0.068880098707116,G,Farm
M17,-0.0593142714883421,-0.0590764287451722,G,Farm
M18,-0.0469686780410891,-0.0580291314780544,G,Farm
M19,-0.112492696801108,0.0344857746866709,H,Natural
M20,-0.12617058029634,0.0310376652500755,H,Natural
M21,-0.112941151099811,0.0286608321535806,H,Natural
M22,-0.153079420203884,0.0113937610499428,H,Natural
M23,-0.138418244671315,0.0149377766067982,H,Natural
M24,-0.158994491833431,0.0104217047833368,H,Natural
M25,-0.141861643579611,-0.0068541755751658,H,Natural
M26,-0.178251866481387,0.0186011923335153,H,Natural
M27,-0.205256024262836,-0.00028426869662035,H,Natural
M28,-0.0816413880101084,-0.0670902195843422,H,Farm
M29,-0.0837548163579482,-0.0405884506505802,H,Farm
M30,-0.0273912020698086,-0.163930980699995,H,Farm
M31,-0.0597312842122894,-0.0354486704696897,H,Farm
M32,-0.0652434159808091,-0.0474799025247059,H,Farm
M33,-0.0645462837496543,-0.0544628124324104,H,Farm
M34,-0.0828234047297506,-0.0448503493921387,H,Farm
M35,-0.0850740532567662,-0.0489940441915771,H,Farm
M36,-0.0658412990459792,-0.0375017864418791,H,Farm
