proktaxa_across	fungitaxa_across	prokallfunc_across	prok_cfunc_across	prok_nfunc_across	fungilife_across	env_across
K01	0.592227619150045	0.604247744467005	0.059268502861738	0.0415910797968622	0.0851432943634323	0.50031786409087	0.107169267407255
K02	0.570818235432184	0.582668394233332	0.0427710910847614	0.0335445450653252	0.0998544789879781	0.423522357969862	0.12897263199845
K03	0.588390995843744	0.617903727921441	0.0660563466358016	0.0522897855595379	0.178249567943786	0.476495049412222	0.0945095517297327
K04	0.614302186824317	0.621103165468474	0.100571488311967	0.0596367707241191	0.304336129462553	0.24522448552347	0.0543187545750455
K05	0.636614849139087	0.612121494527963	0.1130775885186	0.0745438105127145	0.322108601769053	0.277142966151061	0.0355913127052887
K06	0.645698722482632	0.61116390514327	0.105919149598748	0.0618620995694943	0.289393175104094	0.29944554397059	0.136688125319144
K07	0.619210220373118	0.606291320871178	0.092608947289142	0.0540545606793077	0.29169591641494	0.533211519090436	0.0607101818965826
K08	0.629579837758492	0.622274698051276	0.0846774781572279	0.0518373121955623	0.15162423191742	0.358669308189532	0.132932325951893
K09	0.591464402886227	0.613288633315308	0.105268434736685	0.0622120523515372	0.317308448983869	0.621465428365073	0.0352151726542613
K10	0.568940231425461	0.662823655446105	0.0536846638381793	0.0376140857023049	0.206564654984981	0.57166285878337	0.0717110078939449
K11	0.549937060643614	0.555872047404922	0.0465090761320658	0.0296767348752059	0.083001644514388	0.173323984435789	0.0940729904901632
K12	0.55068849770195	0.555629850588951	0.0394390098413802	0.0289033087290018	0.120036587925111	0.273229857220532	0.0413853637603253
K13	0.56293532463286	0.561141220662763	0.0395367647266212	0.0302232302462965	0.0936245593751461	0.0757554902333326	0.069410458422791
K14	0.547915016950401	0.534962537952879	0.0482297299596886	0.0391525945594931	0.108768497693763	0.107811045243886	0.276533842861815
K15	0.548168164997013	0.571543126145483	0.0272024709641783	0.0248474142379502	0.0625905184431126	0.150880509727524	0.0664337066506851
K16	0.570041261559184	0.557899806241828	0.0499421119650872	0.0341711574080382	0.118090425985917	0.179147386212842	0.158594172368449
K17	0.604150794388694	0.552043279409529	0.0683313637054493	0.0359899726885174	0.0985096797266164	0.167561111299388	0.0895846390421708
K18	0.539360081590607	0.596591302811946	0.0315762096291114	0.0304303723510807	0.142424682946812	0.359441864208485	0.0569951929757403
K19	0.565915464870751	0.583546929748135	0.0665415831257586	0.0448211633777298	0.137618032733268	0.19122028151438	0.0408890091136196
K20	0.605116367576533	0.607674406341217	0.0921604454025962	0.0518703605506888	0.238751477483304	0.0450456335239333	0.162229057142443
K21	0.606060348502092	0.604793495121583	0.0807746240733851	0.0609255623887866	0.136655975305693	0.135952167366972	0.0277466551495938
K22	0.656785676292433	0.592922289718755	0.0779457995207259	0.0617056620206095	0.131834932177446	0.198585993213686	0.0200126755412928
K23	0.60522958783025	0.58960333781335	0.0528283780267677	0.0376673407605034	0.143239663970574	0.161902202432305	0.0632271010578322
K24	0.66326124542669	0.592853001096144	0.119822116106997	0.0710730604259126	0.140632738920385	0.176991034081055	0.0763383776289299
K25	0.632330714902718	0.590870107603797	0.0604573858073432	0.0621645288859874	0.0996520428457681	0.16336563056176	0.0407152625183854
K26	0.601662468078164	0.592739954126025	0.0534893519960377	0.0274202341167366	0.0914607271244914	0.178100542189741	0.124539740068096
K27	0.637278790334695	0.604282377813519	0.0888543534391078	0.0763867580287537	0.19247630632151	0.163410905501203	0.187920798140588
K28	0.561749274560644	0.538960714848377	0.0480530771024373	0.032040569247779	0.160639559193618	0.111075167412082	0.10850478429634
K29	0.54822589302851	0.544601453424657	0.0497140800669212	0.0326862800877405	0.099845938124394	0.180679202888715	0.0603623362015612
K30	0.565148286968769	0.542854177777136	0.0448655286041153	0.0278949843716525	0.141568198895531	0.127434305687409	0.0879829178014515
K31	0.589615698233969	0.522306839845936	0.0452715067146874	0.0337372467777556	0.0801921510846755	0.132347988918521	0.0652957292727226
K32	0.563805547731329	0.579156575418217	0.0297803173261516	0.0269166267762099	0.0894362233754002	0.206438740906143	0.0843230709527748
K33	0.590570918537305	0.499205111736492	0.0521279275323302	0.0385413351170302	0.0829881154743858	0.109523047821486	0.0636536052747783
K34	0.62998286956419	0.518295056215851	0.0614226767341595	0.0452073068044274	0.211006509284093	0.125810097482353	0.0764869574854057
K35	0.596976430085469	0.544896246032551	0.0452000364237287	0.0355794420758767	0.131942212816095	0.239151895904716	0.086831986164414
K36	0.609713023448678	0.564649440167577	0.048290776181218	0.0324849362562918	0.108238858659422	0.14650016949282	0.0856616293625594
K37	0.588212050480521	0.634784273389869	0.0483920353085646	0.0414116315420795	0.115021280587642	0.235031439350902	0.0598423230715189
K38	0.554366475565744	0.650661040986452	0.0461134640897869	0.0355446949458657	0.102536259065499	0.223797689908838	0.0854789440196391
K39	0.593176931360905	0.64331847505596	0.063517772840063	0.0451885517165373	0.127044277729273	0.277405190706152	0.0828396629565752
K40	0.610997120189331	0.632315531222246	0.0454861471561854	0.0423294858208794	0.166474496577669	0.194961088112303	0.209358318529472
K41	0.58266802983479	0.659048729283962	0.0407618639767026	0.036451157424605	0.0762185653561842	0.134802694117991	0.20829917853843
K42	0.598853728624754	0.626525507909935	0.0404989094815449	0.0386166854181074	0.130254091850616	0.144361484514971	0.299282444304137
K43	0.623941777190607	0.702425684510261	0.110019247142912	0.0526130467578562	0.141643153355397	0.336956229416837	0.285327629526203
K44	0.580097959571668	0.680715561402167	0.0618656033780501	0.0434842085396379	0.185633828193293	0.0710250141763554	0.238851820425341
K45	0.608089913264965	0.658251633192838	0.0497780587627007	0.0380551276880535	0.166470685428314	0.237868133938257	0.159218019958952
K46	0.627519859218657	0.618829466261862	0.051277342467689	0.0517586107907867	0.129398703349201	0.0361000831023195	0.0999258293027562
K47	0.609913724147548	0.610380952633054	0.0442319898632185	0.0320122310065755	0.0842638753150732	0.311293117616663	0.288472418629017
K48	0.587458181111266	0.635660872891893	0.0578001154786156	0.0650380366866499	0.192486977810211	0.239686904358866	0.309674543142413
K49	0.56772753025644	0.573560632901097	0.0421338401436468	0.0475801694030634	0.120964294851031	0.0595387027231647	0.192009177093973
K50	0.571830622266359	0.561302947500559	0.044031942705104	0.0428191361770058	0.138886423585435	0.125867828585696	0.231015077132506
K51	0.568841484358998	0.607609261405882	0.0429666240311336	0.0470365226636545	0.101688372080342	0.0474322914823525	0.255720045496415
K52	0.545131946351797	0.611937544592884	0.0353050553361896	0.0329520136680549	0.108574605706023	0.242626191322324	0.190935694208397
K53	0.556477972523572	0.596025216698869	0.0424284904137592	0.0376419554124348	0.10939496695248	0.309290136371829	0.23890915007795
K54	0.525051926557195	0.584562410160516	0.03071028796046	0.0298357404233777	0.098451808664759	0.275720513219261	0.265376710628487
