proktaxa_within	fungitaxa_within	prokallfunc_within	prok_cfunc_within	prok_nfunc_within	fungilife_within	env_within
K01	0.420593142897444	0.269095201597298	0.0655996144231248	0.0446512610010096	0.204445483897398	0.129510886895536	0.101587845810123
K02	0.475435492420241	0.319379587520757	0.0515780900282931	0.0297238356847531	0.157779886779597	0.166899144605781	0.15522404239665
K03	0.378872816985578	0.287561091027365	0.0312596944456316	0.0266068572972489	0.0816687244463831	0.163429379168541	0.0426014266643969
K04	0.380382490579953	0.494585781407715	0.0324841209934796	0.0238947266974094	0.0717176834855514	0.262348849654911	0.0140174843672173
K05	0.403203633641794	0.495888171049782	0.0377613247604187	0.0405092042575155	0.0845699206665625	0.303159985217617	0.0397714218630057
K06	0.397287854996766	0.431126038085951	0.0277052731593916	0.0179937072216039	0.0583847874975818	0.191576358958544	0.0889205184346803
K07	0.353499932160024	0.217110316511169	0.0259259785085826	0.0206454163741985	0.0651575267176127	0.17105693045791	0.00679493705800691
K08	0.436209888488327	0.456347716258402	0.0566153983947195	0.036922910881891	0.134006857253585	0.366971545130722	0.075722897853556
K09	0.324887907510006	0.248725275468304	0.0368461354841427	0.0275197585929043	0.0886788072589934	0.243536655512194	0.0330882776879133
K10	0.339370019536911	0.596637083712156	0.0412896065936512	0.0272022797552801	0.140032806908179	0.487830551386464	0.0484338526802683
K11	0.34275138549955	0.376279535616873	0.026638993253952	0.0180354207770874	0.0555892600498655	0.0375240760127339	0.0287922182497686
K12	0.323227316001147	0.385508050187468	0.0186519371172689	0.0173164281047403	0.0552288560791868	0.131596412795053	0.0481273823447163
K13	0.313157742393785	0.452899168517408	0.0345590893002918	0.0212227303914037	0.0583807435820395	0.134540411717041	0.0504458550498793
K14	0.324282982647991	0.321304339508705	0.0338351854008447	0.0269788606494174	0.0785791089517466	0.0558442303988125	0.212945700360024
K15	0.325218431077317	0.404291100875004	0.0290195405769607	0.0189017194869347	0.0577042067889288	0.0756286084210993	0.0145220048706797
K16	0.330992566119738	0.35987822711187	0.0229353189979547	0.0169709594755368	0.0341493991739778	0.125881159170113	0.0876323843018052
K17	0.42087007306322	0.391540056436074	0.0524193856301385	0.0260348216483591	0.126684544413336	0.103111687897049	0.0151616008393081
K18	0.307570986059382	0.485862399000793	0.0303439921525967	0.021167916200426	0.0687996836951746	0.346556109019086	0.0187533776049227
K19	0.449100759155865	0.491047942327959	0.0350473259815989	0.0215061385560788	0.124758138449037	0.318141903756763	0.0262752508745122
K20	0.552540263201915	0.494211723933663	0.0570711733662502	0.0342150942563728	0.218959559527	0.232437440175827	0.191714357532865
K21	0.461910168201684	0.479469633886552	0.0311851988853785	0.0271808682824401	0.106212730387247	0.184984318529004	0.0523968092599053
K22	0.448437148850582	0.380157914882743	0.0290207773673664	0.0301337668512419	0.106698877684545	0.195873584051536	0.0111011083373784
K23	0.442734758043684	0.329081119109207	0.0682673042345569	0.0589684394656617	0.144232448566429	0.0950559576778563	0.0325767545754093
K24	0.551475789623743	0.400302390976829	0.082838971855483	0.0466883502845417	0.137786872296647	0.166339954460955	0.0431027435814799
K25	0.451706300564855	0.373095834330526	0.0432502137387101	0.0363953463928869	0.0788027575431078	0.195257940798349	0.0424993452461645
K26	0.426088886169898	0.372670715907415	0.0261565903553231	0.0271485589426349	0.0571035764505835	0.136529636391287	0.0882801410402653
K27	0.465322479713671	0.427871835117434	0.041317507091091	0.0457282055837718	0.174806842822749	0.112558751731045	0.149868476824558
K28	0.382264377827186	0.351583770950976	0.0190967250593705	0.00923446062207402	0.0695405705887173	0.122461619638952	0.121874664580451
K29	0.405907453640425	0.389849065130949	0.0230681382713432	0.0181995051201585	0.0637553780190893	0.161310324253633	0.02198500554093
K30	0.366698022027457	0.36699750024451	0.0246491002946637	0.0196886068064053	0.0569565136702093	0.111738581240273	0.0290699155201887
K31	0.439806154895567	0.351558380855555	0.0400508876656023	0.0255474351669572	0.104626486207951	0.0436420775235394	0.0518129403652734
K32	0.366180031790562	0.475441000332252	0.0210489475708544	0.0112625111085975	0.0368179657473174	0.145969051044458	0.0199344566331338
K33	0.395150497896868	0.319225978125288	0.0357285043510626	0.0297990541108552	0.13943455661037	0.112880243944007	0.0334236186153071
K34	0.473076889595237	0.398493641108904	0.0284803548849361	0.0242440193728016	0.11788197570816	0.131070077824713	0.0150847922525959
K35	0.436577447661267	0.428199606162791	0.0143009337368212	0.0126580286438038	0.0363678834590046	0.193277588550126	0.0359513664983586
K36	0.446002070705668	0.434595542630555	0.0221154964488457	0.00935212697925416	0.050736273744212	0.157903959728606	0.0329025020355861
K37	0.421808014471521	0.4488212683648	0.0359450178947281	0.022781140716986	0.0510355633315832	0.247157329777961	0.133975371785808
K38	0.412623873430548	0.474434621026789	0.0387977006305659	0.0207761893785873	0.0583335507154276	0.197087974442097	0.111519431914597
K39	0.43379532961772	0.44615181791551	0.0509785197630698	0.0350728132325263	0.0782084030490754	0.243321686820155	0.119989356290265
K40	0.44659532626344	0.442537761062274	0.019902900556925	0.0174912792162185	0.0503922024065415	0.166682062165384	0.044875315281655
K41	0.459325184472282	0.566105492099241	0.039998049091092	0.0248417080730808	0.153621606717654	0.41482572552156	0.0162691787253987
K42	0.482227353824104	0.402739830268379	0.0254845522706123	0.0174468482425841	0.0354552707106907	0.0176154924798317	0.120256821739129
K43	0.489932551607242	0.681101579106128	0.0937867772064772	0.0268716942668769	0.034086899009826	0.348056475947299	0.110962067597577
K44	0.468458901447429	0.679291521805096	0.0326500479905051	0.0211401899727016	0.0904364599573736	0.295816752765281	0.0607252443992272
K45	0.481960956630631	0.590883156186161	0.0348872460469039	0.0302180427297481	0.0892259865238925	0.202946846841249	0.030340418965606
K46	0.428844559264909	0.367975758312619	0.0222624804160052	0.0111747519878788	0.0532516561816246	0.0278124239026027	0.306121292313339
K47	0.408835425846133	0.454652846408661	0.0347373660196182	0.0182563622558569	0.0530730319224078	0.220306325963539	0.0494203359117679
K48	0.302427701162254	0.451903408000733	0.0270102935997963	0.0297450871343775	0.130384144735995	0.251328951552747	0.0777290766119467
K49	0.264946987327517	0.321661140904748	0.0118238163555205	0.0123148377905042	0.05704832160107	0.072437494811646	0.0674733548086819
K50	0.26540879121515	0.338244573601619	0.0147336579017291	0.0145874642067781	0.0695608214618762	0.150338518285495	0.0323820980955028
K51	0.299445805010982	0.398123960747779	0.0215772257089936	0.0220051526747442	0.0463169139084467	0.104920822839292	0.015810266191248
K52	0.609743697533596	0.585462803686109	0.0446993212477953	0.0391321601729839	0.128593364816805	0.326825922030128	0.0612118459505663
K53	0.608268333439712	0.556280897673094	0.0402566544023131	0.024949214638214	0.065439461771621	0.262381914775185	0.0722895744316662
K54	0.594013901874229	0.514770263669691	0.0418534886808073	0.0471895585693218	0.128223901668505	0.291645909059214	0.0892017018716331
M01	0.3966038067618	0.629255454508121	0.0226822389639392	0.0174108014518512	0.0779816484939412	0.324001077997323	0.0384643944466082
M02	0.31698019314129	0.596496806782233	0.0228773474040963	0.0202376510379248	0.0824469402512194	0.0912978748798768	0.193006157829377
M03	0.34644402469026	0.613065180775123	0.0282672761488005	0.0277442749228442	0.0889927344589294	0.596090297697282	0.0372966989467164
