,K01,K02,K03,K04,K05,K06,K07,K08,K09,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20,K21,K22,K23,K24,K25,K26,K27,K28,K29,K30,K31,K32,K33,K34,K35,K36,K37,K38,K39,K40,K41,K42,K43,K44,K45,K46,K47,K48,K49,K50,K51,K52,K53,K54,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36
K01,0,0.0203321932595112,0.017127501687041,0.0235308941841965,0.025880354143436,0.0247544317320833,0.0235345358615404,0.027493037106625,0.0195924081152783,0.0379906269304241,0.0459940074488511,0.0414059000551957,0.044390580651602,0.045389296572445,0.045607899840659,0.0406016296404312,0.0456932134945477,0.0382606435155951,0.0312711553642399,0.0272227817964914,0.0358622781764611,0.0514409332361473,0.0439156272337066,0.0422471899173437,0.0479049873646098,0.0484325334943369,0.054167040464998,0.0402259305972566,0.0407527413040594,0.0397586684848137,0.0488291364732958,0.039750154085104,0.049023887200954,0.04352700073617,0.038911597723658,0.0353673521531891,0.0445208411164076,0.0409335297937252,0.0436894908171857,0.0560226963291234,0.0542161150208205,0.0582492916775543,0.059573437608086,0.0434267552107805,0.0548807713387162,0.0920893809868094,0.0807850013294435,0.0760712519577616,0.0732746624861634,0.0726663285813849,0.0674479787344003,0.051856401493457,0.0486504376506628,0.0520894720031408,0.05301997540685,0.055306275255561,0.0632491167871504,0.0583487973071154,0.06137088599488,0.0545730952849872,0.0559133327182437,0.062051661911889,0.0596234938351479,0.0898396246978872,0.0689226125443504,0.081312316550329,0.0849804682462287,0.0871390032666291,0.0792848007521275,0.0737389938764607,0.07488189970714,0.0758752356931669,0.0524494449748149,0.0551390593308777,0.0591210412795121,0.0585015634935022,0.058013766095998,0.0672738173787924,0.06321474618573,0.0782294691314146,0.066241540600253,0.0815130223730756,0.0775832619414241,0.0877183623935047,0.0836352787260142,0.0762768808023364,0.0772340620292819,0.0726770063817412,0.0642067137491925,0.0790736905625652
K02,0.0203321932595112,0,0.0180329438821351,0.0249131367041593,0.0276171317576393,0.0329192134993186,0.0259234582545723,0.0329427449753674,0.0188130529428957,0.0280601136695887,0.0356601498767029,0.033803958960325,0.0319526111472962,0.0338478431172269,0.0313202595047076,0.0322757248507571,0.038980643229207,0.0290371583938873,0.0245796877721232,0.030309229085614,0.0309944915798917,0.0449858098553624,0.0399684038760498,0.0499872983996056,0.0386014456436731,0.0434515252633452,0.0470343266435212,0.032978757723835,0.0341950457746898,0.0321953622129444,0.0417478415840385,0.0335869854216249,0.0406236469419537,0.0387254455990504,0.0355106697079831,0.0315234988277755,0.0423792314113334,0.0406031809085488,0.0462046806575653,0.0496513156977075,0.0452896489365315,0.0492345222497089,0.0539797315405145,0.0392115901982139,0.0468474800669937,0.0835842280765185,0.0718439274586648,0.0679934015607923,0.0645084496867138,0.0636059645986335,0.0590598471395031,0.0409586729259586,0.0379817024697668,0.0415235364189246,0.0449395822520141,0.0468675753067408,0.053406279969873,0.0514742840987805,0.0539797170444126,0.0482589694592239,0.0468588443412473,0.0542218001677457,0.0493196791882411,0.0775741463716477,0.0578506847390781,0.0699275630619753,0.0712055651455942,0.0780061651488622,0.0629720184551146,0.0583458094811812,0.0657135276553061,0.0649827133583106,0.0449986479941072,0.0467849686699638,0.04938564305711,0.0511604656179987,0.0501299519396499,0.0572544381703611,0.0500265777783705,0.0703915938544234,0.0565275594451966,0.0717051490641783,0.0582334777642659,0.0761713159048217,0.07201993921196,0.0588918106338783,0.0634238335928863,0.061793261878042,0.0512680778963002,0.0663625783831776
K03,0.017127501687041,0.0180329438821351,0,0.023562997703946,0.0241438398592366,0.0282740484029236,0.0228982517462922,0.0287154760936952,0.017765769155915,0.034637362787354,0.0433843308180435,0.0402237995190772,0.0422335533779444,0.0425813048819318,0.042556871393329,0.039708069930729,0.046322176532864,0.0372664407296008,0.0306770251030036,0.0289661022794435,0.0339998765325396,0.051607868844971,0.0457831165079273,0.0474094301734234,0.0472379650503597,0.0509677699973634,0.0531219989165356,0.0406045266139135,0.0440965056062757,0.0393486704254044,0.0499292884717563,0.0398305954160032,0.047140488600047,0.041852583023816,0.0387169618481598,0.0348463916308027,0.0458111818225791,0.0434188164480443,0.0474218114947297,0.0570877870014149,0.0524276378658965,0.0593564925653499,0.0593412640101365,0.0405117762023491,0.0525079011021921,0.096424717154597,0.084803497803092,0.0796370428893811,0.0762054731499418,0.0760309984752773,0.070185755595995,0.0520487496210704,0.0461110990041066,0.0524665613576748,0.0534319376965508,0.0546489460941219,0.0621847579418631,0.0577423176388052,0.0604138637914273,0.0547161720703893,0.0536778185131756,0.0610121357349103,0.0573920857500778,0.0879986674527014,0.0698434981310914,0.0812960625130986,0.0854787683260889,0.087962486456353,0.0780994356058338,0.0721955922639692,0.0743220723045326,0.0759222221430944,0.0536580631141708,0.0560879103565987,0.0597885351639052,0.0599866946992468,0.0603344777185131,0.0679721597109487,0.0626998287977379,0.0789988114070048,0.0662361116873355,0.0851095662251676,0.0803319392473193,0.0906787057868411,0.0864550770187671,0.0800917393206437,0.0790474975190774,0.0758679064878743,0.0669649522615247,0.0812623677094154
K04,0.0235308941841965,0.0249131367041593,0.023562997703946,0,0.0191744959318002,0.0215280384402436,0.0229796493249081,0.0268478625948014,0.0178867919848544,0.0314153476793678,0.0393088186580813,0.0366104091000692,0.0363465720874932,0.0403589412312849,0.0387731833910284,0.0353474496667626,0.0390502537117035,0.0324064239965742,0.0306968140318388,0.0306033608503484,0.0368603298515923,0.0562317471126694,0.0490991838754617,0.0525669553649435,0.0479174823702886,0.0551364822878854,0.0532844803259427,0.0396595347323625,0.0388342500302078,0.037894964537212,0.0456719569635186,0.0411110807660093,0.0440664116185916,0.0379462858091011,0.0360096136105341,0.0329834470522712,0.0432861261442474,0.0402787361202347,0.0434512238799927,0.0532232160840236,0.0500202115204944,0.0556790854747581,0.0522187699810423,0.0380285836247895,0.0455968446811376,0.0989401877462917,0.0898467317870532,0.0848249405489897,0.0821778168119687,0.0817906255883415,0.0724679849856965,0.048008915163267,0.0441936555240586,0.0482308733993632,0.0510035521915648,0.0530284092076588,0.0609438882379823,0.0546665172149815,0.0566275458986431,0.0527238877001407,0.0546492044180047,0.0589455940959343,0.0555098502420068,0.0924502117759797,0.0694827537634719,0.0846079920550465,0.0887383435883655,0.0906592523235241,0.0845528087069037,0.0685600338169387,0.0697146028316359,0.0715695847845573,0.0540467009638958,0.0532572606095306,0.0564969562207475,0.0575402401237826,0.0564200096520945,0.0623024757318631,0.0585952899396036,0.0753537579266005,0.0638405391946215,0.0817590204664796,0.0767207192181405,0.0895847856981292,0.086914183422804,0.0814076899618256,0.0745351270972856,0.0712009370976738,0.0630914925118021,0.0768300180759901
K05,0.025880354143436,0.0276171317576393,0.0241438398592366,0.0191744959318002,0,0.0221307740738744,0.0259374203366234,0.0266317841460357,0.019574511351223,0.0366083273637785,0.0435544775359544,0.0399677309414774,0.0441791305808082,0.04533822091132,0.0449035957053689,0.0386382560792581,0.0418319285195955,0.0369018633042998,0.0325273793786246,0.0326186335185499,0.0365022841324033,0.0585587199763544,0.0532624085218577,0.045658564485138,0.0540070670786664,0.0591159272081586,0.0558410113210448,0.040222538793189,0.0423183222773002,0.0416461026419929,0.0510665901778432,0.0428287374143009,0.048201261741285,0.0426114889405089,0.0387543854912257,0.0363853107421867,0.0486267114288676,0.0460863044697471,0.0482254832901955,0.0613513789190065,0.0584038337328438,0.06214833439856,0.0589718567777791,0.047268024827107,0.0560569661851067,0.101728851564227,0.091751655591933,0.0866671463485544,0.084403113547848,0.0823905592101766,0.0745536146610023,0.0524647879396626,0.047745571017019,0.0518325935237066,0.0582351923091044,0.0581600732433245,0.0669274830888363,0.0624391672904291,0.0645500188193816,0.0608936536167925,0.0602989097016911,0.0647444296900476,0.061832101462315,0.102989384868647,0.0762704799422261,0.0916714312045658,0.0941948871426302,0.0960196061263277,0.0925599785944493,0.0761357369603878,0.0752695021159684,0.0772330975543932,0.0585642254692906,0.0599853370219568,0.0659316015447409,0.0650463157308511,0.065119205395836,0.0710305223489995,0.068678235821269,0.0811063989201505,0.0698133068026427,0.0868639519133733,0.0850953121682756,0.096712941543819,0.0931253939527507,0.0899171383936667,0.0812589486120568,0.0783361060424258,0.0688563210972415,0.084742592439608
K06,0.0247544317320833,0.0329192134993186,0.0282740484029236,0.0215280384402436,0.0221307740738744,0,0.0249813035119608,0.0236850996659697,0.0247939192859349,0.0431267979245932,0.0500289665106293,0.0473258133149199,0.0517333543759916,0.051469635257834,0.0514645251346152,0.0458925942722506,0.0505648008880795,0.0442628428810661,0.0372399640883794,0.0340885531368655,0.0461330541423247,0.0630144909039731,0.0572264387923958,0.0459746822325107,0.0598778480094637,0.0626958560038946,0.0643672974116121,0.0464377515041167,0.0488142506600168,0.0476691720363122,0.0542999830743397,0.047249922188124,0.0530644100542788,0.0457663065828551,0.0422172169635914,0.0383027302848253,0.0514219006175037,0.0471453194488987,0.0478788109508434,0.0652441586664285,0.0633085295911409,0.0671534862842259,0.0629913735970689,0.0490999778229514,0.0580413866983889,0.106846688220245,0.0963731540716899,0.0918281120718688,0.089656203610108,0.0891835511965687,0.0803985663026165,0.059580685745401,0.055352737549453,0.0588189374499394,0.0616227191044308,0.0637626881699491,0.0712611098561339,0.0660667677358475,0.067551634871627,0.063491566500112,0.064731923030757,0.0686837874264562,0.0664034992837693,0.0999902962476946,0.0781909496754866,0.0910696348895573,0.0945994349831775,0.0961253380182434,0.090555866755773,0.0781227843493,0.0773807351213591,0.0801098223320969,0.062729498444675,0.0633303298125097,0.0669267422895632,0.067335590326549,0.0667575437121025,0.0737239120278314,0.0704229066132279,0.0832952440301711,0.0741709473867213,0.0879864158754068,0.0865173010348588,0.0961974357494463,0.092196720921491,0.0871258695013483,0.0833908826941928,0.0791051750823477,0.0710037445826712,0.0847977709879977
K07,0.0235345358615404,0.0259234582545723,0.0228982517462922,0.0229796493249081,0.0259374203366234,0.0249813035119608,0,0.0214816022069825,0.0155234564760807,0.0400224589583295,0.0494412158727948,0.0461250014661249,0.0483798464099866,0.049414908943355,0.0477398977117106,0.0450360000466381,0.0494691643911276,0.0413050868288846,0.0350345708451025,0.0310871138056308,0.0446474674794701,0.0671044023075226,0.0590290499740065,0.0578044460909325,0.0598952638470909,0.0642681077977713,0.0656134638130707,0.0478796377206953,0.0490668750818648,0.0449501182865087,0.0541311052154897,0.0455206864631589,0.0522704780046871,0.046499305528135,0.0440128270053272,0.0389486004653874,0.0500007771224718,0.0473886758986107,0.0483460830182131,0.0644874528800198,0.0591644585098966,0.0652282169829099,0.0579855854832723,0.0437899802237825,0.0545029822542816,0.108062092388517,0.0979921086959586,0.0944766589892829,0.0889283790010007,0.0892611155576208,0.0793088275873498,0.0582556985246421,0.0536767125466001,0.0573480951958584,0.0550275226068518,0.054134992211041,0.0640613132861605,0.0550342831011203,0.0564888865097637,0.0544217206686291,0.0532442027756931,0.058865040663379,0.0559338603705517,0.0939219810359316,0.0728355999705458,0.0881228182148546,0.0924769979534457,0.0924238994309855,0.0870485690301303,0.074096206269487,0.0736996910790024,0.0767863559028047,0.0570085003224356,0.0573490507250026,0.0600652321575757,0.0602582038400207,0.0594314449457207,0.0657482790453352,0.0646849518669281,0.0753439719021317,0.0658181684871352,0.084124389791603,0.0826540347536443,0.0934417047297463,0.0916151365123044,0.0867271157521669,0.0806284224426022,0.0757470012717919,0.0664570824740726,0.0807233594980768
K08,0.027493037106625,0.0329427449753674,0.0287154760936952,0.0268478625948014,0.0266317841460357,0.0236850996659697,0.0214816022069825,0,0.0247514320356193,0.0456785410605764,0.0531147803233636,0.0504450105157894,0.0552321765260127,0.0556417932573515,0.0550748041808017,0.0482087229106462,0.0534485371771794,0.0475478348627508,0.0369263207085588,0.0313330094154229,0.0462493331490988,0.0635793801687472,0.0593994611178801,0.0510808260990936,0.0601179883194212,0.0612587814663899,0.0637990056184576,0.0503736770461265,0.0503877066883707,0.0493236858162927,0.0586225450744351,0.0487249435768089,0.0577536594347376,0.0485112898024289,0.0436790290538944,0.0412804813171447,0.0532340443025511,0.0478707257054164,0.049268851816362,0.0662839387580102,0.063974793704871,0.0702715887047261,0.0677983098000104,0.0521200872855901,0.0631604935189356,0.111227966398465,0.0975619455921324,0.0918763856486276,0.0887585057466572,0.0877753070941263,0.0797720397173821,0.0629352766238409,0.0586545198389552,0.0639366324801913,0.0613863559623308,0.0650436112070118,0.0738652467390038,0.0692030020031204,0.0702830314333499,0.0647007392109094,0.0651195906076253,0.07182419509691,0.0690524728195619,0.107720007977939,0.0828783820613621,0.0956980007097681,0.0987449667292992,0.101485095229567,0.0966202127385934,0.0831527291896672,0.0861404410759005,0.0864076036147531,0.0638012985043208,0.0635431336758582,0.0693540154329381,0.0682996015571682,0.0681836274161984,0.0764940171138777,0.0740560216317185,0.0875998483533389,0.0774383849545518,0.0937593831527137,0.0931421357554795,0.103099405330063,0.0969801937521874,0.0928636752939971,0.0895137432016564,0.0862748326144689,0.077784785114773,0.09253388238594
K09,0.0195924081152783,0.0188130529428957,0.017765769155915,0.0178867919848544,0.019574511351223,0.0247939192859349,0.0155234564760807,0.0247514320356193,0,0.0294426624806636,0.0388848495668374,0.036447048824014,0.0351221296698349,0.0388579852650695,0.0366835462147284,0.0351601921930287,0.0402792788859868,0.0313502586589042,0.0280226489865547,0.0289212823185315,0.0340845135358165,0.0537640588998119,0.0485263385902931,0.0517627060255472,0.0475702275649514,0.054116002060811,0.0535671277068026,0.0377317053436619,0.0394224863008881,0.0363642645058186,0.046992766204647,0.0372205149631528,0.0428938602877543,0.0406106691263164,0.0370316578755763,0.0323607910571939,0.0464404194906051,0.0423701034778974,0.0465285267117385,0.0568369076320013,0.0523399834011378,0.0567024447653541,0.0539901574995778,0.0398224675151687,0.0505653907997578,0.0958975774829804,0.0863733620877847,0.0825629998883153,0.079417110750545,0.0796888704083356,0.071706427253126,0.0481453269992547,0.0428385518763116,0.0478619825647655,0.050756934657686,0.0511482951127428,0.059725278255751,0.0547388072684331,0.0568285508188576,0.0533922788643388,0.051580258565574,0.0573769044156643,0.0535499477256086,0.0886681577023417,0.0688353887388802,0.0829703370811552,0.0864977362035902,0.0905543898365239,0.079918763108269,0.0675757024847168,0.0706329350522674,0.0720709661424686,0.0528087204891111,0.0540195090844106,0.0560222165130712,0.0575381225409378,0.0565504460050105,0.0631564607688439,0.0586348276787114,0.0767040933677295,0.0639901192488238,0.0842975148105627,0.076668673943306,0.0907633876084358,0.0873750792936654,0.0792157642703858,0.0771268472199809,0.0726477261307591,0.0614702235966205,0.0777946654666191
K10,0.0379906269304241,0.0280601136695887,0.034637362787354,0.0314153476793678,0.0366083273637785,0.0431267979245932,0.0400224589583295,0.0456785410605764,0.0294426624806636,0,0.0185618431408454,0.0187237091860276,0.0187932166055451,0.0169780530334346,0.0168165430870865,0.0190822267279727,0.0243758205210829,0.0172203893676977,0.0311035393068606,0.0410627873532299,0.0344881506900819,0.0389515565296196,0.0369780977006871,0.0584032047640607,0.0322416285176534,0.0443529658837656,0.0410950823900398,0.0269498020786479,0.0275854584015717,0.027291099909233,0.032620291045998,0.0285609658980203,0.0283800107574979,0.0327253678557261,0.0307137979008279,0.0291088877992018,0.0402397102211342,0.0375823423872299,0.044953121150124,0.041670085251347,0.0413860746486446,0.0417120757899226,0.0469670052833601,0.0362526351288952,0.0413809960609449,0.0698573539549882,0.0624690674569426,0.0587002428223194,0.0562601317554937,0.0567820067494673,0.0505806862136497,0.0275029162616488,0.0251835396405755,0.027618840440343,0.0419351404273073,0.03981191007393,0.0452795022702781,0.0436547281718291,0.0463188900016052,0.0457290232223731,0.0388068892936227,0.0425635013480864,0.0412972264217478,0.0714794498421382,0.0482519096645223,0.0604699059778634,0.0597919334661357,0.0631115421019685,0.059057188818404,0.0473060142483234,0.0470320217157907,0.0498550643530557,0.0400422702391666,0.0421191716609657,0.0441145229353884,0.0424007823049235,0.0447855322061411,0.0476474580997901,0.0477895761576867,0.0546252206288464,0.0460426538357571,0.0531458222711437,0.0502122609445968,0.0598215030552238,0.0602961456821037,0.053911093354455,0.0514933459272815,0.0480611557357248,0.0406972870976649,0.0529785797351991
