class.index	n.dist	Mantel.cor	Pr(Mantel)	Pr(corrected)	landuse
0_200	360	0.775306043362988	1e-05	1e-05	Natural
200_30000	324	0.0144794075300886	0.31904	0.31904	Natural
30000_70000	324	-0.0756240652669792	0.02326	0.04652	Natural
70000_1444000	324	-0.216948025782616	1e-05	4e-05	Natural
1444000_1500000	648	-0.418041070339929	1e-05	5e-05	Natural
0_200	360	0.769243767279404	1e-05	1e-05	Farm
200_30000	324	0.161236073178177	6e-05	6e-05	Farm
30000_70000	324	-0.113359041032444	0.00375	0.00375	Farm
70000_1444000	324	-0.260686513536371	1e-05	4e-05	Farm
1444000_1500000	648	-0.464529135077949	1e-05	5e-05	Farm
