class.index	n.dist	Mantel.cor	Pr(Mantel)	Pr(corrected)	landuse
0_200	360	0.711139247941591	1e-05	1e-05	Natural
200_30000	324	0.265686155679864	1e-05	2e-05	Natural
30000_70000	324	-0.229612265864258	4e-05	4e-05	Natural
70000_1444000	324	-0.139078057536755	0.00217	0.00217	Natural
1444000_1500000	648	-0.503341300908584	1e-05	5e-05	Natural
0_200	360	0.69924327481108	1e-05	1e-05	Farm
200_30000	324	0.352845318687802	1e-05	2e-05	Farm
30000_70000	324	-0.224221884609184	3e-05	3e-05	Farm
70000_1444000	324	-0.0965704592055095	0.00815	0.00815	Farm
1444000_1500000	648	-0.600045953329184	1e-05	5e-05	Farm
