taxon,LanduseNatural,LanduseSE,direct
Glomeromycetes,2.77918477780741,0.28515881231765,Large in Natural
Archaeorhizomycetes,2.67532144797666,0.555316407548741,Large in Natural
Spiculogloeomycetes,1.54538458875512,0.30913603687604,Large in Natural
Rozellomycotina_cls_Incertae_sedis,1.0732886376445,0.227297696762693,Large in Natural
Agaricomycetes,1.02375569792141,0.306472905699144,Large in Natural
Geoglossomycetes,0.607396596812684,0.197761612711612,Large in Natural
Dothideomycetes,-0.640291152851014,0.195518372105189,Large in Farm
GS13,-0.66360859586949,0.188887983812338,Large in Farm
Rhizophlyctidomycetes,-0.950596184272964,0.223659501873875,Large in Farm
Sordariomycetes,-1.00585289402344,0.184347895567195,Large in Farm
