taxon,LanduseNatural,LanduseSE,direct
Entotheonellia,1.99790278183512,0.259935393136119,Large in Natural
KD4-96,1.25387619182414,0.230574163195732,Large in Natural
Dehalococcoidia,1.23707781418348,0.198642089374679,Large in Natural
Subgroup_6,1.19956119656265,0.272808514859144,Large in Natural
Rubrobacteria,1.16272607453252,0.322118379996066,Large in Natural
OM190,1.0983645588766,0.33660718349129,Large in Natural
NC10,1.06406682069881,0.405288089459344,Large in Natural
Blastocatellia_(Subgroup_4),0.964136489419857,0.34415535649882,Large in Natural
Thermoanaerobaculia,0.932034282028739,0.232507367432371,Large in Natural
MB-A2-108,0.757539388261914,0.293449134173824,Large in Natural
Subgroup_18,0.566246358832206,0.188190124949477,Large in Natural
Verrucomicrobiae,0.44264733052001,0.177947187187228,Large in Natural
Deltaproteobacteria,0.329763971202415,0.112603211011274,Large in Natural
OLB14,-0.609485285347132,0.244648409878404,Large in Farm
Acidobacteriia,-0.695115292188797,0.128239959036129,Large in Farm
Armatimonadia,-0.72371200409763,0.28984703260033,Large in Farm
JG30-KF-CM66,-0.927996064426437,0.219984504038034,Large in Farm
Chthonomonadetes,-0.97461519646084,0.357135516630032,Large in Farm
Bacilli,-1.05182293607367,0.260679336352362,Large in Farm
Ktedonobacteria,-1.53627663273426,0.278651122716342,Large in Farm
