,x
1,-1
2,-1
3,-0.6
4,-0.6
5,-0.86
6,-1
7,-0.85
8,-1
9,0.97
10,0.99
11,0.99
12,0.98
13,0.98
14,0.99
15,0.99
16,0.97
17,0.94
18,0.39
19,0.94
20,0.94
21,0.94
22,0.92
23,0.88
24,0.96
25,0.96
26,0.96
27,0.99
28,0.99
29,0.99
30,1
31,1
32,1
33,1
34,0.99
35,0.99
36,1
37,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,0.99
52,0.99
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,0.99
82,1
83,0.81
84,1
85,1
86,1
87,1
88,1
89,1
90,-0.97
91,-0.21
92,-0.33
93,-0.65
94,-0.99
95,-0.58
96,-1
97,0.98
98,1
99,0.99
100,0.98
101,0.99
102,0.99
103,1
104,0.99
105,0.96
106,0.76
107,0.98
108,0.98
109,0.85
110,0.81
111,0.86
112,0.87
113,0.89
114,0.97
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,0.99
137,0.99
138,1
139,0.99
140,0.99
141,1
142,1
143,1
144,1
145,1
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,0.85
172,1
173,1
174,1
175,1
176,1
177,1
178,-0.31
179,-0.33
180,-0.78
181,-1
182,-0.41
183,-1
184,0.99
185,1
186,1
187,1
188,1
189,1
190,1
191,1
192,0.98
193,0.97
194,0.99
195,0.99
196,0.99
197,0.98
198,0.99
199,0.99
200,0.99
201,0.99
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,0.92
259,1
260,1
261,1
262,1
263,1
264,1
265,-0.7
266,-0.97
267,-0.07
268,-0.03
269,-0.87
270,0.99
271,0.99
272,1
273,0.99
274,0.98
275,0.95
276,0.97
277,0.94
278,0.97
279,1
280,0.98
281,1
282,0.98
283,0.97
284,0.99
285,0.98
286,0.99
287,0.99
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,0.99
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,0.98
345,1
346,1
347,1
348,1
349,1
350,1
351,-0.5
352,-0.25
353,-0.27
354,-0.9
355,0.99
356,0.98
357,1
358,0.96
359,0.95
360,0.98
361,0.97
362,0.93
363,0.96
364,0.97
365,0.79
366,0.99
367,0.98
368,0.96
369,0.9
370,0.99
371,0.94
372,0.98
373,0.99
374,1
375,1
376,0.99
377,1
378,1
379,1
380,1
381,0.99
382,1
383,1
384,1
385,1
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,0.99
395,1
396,1
397,0.99
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,0.94
430,1
431,1
432,1
433,1
434,1
435,1
436,-0.59
437,-0.26
438,-0.96
439,0.98
440,0.99
441,0.98
442,0.99
443,0.99
444,0.95
445,0.97
446,0.98
447,0.95
448,0.99
449,0.99
450,0.99
451,0.98
452,0.96
453,0.98
454,0.98
455,0.97
456,0.98
457,1
458,1
459,1
460,1
461,0.99
462,0.99
463,1
464,0.99
465,0.99
466,1
467,1
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,0.99
479,1
480,1
481,0.99
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,1
494,1
495,1
496,1
497,1
498,1
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,0.94
514,1
515,1
516,1
517,1
518,1
