,x
1,-1
2,-1
3,-0.87
4,-0.84
5,-0.98
6,-0.99
7,-0.99
8,-1
9,0.04
10,0.48
11,0.56
12,-0.23
13,0.67
14,0.39
15,0.19
16,0.49
17,0.2
18,-0.53
19,-0.74
20,-0.43
21,0.98
22,0.94
23,0.09
24,1
25,0.58
26,0.98
27,0.83
28,0.88
29,0.6
30,0.72
31,0.39
32,0.82
33,0.31
34,0.73
35,0.42
36,0.97
37,0.91
38,0.95
39,1
40,1
41,0.92
42,0.99
43,0.76
44,0.96
45,1
46,1
47,1
48,1
49,1
50,1
51,1
52,1
53,1
54,1
55,1
56,1
57,0.99
58,1
59,0.97
60,1
61,1
62,1
63,1
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,1
80,1
81,1
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,-1
91,-0.85
92,-0.5
93,-0.4
94,-0.95
95,-0.67
96,-0.99
97,-0.87
98,-0.57
99,-0.66
100,-0.93
101,-0.62
102,-0.81
103,-0.51
104,-0.07
105,-0.85
106,-0.89
107,-0.25
108,-0.75
109,0.98
110,0.63
111,0.89
112,0.67
113,-0.03
114,0.82
115,0.39
116,0.32
117,0.16
118,0.07
119,-0.15
120,0.08
121,0.39
122,0.74
123,0.2
124,0.98
125,0.99
126,0.99
127,0.99
128,0.89
129,0.67
130,0.97
131,0.7
132,0.9
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,1
142,0.98
143,0.97
144,1
145,0.99
146,0.99
147,0.93
148,0.98
149,0.98
150,0.97
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,0.99
161,0.99
162,0.99
163,0.99
164,1
165,1
166,0.98
167,1
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,1
176,1
177,1
178,-0.96
179,-0.99
180,-0.98
181,-1
182,-0.99
183,-1
184,-0.65
185,0.12
186,-0.26
187,-0.39
188,0.27
189,0.41
190,-0.05
191,0.61
192,-0.22
193,-0.52
194,-0.11
195,-0.58
196,0.99
197,0.99
198,0.65
199,0.99
200,0.76
201,0.98
202,0.87
203,0.92
204,0.53
205,0.77
206,0.37
207,0.68
208,0.24
209,0.73
210,0.4
211,0.98
212,1
213,0.99
214,1
215,0.99
216,0.88
217,0.99
218,0.47
219,0.92
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,0.99
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,-1
266,-1
267,-1
268,-0.99
269,-1
270,-0.69
271,0.54
272,0.09
273,0.48
274,0.9
275,0.91
276,0.49
277,0.84
278,0.37
279,0.29
280,0.49
281,0.48
282,1
283,1
284,0.88
285,1
286,0.85
287,1
288,0.97
289,0.97
290,0.9
291,0.75
292,0.85
293,0.89
294,0.56
295,0.75
296,0.65
297,0.98
298,0.99
299,0.99
300,1
301,0.99
302,0.95
303,1
304,0.75
305,0.95
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,-1
352,-1
353,-0.98
354,-1
355,-0.14
356,0.78
357,0.46
358,0.9
359,0.96
360,0.99
361,0.72
362,0.94
363,0.59
364,0.61
365,0.31
366,0.27
367,1
368,0.99
369,0.41
370,1
371,0.92
372,1
373,0.97
374,0.99
375,0.91
376,0.9
377,0.88
378,0.93
379,0.74
380,0.76
381,0.68
382,0.99
383,1
384,0.98
385,1
386,1
387,0.96
388,1
389,0.93
390,0.98
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,1
409,1
410,1
411,1
412,1
413,1
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,-1
437,-1
438,-1
439,-0.04
440,0.75
441,0.47
442,0.76
443,0.94
444,0.97
445,0.85
446,0.86
447,0.67
448,0.62
449,0.36
450,0.73
451,1
452,0.98
453,0.22
454,1
455,0.78
456,0.99
457,0.98
458,0.99
459,0.93
460,0.95
461,0.91
462,0.96
463,0.8
464,0.84
465,0.54
466,0.99
467,1
468,0.98
469,1
470,1
471,1
472,1
473,0.86
474,0.91
475,1
