,K01,K02,K03,K04,K05,K06,K07,K08,K09,K10,K11,K12,K13,K14,K15,K16,K17,K18,K19,K20,K21,K22,K23,K24,K25,K26,K27,K28,K29,K30,K31,K32,K33,K34,K35,K36,K37,K38,K39,K40,K41,K42,K43,K44,K45,K46,K47,K48,K49,K50,K51,K52,K53,K54,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,M21,M22,M23,M24,M25,M26,M27,M28,M29,M30,M31,M32,M33,M34,M35,M36
K01,0,0.0506210049395895,0.0415372704095694,0.191157883149431,0.121299623947436,0.148844724273914,0.0579576045323487,0.147993120869448,0.0390773863382126,0.190712853348549,0.200001028527964,0.220670682065162,0.305799522723231,0.245643804879625,0.194788655718031,0.214327615350426,0.224416492607752,0.246780068042435,0.193666908076735,0.192903772705125,0.229255426026159,0.212454702426718,0.153720133798377,0.15283762077734,0.145892153789819,0.149457767939518,0.248605765120506,0.157680632413653,0.199308113792661,0.185245159967254,0.268892269412786,0.177111411399028,0.218252539063093,0.308469432251227,0.272639292684841,0.306411900203084,0.317155762551747,0.321897131626772,0.356008818306915,0.400227753871591,0.333269121888018,0.271654544039419,0.267939819580946,0.251825133460501,0.277092573854142,0.35766036949683,0.282964067647416,0.37326704758401,0.383409667400866,0.327776799396146,0.418969087093632,0.412232308403905,0.320896904409438,0.317302408991527,0.41752852898244,0.284773063213901,0.284622709883781,0.600833337868598,0.362641245980609,0.329971545524614,0.363502470477729,0.301621008474465,0.309281042622638,0.33968335365488,0.325896944418137,0.319098742821277,0.246326888055171,0.328644293538004,0.236947107135656,0.259273571006803,0.262040905420588,0.281585716404905,0.341445203000936,0.271570672630224,0.247712734823022,0.456930813940266,0.397570650722343,0.283453480442461,0.259475822434364,0.299764587028993,0.299958564586267,0.424903020304707,0.372424065564445,0.457350971542229,0.373250887501404,0.446009666832816,0.492386493718073,0.365075690908059,0.341350652714914,0.278236301786988
K02,0.0506210049395895,0,0.0447497069741503,0.167515894322805,0.122517697924984,0.193119638483659,0.0732121661073816,0.146385157672415,0.0467266455541986,0.115540751453121,0.152899571643152,0.167717693860222,0.32581582536279,0.186114067307277,0.145782108500711,0.139223259149632,0.168174788117882,0.136423488397757,0.144281430415893,0.176264309301373,0.148717606452121,0.171411928602828,0.127672095717366,0.154231947086236,0.1314678733052,0.162269141601749,0.23313483465537,0.121069206088229,0.165504506238567,0.125078032721071,0.244748372442871,0.134297687705091,0.163941891287949,0.216679535229962,0.232855776469821,0.262865542884649,0.248069492319996,0.290570482575019,0.334159599710974,0.341061899831604,0.27700604385385,0.246994416561929,0.22750449033873,0.265435920896519,0.230748876849679,0.323149162352607,0.279052318207686,0.333571650290201,0.329761831064178,0.278810579516075,0.348259457724373,0.397855568886288,0.290853143029234,0.252433209550486,0.326158395509985,0.227818757804784,0.240968225225679,0.469851629113188,0.314443475237851,0.287310655737481,0.311688597952728,0.24747791964315,0.245663897009467,0.268109764611515,0.284550423477795,0.24117731477104,0.178990828611208,0.22850670689796,0.168051644321754,0.190744805501283,0.171495513800369,0.229318383306121,0.198130008271719,0.240238775837734,0.190990458262014,0.330758308009836,0.317987640077675,0.212476525886754,0.196652994293334,0.245110016190422,0.246793235514056,0.413074946266701,0.284493742384169,0.468666115353081,0.297689135299806,0.378666367043335,0.419903569662077,0.28567041271179,0.259741682847133,0.224403219995794
K03,0.0415372704095694,0.0447497069741503,0,0.166212504998443,0.0997452628848655,0.142419658689492,0.0585395560176145,0.113105937950724,0.0407170871384733,0.147669867826679,0.170174280058991,0.164520652330987,0.328451312518174,0.194990420086793,0.141966269395764,0.154990927700409,0.176290923294659,0.220962579720026,0.130811778140801,0.154453120627758,0.11882161405109,0.170437091394501,0.118510131597114,0.121988023128603,0.125664710078565,0.134890282957196,0.220899882448112,0.133881275165939,0.173208913551183,0.131837405894657,0.208578378788396,0.13309803361804,0.158777280001205,0.214460733765039,0.190774968607597,0.237802656378443,0.269516452539813,0.289839089467085,0.32974758814833,0.303137382706901,0.251339752013811,0.266954995635432,0.243492849227582,0.297025257803807,0.257797830465425,0.225719291009023,0.215752081097167,0.276602338278119,0.2711720572574,0.23660471205665,0.290733481595232,0.338614687041229,0.31580413059622,0.242345187690973,0.367301298682083,0.23889605341349,0.23279357105326,0.42134484154925,0.318457521194315,0.315804637334119,0.324796000089652,0.259171278996722,0.262586317747139,0.242344058443668,0.265447355654507,0.233214340804083,0.211973346239488,0.260526588755227,0.201642026188768,0.204969058012728,0.211370116573331,0.250774611037466,0.31113087560099,0.20943306044585,0.254899341689323,0.389390502012726,0.347123719963977,0.244174340166003,0.237563031750796,0.279994210967521,0.327381191305018,0.323088965034009,0.253035913912519,0.382613693871206,0.284652910808428,0.331849151697932,0.387246278380123,0.28754032889159,0.264993758583455,0.224475646199242
K04,0.191157883149431,0.167515894322805,0.166212504998443,0,0.136017344943674,0.147536407766703,0.17307772854811,0.194719394435244,0.154337675887936,0.252420919027674,0.273449509985337,0.27607156271123,0.279651046757723,0.297745730138424,0.275012000633797,0.296331131323089,0.292689879045656,0.246719987342059,0.274541660729881,0.269700523507704,0.293557000862916,0.294999698037576,0.244305590037271,0.267604789275319,0.241975627403444,0.255052377595877,0.356372772692617,0.292479361514016,0.26831572248331,0.262555464440068,0.294568223523249,0.256685159698583,0.276128696101562,0.314818322734134,0.277864613046809,0.275659949423836,0.352256567807072,0.378939143903266,0.418430791276788,0.389478137521088,0.336524445543552,0.379309194168714,0.342671281444791,0.427088674015533,0.353189941188678,0.409917906796472,0.349857660889895,0.411728314703146,0.442467662022642,0.383901396926709,0.480622212486092,0.537774636189608,0.454953687710551,0.379704784526081,0.50437496877447,0.437447831483141,0.38680988795534,0.583989275520098,0.469604260104914,0.539345872566655,0.54824357650657,0.529760096088567,0.505705162158329,0.354117830441303,0.355192058099074,0.344015964130424,0.294348435453246,0.319901475340333,0.321621316524578,0.299760003339749,0.318725184037794,0.356182235185249,0.489490792144697,0.429556173348029,0.556947190325215,0.586242592956229,0.537956877860009,0.471170463157887,0.59631516222126,0.500407638970904,0.603131183070098,0.451668228568175,0.383033757949007,0.578148685749618,0.403633847766992,0.487993451434685,0.535159583909593,0.382371374999938,0.366801528841802,0.308032058835736
K05,0.121299623947436,0.122517697924984,0.0997452628848655,0.136017344943674,0,0.131964635174806,0.0989039784155596,0.177780105282297,0.0976655461977037,0.192751504402397,0.22311622616037,0.217667331496915,0.35003399394434,0.235839082844161,0.19913887234243,0.222100008342878,0.213985145829191,0.267221420944429,0.243632875004954,0.254208803722615,0.265841073123623,0.271301971875641,0.225346669260794,0.217725533704,0.227235336651703,0.250335214642449,0.281270501171139,0.184914774703439,0.212041361878264,0.194169155494447,0.216933656567956,0.198972549087867,0.21042326365663,0.245133176198314,0.251036044336117,0.237566135527286,0.27212677939001,0.32613308462159,0.357848896194003,0.328826122148923,0.30121018339621,0.29029422813078,0.271131237817226,0.311304008923209,0.283561046868033,0.38426126508034,0.320606689747832,0.350189803568914,0.384638960171769,0.32343067332232,0.383677400389776,0.411642972863112,0.349671801922869,0.291103651786609,0.471911828486558,0.387462411108241,0.322446142150154,0.566166065011328,0.424831501933233,0.486287185642608,0.486400615876417,0.502118004965875,0.449743770098246,0.301317095609701,0.309837529832287,0.286430810375534,0.221326448976336,0.283479316899232,0.225581168557789,0.230537768687209,0.242766915515806,0.263333325138012,0.342560252368743,0.358957766676479,0.498773818462575,0.470165201510395,0.459215349832169,0.408202140936739,0.566359385796552,0.485343141215122,0.574465440189183,0.409774441899493,0.330217837518391,0.496581473098012,0.351669926672222,0.401671454707672,0.444284217936845,0.332058814558692,0.31808293527241,0.265214094436085
K06,0.148844724273914,0.193119638483659,0.142419658689492,0.147536407766703,0.131964635174806,0,0.154897663666101,0.161097987546795,0.149893755778891,0.228089831963606,0.295549790724862,0.28216587696465,0.362545623114003,0.309937422162428,0.269434733091495,0.2660503657379,0.290646573763977,0.347152717339873,0.282797201354187,0.262595611020064,0.252493061458025,0.307297633856402,0.265915437926673,0.22976989042209,0.232191350002004,0.232879359292664,0.340790171712848,0.258032838824251,0.263434604575782,0.232616611686995,0.310628622367389,0.24287202715859,0.265969527460034,0.298697283031074,0.317271697549147,0.270326914606309,0.339995514090633,0.394610586045447,0.46143120771146,0.427418287606345,0.36742590839965,0.36854780616703,0.335849619169704,0.445665508431913,0.352505947116796,0.437457531596914,0.365250252650344,0.422253998298473,0.438153595414502,0.377052247983046,0.492347835809504,0.505611430853434,0.463816270166304,0.355746256058418,0.52559226965452,0.417138272821814,0.388492157036801,0.644213488268247,0.485741666303732,0.504103274357628,0.486506251389803,0.437932287356229,0.439109632128062,0.3867481720884,0.408602969712445,0.365032616695414,0.308032080604236,0.360349116209249,0.326646596362705,0.325755282504441,0.334524986238924,0.35962698753293,0.487721592828089,0.355998398548094,0.442226422891338,0.585026180297598,0.507966455718693,0.429148913603227,0.459723932830285,0.445685008039806,0.512244867302012,0.466282941852892,0.425384476989481,0.559592784700162,0.423649910536196,0.467915721567845,0.53847456833007,0.414305026991254,0.373282251992508,0.347259978602453
K07,0.0579576045323487,0.0732121661073816,0.0585395560176145,0.17307772854811,0.0989039784155596,0.154897663666101,0,0.0623360759365235,0.0559647606896401,0.163822642465705,0.168912852093728,0.167885580558402,0.326754224535218,0.20030875265441,0.154913293175203,0.185796044940919,0.182866771621774,0.221299922540789,0.172356628722415,0.211784719206062,0.17496044873097,0.192737349192785,0.142260353190004,0.173309892639539,0.155197086041148,0.191700654279498,0.232860041989321,0.133395407709096,0.173050442477488,0.163019164199381,0.235036307495001,0.156127520460702,0.189957325613214,0.273546349972242,0.216298848344002,0.272733368577697,0.263335885540738,0.275211910975551,0.309681727966726,0.288572034378653,0.258290330762896,0.253358419774296,0.208348604029684,0.262319533696199,0.233058795339508,0.212934076837445,0.216407366762529,0.303371595033762,0.267813473738317,0.243244002209729,0.316320902133388,0.354964405008952,0.329810778111623,0.249764449414698,0.365723958064711,0.249071935295165,0.255443050572976,0.37188330786487,0.301696565853413,0.299977164920304,0.337216582483072,0.264891659184016,0.270844441554401,0.262019649769213,0.273371912549787,0.249132943430456,0.209728685091499,0.272335431720646,0.194069694342253,0.213415817270028,0.210440838698534,0.234798846719535,0.286786818983401,0.204654842646842,0.210670271098548,0.358717330754722,0.356932075131848,0.224715504814215,0.239080032760492,0.278206545656159,0.292726794029767,0.333354263333837,0.288086583449422,0.357258592820944,0.296280142290763,0.357533935189856,0.387921190790589,0.286353196627607,0.281325833783841,0.236955839062555
K08,0.147993120869448,0.146385157672415,0.113105937950724,0.194719394435244,0.177780105282297,0.161097987546795,0.0623360759365235,0,0.144019959072419,0.242927982252399,0.273923062218968,0.267004353453702,0.327684622237893,0.283629078395551,0.238135478634471,0.26254869409246,0.28968015789498,0.270947620326243,0.233038916936678,0.254574450195714,0.269300896633428,0.290016093596982,0.220060209082368,0.222976904145708,0.26057116412326,0.245347279465184,0.32806299639709,0.212191219201028,0.245668087248514,0.217813888441623,0.354702006587586,0.247777925236027,0.281402732090164,0.369481866527275,0.293785397063493,0.393794516511972,0.354711648790649,0.365370377731179,0.448071425979472,0.40718074972651,0.395880041556985,0.368628551246792,0.321981166664608,0.362369646920362,0.350831680885089,0.405782868659983,0.364141310452545,0.435200800250801,0.405995291012815,0.362480682301452,0.447498564412387,0.491283151543165,0.45309487723707,0.353304678577101,0.435873051322319,0.31205446314595,0.354844788336534,0.448681127597753,0.35887467639597,0.38715542873583,0.43765130799013,0.357050029603271,0.400166479921294,0.403310208284335,0.390611421358007,0.37080356450583,0.341227644517292,0.350284178457542,0.302048471166325,0.333299387487819,0.328972631468772,0.393448109413044,0.452971918766821,0.345233282214341,0.332051154340179,0.521050775557324,0.466656588740966,0.365673290249863,0.353935916950998,0.382358067819134,0.404226326923745,0.477182186733156,0.419963962187721,0.527809159244296,0.440031071030062,0.512984058644689,0.508184697318626,0.410306876382239,0.392716419800815,0.378932862562599
K09,0.0390773863382126,0.0467266455541986,0.0407170871384733,0.154337675887936,0.0976655461977037,0.149893755778891,0.0559647606896401,0.144019959072419,0,0.144395883285669,0.184635090661255,0.183431657628471,0.336759204259573,0.226645833862177,0.183941547689822,0.210822983492063,0.220946839128225,0.233615077152846,0.185026692015167,0.227808890568256,0.208573895263217,0.183302887293448,0.145886214743915,0.170992099586432,0.133181086296216,0.179615660990524,0.235704557683775,0.180700530232834,0.20359596700826,0.195584217229079,0.256647425179191,0.17578995877751,0.227612780028368,0.316516491384259,0.239229631453404,0.322594180578259,0.305871631310409,0.316639035422211,0.382966939543359,0.344923884303707,0.287321505876597,0.28821227493221,0.300723984316259,0.309420013409046,0.293943660396319,0.316681873823487,0.266958460661636,0.308705422607091,0.314635318533406,0.272076820373313,0.345600333494743,0.390895406584487,0.340035976575296,0.269241122007212,0.423181152115683,0.33040781441863,0.264644052748363,0.587696635258522,0.349486212031426,0.39007306234642,0.388136796344765,0.389268364643553,0.340646143817378,0.291398344467898,0.303454407142204,0.297611323228806,0.273701532250241,0.26218505220721,0.252408403623657,0.267193268869152,0.258141378145862,0.315116931165609,0.338640190230902,0.298656196183038,0.346065800552955,0.463234730631892,0.411768070642455,0.303646094377275,0.409051187790577,0.366648133131843,0.398657120534513,0.37891797175706,0.319054245700492,0.423289372406871,0.339585974516643,0.407307878571615,0.446136645997125,0.331377457387364,0.295747511177114,0.287532024963456
K10,0.190712853348549,0.115540751453121,0.147669867826679,0.252420919027674,0.192751504402397,0.228089831963606,0.163822642465705,0.242927982252399,0.144395883285669,0,0.0647853840480099,0.0459444250333963,0.237484022819014,0.0936272205129773,0.0659349943271724,0.0531146236169192,0.0683922159307131,0.0514535628749716,0.174690806819755,0.16369650275845,0.124161124580662,0.190485727703722,0.132878917269869,0.161325516639691,0.174542964700781,0.187408787563624,0.260406632595836,0.0931601680499617,0.14504109695163,0.0927673688035393,0.112082136283827,0.0677989863614951,0.0933683618088213,0.112974548494166,0.0936526030284199,0.139877343813023,0.17271866877147,0.169352060389998,0.167336961811514,0.287591135935247,0.188146112044407,0.20184104000478,0.215766241307207,0.300551019697427,0.215005721728727,0.228350197354787,0.200042139878596,0.177296865676123,0.188988182764124,0.168962636932154,0.191268288816992,0.244585301300678,0.235710196158159,0.165511428213457,0.292411271285715,0.378778883618629,0.285687559908672,0.501918586599296,0.34714303990662,0.449427763172893,0.434274194914769,0.435981951479867,0.409062152092962,0.155596468941257,0.175335993736931,0.16803775755266,0.131109351376803,0.188470426408967,0.142187327570777,0.123543337079586,0.143507031949425,0.140547555515484,0.342274050792601,0.2825140834259,0.348272423872491,0.329571027013494,0.36383756734327,0.289246186118147,0.369322333813277,0.354261940382439,0.395423036371829,0.245293048105652,0.182950025541674,0.352858056788524,0.174880444180189,0.21646149956976,0.254172904790056,0.188099833427008,0.180900690912487,0.141835916680811
