row,col,bNTI,RCbray,process,row.country,row.site,row.landuse,col.country,col.site,col.landuse,pair_scale,pair_landu
K01,K02,-2.34171255231542,-1,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K01,K03,-2.73217981172172,-1,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K01,K04,-1.7062335829934,-0.87,Undominated,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K01,K05,-3.14490419077009,-0.84,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K01,K06,-1.45389536061204,-0.98,Homogenizing Dispersal,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K01,K07,-3.02172148391175,-0.99,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K01,K08,-1.08880659861159,-0.99,Homogenizing Dispersal,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K01,K09,-2.8230202838311,-1,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Natural,within_site,Natural
K01,K10,-1.86685828574157,0.04,Undominated,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K01,K11,-2.19852669012216,0.48,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K01,K12,-2.14942023383656,0.56,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K01,K13,-1.95440068227021,-0.23,Undominated,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K01,K14,-1.85295863729639,0.67,Undominated,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K01,K15,-2.05136243743003,0.39,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K01,K16,-2.07528945990487,0.19,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K01,K17,-2.23969510137755,0.49,Homogeneous Selection,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K01,K18,-1.49457616328305,0.2,Undominated,Kenya,D,Natural,Kenya,D,Farm,within_site,cross_landuse
K01,K19,-1.76915874394919,-0.53,Undominated,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K01,K20,-1.81469774188042,-0.74,Undominated,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K01,K21,-1.87384511406792,-0.43,Undominated,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K01,K22,-1.96383020689066,0.98,Dispersal Limitation,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K01,K23,-2.05478464635366,0.94,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K01,K24,-1.88032848465663,0.09,Undominated,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K01,K25,-2.11461566152123,1,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K01,K26,-2.16041716657254,0.58,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K01,K27,-1.9557952320948,0.98,Dispersal Limitation,Kenya,D,Natural,Kenya,E,Natural,across_site_within_country,Natural
K01,K28,-2.34074447637358,0.83,Homogeneous Selection,Kenya,D,Natural,Kenya,E,Farm,across_site_within_country,cross_landuse
