"","row","col","bNTI","RCbray","process","row.country","row.site","row.landuse","col.country","col.site","col.landuse","pair_scale","pair_landu"
"1","K01","K02",-9.405235435586,-1,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Natural","within_site","Natural"
"2","K01","K03",-8.9089580449375,-1,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Natural","within_site","Natural"
"3","K01","K04",-11.2379912758993,-0.87,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Natural","within_site","Natural"
"4","K01","K05",-10.0572649189225,-0.84,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Natural","within_site","Natural"
"5","K01","K06",-10.2365471832144,-0.98,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Natural","within_site","Natural"
"6","K01","K07",-9.28954289470137,-0.99,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Natural","within_site","Natural"
"7","K01","K08",-9.2865910438444,-0.99,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Natural","within_site","Natural"
"8","K01","K09",-10.5842213635892,-1,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Natural","within_site","Natural"
"9","K01","K10",-9.29628765486707,0.04,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Farm","within_site","cross_landuse"
"10","K01","K11",-9.52161143885688,0.48,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Farm","within_site","cross_landuse"
"11","K01","K12",-9.25045498702579,0.56,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Farm","within_site","cross_landuse"
"12","K01","K13",-7.97464051271069,-0.23,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Farm","within_site","cross_landuse"
"13","K01","K14",-8.63052034074898,0.67,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Farm","within_site","cross_landuse"
"14","K01","K15",-8.31109110995032,0.39,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Farm","within_site","cross_landuse"
"15","K01","K16",-8.76252683273242,0.19,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Farm","within_site","cross_landuse"
"16","K01","K17",-8.69492265126239,0.49,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Farm","within_site","cross_landuse"
"17","K01","K18",-9.10005363673556,0.2,"Homogeneous Selection","Kenya","D","Natural","Kenya","D","Farm","within_site","cross_landuse"
"18","K01","K19",-9.82320544568593,-0.53,"Homogeneous Selection","Kenya","D","Natural","Kenya","E","Natural","across_site_within_country","Natural"
"19","K01","K20",-9.29557307875916,-0.74,"Homogeneous Selection","Kenya","D","Natural","Kenya","E","Natural","across_site_within_country","Natural"
"20","K01","K21",-9.31880830760576,-0.43,"Homogeneous Selection","Kenya","D","Natural","Kenya","E","Natural","across_site_within_country","Natural"
"21","K01","K22",-8.48098674670239,0.98,"Homogeneous Selection","Kenya","D","Natural","Kenya","E","Natural","across_site_within_country","Natural"
"22","K01","K23",-9.71366547744077,0.94,"Homogeneous Selection","Kenya","D","Natural","Kenya","E","Natural","across_site_within_country","Natural"
"23","K01","K24",-8.31002235489817,0.09,"Homogeneous Selection","Kenya","D","Natural","Kenya","E","Natural","across_site_within_country","Natural"
"24","K01","K25",-8.69053321900217,1,"Homogeneous Selection","Kenya","D","Natural","Kenya","E","Natural","across_site_within_country","Natural"
"25","K01","K26",-8.08735948961242,0.58,"Homogeneous Selection","Kenya","D","Natural","Kenya","E","Natural","across_site_within_country","Natural"
"26","K01","K27",-8.00725596320286,0.98,"Homogeneous Selection","Kenya","D","Natural","Kenya","E","Natural","across_site_within_country","Natural"
"27","K01","K28",-9.89047282760661,0.83,"Homogeneous Selection","Kenya","D","Natural","Kenya","E","Farm","across_site_within_country","cross_landuse"
"28","K01","K29",-9.93886738381744,0.88,"Homogeneous Selection","Kenya","D","Natural","Kenya","E","Farm","across_site_within_country","cross_landuse"
