current_name,modified_name
AFP1C4,K10_16S
AFP1C5,K11_16S
AFP1C6,K12_16S
AFP2C4,K13_16S
AFP2C5,K14_16S
AFP2C6,K15_16S
AFP3C4,K16_16S
AFP3C5,K17_16S
AFP3C6,K18_16S
ANP1C4,K01_16S
ANP1C5,K02_16S
ANP1C6,K03_16S
ANP2C4,K04_16S
ANP2C5,K05_16S
ANP2C6,K06_16S
ANP3C4,K07_16S
ANP3C5,K08_16S
ANP3C6,K09_16S
BFP1C4,K28_16S
BFP1C5,K29_16S
BFP1C6,K30_16S
BFP2C4,K31_16S
BFP2C5,K32_16S
BFP2C6,K33_16S
BFP3C4,K34_16S
BFP3C5,K35_16S
BFP3C6,K36_16S
BNP1C4,K19_16S
BNP1C5,K20_16S
BNP1C6,K21_16S
BNP2C4,K22_16S
BNP2C5,K23_16S
BNP2C6,K24_16S
BNP3C4,K25_16S
BNP3C5,K26_16S
BNP3C6,K27_16S
CFP1C4,K46_16S
CFP1C5,K47_16S
CFP1C6,K48_16S
CFP2C4,K49_16S
CFP2C5,K50_16S
CFP2C6,K51_16S
CFP3C4,K52_16S
CFP3C5,K53_16S
CFP3C6,K54_16S
CNP1C4,K37_16S
CNP1C5,K38_16S
CNP1C6,K39_16S
CNP2C4,K40_16S
CNP2C5,K41_16S
CNP2C6,K42_16S
CNP3C4,K43_16S
CNP3C5,K44_16S
CNP3C6,K45_16S
