KO	Symbol	Name	Cycle	Function	Pathway
K01601	"rbcL, cbbL"	ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]	Carbon	Autotrophic C fixation	Calvin Benson
K01602	"rbcS, cbbS"	ribulose-bisphosphate carboxylase small chain [EC:4.1.1.39]	Carbon	Autotrophic C fixation	Calvin Benson
K00239	"sdhA, frdA"	succinate dehydrogenase flavoprotein subunit [EC:1.3.99.1]	Carbon	Autotrophic C fixation	rTCA
K00240	"sdhB, frdB"	succinate dehydrogenase iron-sulfur subunit [EC:1.3.5.1]	Carbon	Autotrophic C fixation	rTCA
K00174	"korA, oorA, oforA"	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha [EC:1.2.7.3 1.2.7.11]	Carbon	Autotrophic C fixation	rTCA
K00175	"korB, oorB, oforB"	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta [EC:1.2.7.3 1.2.7.11]	Carbon	Autotrophic C fixation	rTCA
K00176	"korD, oorD"	2-oxoglutarate ferredoxin oxidoreductase subunit delta [EC:1.2.7.3]	Carbon	Autotrophic C fixation	rTCA
K00177	"korC, oorC"	2-oxoglutarate ferredoxin oxidoreductase subunit gamma [EC:1.2.7.3]	Carbon	Autotrophic C fixation	rTCA
K15230	aclA	ATP-citrate lyase alpha-subunit [EC:2.3.3.8]	Carbon	Autotrophic C fixation	rTCA
K15231	aclB	ATP-citrate lyase beta-subunit [EC:2.3.3.8]	Carbon	Autotrophic C fixation	rTCA
K00192	cdhA	"anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha [EC:1.2.7.4]"	Carbon	Autotrophic C fixation	Wood-Ljungdahl
K00198	"cooS, acsA"	anaerobic carbon-monoxide dehydrogenase catalytic subunit [EC:1.2.7.4]	Carbon	Autotrophic C fixation	Wood-Ljungdahl
K01964	NA	acetyl-CoA/propionyl-CoA carboxylase [EC:6.4.1.2 6.4.1.3]	Carbon	Autotrophic C fixation	Hydroxypropionate Bicycle
K01965	"PCCA, pccA"	propionyl-CoA carboxylase alpha chain [EC:6.4.1.3]	Carbon	Autotrophic C fixation	Hydroxypropionate Bicycle
K01966	"PCCB, pccB"	propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]	Carbon	Autotrophic C fixation	Hydroxypropionate Bicycle
K11263	"bccA, pccA"	"acetyl-CoA/propionyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein [EC:6.4.1.2 6.4.1.3 6.3.4.14]"	Carbon	Autotrophic C fixation	Hydroxypropionate Bicycle
K01179 	NA	endoglucanase [EC:3.2.1.4]	Carbon	Cellulose breakdown	Cellulose breakdown
K01180	NA	"endo-1,3(4)-beta-glucanase [EC:3.2.1.6]"	Carbon	Cellulose breakdown	Cellulose breakdown
K01225	CBH1	"cellulose 1,4-beta-cellobiosidase [EC:3.2.1.91]"	Carbon	Cellulose breakdown	Cellulose breakdown
K01195	"uidA, GUSB"	beta-glucuronidase [EC:3.2.1.31]	Carbon	Cellulose breakdown	Cellulose breakdown
K01181	xynA	"endo-1,4-beta-xylanase [EC:3.2.1.8]"	Carbon	Xylan breakdown	Xylan breakdown
K01198	xynB	"xylan 1,4-beta-xylosidase [EC:3.2.1.37]"	Carbon	Xylan breakdown	Xylan breakdown
K01183	NA	chitinase [EC:3.2.1.14]	Carbon	Chitin breakdown	Chitin breakdown
K08689	"bphAa, bphA1, bphA"	"biphenyl 2,3-dioxygenase subunit alpha [EC:1.14.12.18]"	Carbon	Lignin breakdown	Lignin breakdown
K15750	"bphAb, bphA2, bph"	"biphenyl 2,3-dioxygenase subunit beta [EC:1.14.12.18]"	Carbon	Lignin breakdown	Lignin breakdown
K14582	"nahB, doxE"	"cis-1,2-dihydro-1,2-dihydroxynaphthalene/dibenzothiophene dihydrodiol dehydrogenase [EC:1.3.1.29 1.3.1.60]"	Carbon	Lignin breakdown	Lignin breakdown
K03381	catA	"catechol 1,2-dioxygenase [EC:1.13.11.1]"	Carbon	Lignin breakdown	Lignin breakdown
K14028	"mdh1, mxaF"	methanol dehydrogenase (cytochrome c) subunit 1 [EC:1.1.2.7]	Carbon	Methane oxidation	Aerobic methane oxidation
K14029	"mdh2, mxaI"	methanol dehydrogenase (cytochrome c) subunit 2 [EC:1.1.2.7]	Carbon	Methane oxidation	Aerobic methane oxidation
K00200	"fwdA, fmdA"	 formylmethanofuran dehydrogenase subunit A [EC:1.2.7.12]	Carbon	Methanogenesis	Methanogenesis
K00201	"fwdB, fmdB"	 formylmethanofuran dehydrogenase subunit B [EC:1.2.7.12]	Carbon	Methanogenesis	Methanogenesis
K00202	"fwdC, fmdC"	 formylmethanofuran dehydrogenase subunit C [EC:1.2.7.12]	Carbon	Methanogenesis	Methanogenesis
K00203	"fwdD, fmdD"	 formylmethanofuran dehydrogenase subunit D [EC:1.2.7.12]	Carbon	Methanogenesis	Methanogenesis
K11261	"fwdE, fmdE"	 formylmethanofuran dehydrogenase subunit E [EC:1.2.7.12]	Carbon	Methanogenesis	Methanogenesis
K00205	"fwdF, fmdF"	 4Fe-4S ferredoxin	Carbon	Methanogenesis	Methanogenesis
K11260	fwdG	 4Fe-4S ferredoxin	Carbon	Methanogenesis	Methanogenesis
K00204	fwdH	 4Fe-4S ferredoxin	Carbon	Methanogenesis	Methanogenesis
K00672	ftr	 formylmethanofuran--tetrahydromethanopterin N-formyltransferase [EC:2.3.1.101]	Carbon	Methanogenesis	Methanogenesis
K01499	mch	 methenyltetrahydromethanopterin cyclohydrolase [EC:3.5.4.27]	Carbon	Methanogenesis	Methanogenesis
K00319	mtd	 methylenetetrahydromethanopterin dehydrogenase [EC:1.5.98.1]	Carbon	Methanogenesis	Methanogenesis
K00320	mer	" 5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]"	Carbon	Methanogenesis	Methanogenesis
K00577	mtrA	 tetrahydromethanopterin S-methyltransferase subunit A [EC:2.1.1.86]	Carbon	Methanogenesis	Methanogenesis
K00578	mtrB	 tetrahydromethanopterin S-methyltransferase subunit B [EC:2.1.1.86]	Carbon	Methanogenesis	Methanogenesis
K00579	mtrC	 tetrahydromethanopterin S-methyltransferase subunit C [EC:2.1.1.86]	Carbon	Methanogenesis	Methanogenesis
K00580	mtrD	 tetrahydromethanopterin S-methyltransferase subunit D [EC:2.1.1.86]	Carbon	Methanogenesis	Methanogenesis
K00581	mtrE	 tetrahydromethanopterin S-methyltransferase subunit E [EC:2.1.1.86]	Carbon	Methanogenesis	Methanogenesis
K00582	mtrF	 tetrahydromethanopterin S-methyltransferase subunit F [EC:2.1.1.86]	Carbon	Methanogenesis	Methanogenesis
K00583	mtrG	 tetrahydromethanopterin S-methyltransferase subunit G [EC:2.1.1.86]	Carbon	Methanogenesis	Methanogenesis
K00584	mtrH	 tetrahydromethanopterin S-methyltransferase subunit H [EC:2.1.1.86]	Carbon	Methanogenesis	Methanogenesis
K00399	mcrA	 methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]	Carbon	Methanogenesis	Methanogenesis
K00401	mcrB	 methyl-coenzyme M reductase beta subunit [EC:2.8.4.1]	Carbon	Methanogenesis	Methanogenesis
K00402	mcrG	 methyl-coenzyme M reductase gamma subunit [EC:2.8.4.1]	Carbon	Methanogenesis	Methanogenesis
K01895	"ACSS1_2, acs"	 acetyl-CoA synthetase [EC:6.2.1.1]	Carbon	Methanogenesis	Methanogenesis
K00193	cdhC	" acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta [EC:2.3.1.169]"	Carbon	Methanogenesis	Methanogenesis
K00197	"cdhE, acsC"	" acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma [EC:2.1.1.245]"	Carbon	Methanogenesis	Methanogenesis
K00194	"cdhD, acsD"	" acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta [EC:2.1.1.245]"	Carbon	Methanogenesis	Methanogenesis
K14080	mtaA	 [methyl-Co(III) methanol/glycine betaine-specific corrinoid protein]:coenzyme M methyltransferase [EC:2.1.1.246?2.1.1.377]	Carbon	Methanogenesis	Methanogenesis
K04480	mtaB	 methanol---5-hydroxybenzimidazolylcobamide Co-methyltransferase [EC:2.1.1.90]	Carbon	Methanogenesis	Methanogenesis
K14081	mtaC	 methanol corrinoid protein	Carbon	Methanogenesis	Methanogenesis
