Country,Site,Landuse,Plot,Altitude,Coord_long,Coord_lat
Kenya,D,Natural,1,1845 m,"E36°44'30.36""","S1°14'47.21"" "
Kenya,D,Natural,2,1843 m,"E36°44'29.67""","S1°14'47.12"" "
Kenya,D,Natural,3,1843 m,"E36°44'28.81""","S1°14'47.04"" "
Kenya,D,Farm,1,1848 m,"E36°44'28.20""","S1°14'50.59"" "
Kenya,D,Farm,2,1847 m,"E36°44'27.82""","S1°14'50.03"" "
Kenya,D,Farm,3,1848 m,"E36°44'27.16""","S1°14'49.52"" "
Kenya,E,Natural,1,1777 m,"E36°46'30.27""","S1°15'27.40"" "
Kenya,E,Natural,2,1777 m,"E36°46'30.28""","S1°15'27.75"" "
Kenya,E,Natural,3,1778 m,"E36°46'30.34""","S1°15'28.07"" "
Kenya,E,Farm,1,1782 m,"E36°46'27.27""","S1°15'28.18"" "
Kenya,E,Farm,2,1782 m,"E36°46'27.68""","S1°15'28.28"" "
Kenya,E,Farm,3,1781 m,"E36°46'28.13""","S1°15'28.23"" "
Kenya,F,Natural,1,1603 m,"E37°14'30.04""","S1°34'52.16"" "
Kenya,F,Natural,2,1605 m,"E37°14'29.67""","S1°34'52.00"" "
Kenya,F,Natural,3,1601 m,"E37°14'29.58""","S1°34'51.30"" "
Kenya,F,Farm,1,1605 m,"E37°14'31.66""","S1°34'54.45"" "
Kenya,F,Farm,2,1608 m,"E37°14'31.97""","S1°34'54.21"" "
Kenya,F,Farm,3,1609 m,"E37°14'32.63""","S1°34'54.15"" "
Malawi,G,Natural,1,1185 m,"E33°46'24.29""","S14°11'15.78"" "
Malawi,G,Natural,2,1184 m,"E33°46'24.12""","S14°11'14.85"" "
Malawi,G,Natural,3,1184 m,"E33°46'22.08""","S14°11'15.09"" "
Malawi,G,Farm,1,1182 m,"E33°46'26.68""","S14°11'10.78"" "
Malawi,G,Farm,2,1185 m,"E33°46'26.67""","S14°11'10.73"" "
Malawi,G,Farm,3,1183 m,"E33°46'25.90""","S14°11'14.98"" "
Malawi,H,Natural,1,1139 m,"E33°39'12.62""","S13°58'25.88"" "
Malawi,H,Natural,2,1139 m,"E33°39'13.58""","S13°58'25.55"" "
Malawi,H,Natural,3,1137 m,"E33°39'14.94""","S13°58'25.62"" "
Malawi,H,Farm,1,1141 m,"E33°39'15.37""","S13°58'24.74"" "
Malawi,H,Farm,2,1139 m,"E33°39'16.96""","S13°58'26.10"" "
Malawi,H,Farm,3,1141 m,"E33°39'14.52""","S13°58'23.71"" "
