Sample	Country	Site	Landuse	Gravimetric.water.content	Carbon	Nitrogen	CN_ratio	pH	log_copy16S_persoil	log_copyITS_persoil	shannon_16S	shannon_ITS
K01	Kenya	D	Natural	0.430435549	4.05	0.59	6.86	6.423	8.502770716	7.632038383	7.558385434	4.077161646
K02	Kenya	D	Natural	0.412554334	2.51	0.52	4.83	6.482	8.474082229	7.739899532	7.530082964	4.706032626
K03	Kenya	D	Natural	0.43681355	3.11	0.29	10.72	6.566	8.733816435	7.984323854	7.432540575	3.669541256
K04	Kenya	D	Natural	0.474808324	3.12	0.36	8.67	6.76	6.667964046	5.86595719	7.143202002	5.777921774
K05	Kenya	D	Natural	0.427544316	2.22	0.24	9.25	6.581	8.293564685	7.420386276	7.051201398	5.488171618
K06	Kenya	D	Natural	0.482077542	3.22	0.26	12.38	6.903	8.569269076	7.678545015	6.918141598	5.353808486
K07	Kenya	D	Natural	0.464134405	2.88	0.3	9.6	6.668	8.397964843	7.536248191	6.818503475	3.903095154
K08	Kenya	D	Natural	0.481033453	4.39	0.4	10.98	6.752	8.621595255	7.576941148	7.148695459	5.037998115
K09	Kenya	D	Natural	0.472370487	2.73	0.33	8.27	6.654	8.830238971	7.942028585	6.894076812	3.158991433
K10	Kenya	D	Farm	0.361005693	2.57	0.34	7.56	6.343	8.309544168	7.415582875	7.346888308	3.507054149
K11	Kenya	D	Farm	0.331690562	2.05	0.22	9.32	6.043	8.233558863	7.263368623	7.519703824	6.003381727
K12	Kenya	D	Farm	0.360265371	2.08	0.29	7.17	6.274	8.217617957	7.132855212	7.571116886	5.791043249
K13	Kenya	D	Farm	0.360951189	2.71	0.36	7.53	6.031	5.761478145	4.884228784	7.480176931	5.974265718
K14	Kenya	D	Farm	0.362088536	1.9	0.11	17.27	6.07	6.128809889	5.103619238	7.731082075	6.22688139
K15	Kenya	D	Farm	0.351179095	1.92	0.23	8.35	6.168	7.529262583	6.482024699	7.776852864	5.873331152
K16	Kenya	D	Farm	0.358434548	2.21	0.19	11.63	6.153	8.287280763	6.996143798	7.58460229	5.858678749
K17	Kenya	D	Farm	0.361878085	2.17	0.24	9.04	6.164	8.129880794	7.335264743	7.454671466	5.749381775
K18	Kenya	D	Farm	0.341662283	2.23	0.28	7.96	6.063	6.307102627	5.36526634	7.720005797	4.958764514
K19	Kenya	E	Natural	0.346180129	2.48	0.35	7.09	6.735	8.017102781	6.938579157	7.545795752	6.028485992
K20	Kenya	E	Natural	0.329306265	2.11	0.15	14.07	7.05	8.473328096	7.523685396	7.326974525	5.69222909
K21	Kenya	E	Natural	0.327396207	1.69	0.2	8.45	6.638	8.365329403	7.388429353	7.300721776	5.993268529
K22	Kenya	E	Natural	0.298609099	2.14	0.28	7.64	6.564	6.544844152	5.655424498	7.599219822	5.978661452
K23	Kenya	E	Natural	0.313207547	1.76	0.26	6.77	6.385	7.408691775	6.599864948	7.748621199	5.799995026
K24	Kenya	E	Natural	0.340467405	2.19	0.36	6.08	6.738	8.696788538	7.939154054	7.378669734	5.940316162
K25	Kenya	E	Natural	0.368555712	2	0.25	8	6.26	6.719359957	5.594253229	7.643683405	6.029173107
K26	Kenya	E	Natural	0.365395323	2.13	0.44	4.84	6.607	8.336330194	7.456441975	7.360312769	5.889739633
K27	Kenya	E	Natural	0.349462366	1.78	0.52	3.42	6.656	5.650543956	4.703582676	7.46595606	6.602962169
K28	Kenya	E	Farm	0.308496588	2.45	0.26	9.42	6.382	8.401805199	7.524833744	7.593947692	6.155049907
K29	Kenya	E	Farm	0.328125	2.38	0.4	5.95	6.355	6.384903985	5.605555255	7.856580651	5.777218354
K30	Kenya	E	Farm	0.2788371	2.36	0.45	5.24	6.662	8.242052398	7.46848462	7.492582025	6.036331396
K31	Kenya	E	Farm	0.338503034	2.2	0.3	7.33	6.682	8.001672154	7.151236995	7.013001526	6.399189012
K32	Kenya	E	Farm	0.335584479	2.22	0.41	5.41	6.789	8.158386997	7.321954811	7.38414051	5.769017015
